,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,1760,Fashion Muslim,"[835307500, 835307499, 835307498, 835307497, 835307496, 835307495, 835307494, 835307493, 835307492, 741686437, 741686436, 741686435, 741686434, 741686433, 741686432, 691396894, 691396893, 691396892, 691396891, 691396890, 691396889, 691396888, 691396887, 691396886, 691396885, 691396884, 691396883, 691396903, 691396902, 691396901, 691396900, 691396899, 691396898, 691396897, 691396896, 691396895, 691396882, 691396881, 691396880, 835307491]",1,550,5,2580,Baju Koko Pria,,0,,,False,835307491,0,False,1,TERLARIS BAJU MUSLIM PRIA KOKO AGAM ATASAN KOKO PRIA KEMEJA KOKO PRIA,,691396864,Rp55.000,55000,,5,Bandung,1525065,True,False,True,Bandung,A-Footwear,https://inbox.tokopedia.com/reputation/v1/badge/shop/1525065,https://www.tokopedia.com/anyafootwear,,0,88,,https://www.tokopedia.com/anyafootwear/terlaris-baju-muslim-pria-koko-agam-atasan-koko-pria-kemeja-koko-pria-abu-tua-m?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D1_catid%3D2580&whid=0,0,2020-07-02,Baju Koko
1,,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,1760,Fashion Muslim,"[834824157, 834824153, 834817679, 834824156, 834824155, 834824154, 834824152, 834824151, 834824149, 834824148, 834817683, 834817682, 834817681, 834817680, 834824150]",1,317,10,2580,Baju Koko Pria,,0,,,False,834824150,0,False,1,Baju koko wadimor lengan panjang original,,450721126,Rp70.000,70000,,5,Jakarta Timur,470579,True,False,True,Jakarta Timur,media dewicell,https://inbox.tokopedia.com/reputation/v1/badge/shop/470579,https://www.tokopedia.com/mediaaccesories,,0,966,,https://www.tokopedia.com/mediaaccesories/baju-koko-wadimor-lengan-panjang-original-kuning-m?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D2_catid%3D2580&whid=0,0,2020-07-02,Baju Koko
2,,fashion-muslim/pakaian-muslim-anak/baju-koko-anak,1760,Fashion Muslim,"[869990448, 856878506, 869990447, 869990446, 869990445, 856878512, 856878511, 856878510, 856878509, 856878507, 856878508, 856878505]",1,105,8,2597,Baju Koko Anak,,0,,,False,856878505,0,False,1,[Bajuraya] Baju Koko Anak Laki Medina Exclusive 7-11 tahun,,730529839,Rp50.000,50000,,5,Bandung,5185251,True,False,True,Bandung,ck bajuanak,https://inbox.tokopedia.com/reputation/v1/badge/shop/5185251,https://www.tokopedia.com/ckbajuanak,,0,10,,https://www.tokopedia.com/ckbajuanak/bajuraya-baju-koko-anak-laki-medina-exclusive-7-11-tahun-size-s-hitam?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D3_catid%3D2597&whid=0,0,2020-07-02,Baju Koko
3,,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,1760,Fashion Muslim,"[924258535, 924258534, 924258533, 924258532, 924258531, 924258530, 924258529, 924258528, 924258527, 924258526, 924258525, 924258524]",1,367,3,2580,Baju Koko Pria,,0,,,False,924258524,0,False,1,TERBARU Baju Koko Pria / Baju Gamis Pria / Kurta Lacost Pendek,,380346266,Rp134.900,134900,,5,Bandung,5079067,True,False,True,Bandung,al-fazza kurta,https://inbox.tokopedia.com/reputation/v1/badge/shop/5079067,https://www.tokopedia.com/alfazzakurta,,0,36,,https://www.tokopedia.com/alfazzakurta/terbaru-baju-koko-pria-baju-gamis-pria-kurta-lacost-pendek-satu-m?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D4_catid%3D2580&whid=0,0,2020-07-02,Baju Koko
4,,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,1760,Fashion Muslim,"[818405424, 818405423, 818405422, 818405421]",1,394,4,2580,Baju Koko Pria,,0,,,False,818405421,0,False,2,baju koko pakistan lengan pendek,,380898841,Rp55.000,55000,,5,Kab. Bandung,2343738,True,False,True,Kab. Bandung,alkaf store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2343738,https://www.tokopedia.com/alkafstore,,0,5,,https://www.tokopedia.com/alkafstore/baju-koko-pakistan-lengan-pendek-tulis-dcatatan-s?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D5_catid%3D2580&whid=0,0,2020-07-02,Baju Koko
5,,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,1760,Fashion Muslim,"[876357665, 876357664, 876357663, 876357662, 876357661, 876357660, 876357659, 876357658, 876357657, 876357655, 876357653, 876357652, 876357648, 590574751, 590574749, 590574746, 590574745, 590076314, 590076312, 455563171, 876357651, 876357649, 455563178, 455563175, 590076313]",1,349,7,2580,Baju Koko Pria,,0,,,False,590076313,0,False,1,Baju Kemeja Koko Pria Big Size Gamis Pendek Muslim Kemko XXL XXXL,,455563170,Rp130.000,130000,,5,Bandung,3232526,True,False,True,Bandung,BAD-STORE,https://inbox.tokopedia.com/reputation/v1/badge/shop/3232526,https://www.tokopedia.com/bad-store,,0,6,,https://www.tokopedia.com/bad-store/baju-kemeja-koko-pria-big-size-gamis-pendek-muslim-kemko-xxl-xxxl-putih-5xl?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D6_catid%3D2580&whid=0,0,2020-07-02,Baju Koko
6,,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,1760,Fashion Muslim,"[322164797, 322164796, 322164794, 322164793, 322164792, 322164791, 322164789, 322164788, 322164785, 322164798, 322164790, 322164784]",1,188,9,2580,Baju Koko Pria,,0,,,False,322164784,0,False,1,Baju koko kurta / atasan pakistan kemeja koko ardhani - jfashion Padli,,292310882,Rp76.500,76500,,5,Jakarta Barat,258245,True,True,True,Jakarta Barat,j--fashion,https://inbox.tokopedia.com/reputation/v1/badge/shop/258245,https://www.tokopedia.com/j--fashion,,0,17,,https://www.tokopedia.com/j--fashion/baju-koko-kurta-atasan-pakistan-kemeja-koko-ardhani-jfashion-padli-putih-xxxl?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D7_catid%3D2580&whid=0,0,2020-07-02,Baju Koko
7,,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,1760,Fashion Muslim,"[371811936, 371811934, 346676182, 346676180, 346676179, 371811935]",1,136,9,2580,Baju Koko Pria,,0,,,False,371811935,0,False,1,BAJU KOKO Muslim Bordir Lengan Panjang Putih Tulang PDWANS - RDPJG02,,280623666,Rp98.000,98000,,5,Bandung,1602143,True,False,True,Bandung,Wan`s Collection,https://inbox.tokopedia.com/reputation/v1/badge/shop/1602143,https://www.tokopedia.com/wanscollection,RDPJG02,0,24,,https://www.tokopedia.com/wanscollection/baju-koko-muslim-bordir-lengan-panjang-putih-tulang-pdwans-rdpjg02-putih-l?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D8_catid%3D2580&whid=0,0,2020-07-02,Baju Koko
8,,fashion-muslim/pakaian-muslim-anak/baju-koko-anak,1760,Fashion Muslim,,1,172,1,2597,Baju Koko Anak,,0,,,False,699890442,0,False,1,BAJU KOKO ANAK LAKI LAKI - SETELAN BAJU KOKO ANAK LIST,,0,Rp84.600,84600,,5,Jakarta Barat,7752209,True,False,True,Jakarta Barat,Dita e-Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/7752209,https://www.tokopedia.com/ditaestore,SHOP18,0,76,,https://www.tokopedia.com/ditaestore/baju-koko-anak-laki-laki-setelan-baju-koko-anak-list?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D9_catid%3D2597&whid=0,0,2020-07-02,Baju Koko
9,,fashion-muslim/pakaian-muslim-pria/baju-koko-pria,1760,Fashion Muslim,"[555276205, 555276204, 555276203, 490810965, 490810964, 490810963, 481778142, 481778141, 481778140, 481778139, 481778136, 481778135]",1,385,5,2580,Baju Koko Pria,,0,,,False,481778135,0,False,1,baju koko pria lengan pendek | baju koko muslim,,424283421,Rp55.000,55000,,5,Pekalongan,2328858,True,False,True,Pekalongan,Batik Dea Collection,https://inbox.tokopedia.com/reputation/v1/badge/shop/2328858,https://www.tokopedia.com/batikdea,,0,999848,,https://www.tokopedia.com/batikdea/baju-koko-pria-lengan-pendek-baju-koko-muslim-merah-l?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBaju+Koko_po%3D10_catid%3D2580&whid=0,0,2020-07-02,Baju Koko
