,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,fashion-pria/pakaian-dalam-pria/boxer,1759,Fashion Pria,,1,410,3,1842,Boxer Pria,,0,,,False,609413446,0,False,1,boxer/boxer pria/boxer murah/celana pendek/celana tidur 2393,,0,Rp35.000,35000,,5,Bandung,6879438,True,False,True,Bandung,Callana,https://inbox.tokopedia.com/reputation/v1/badge/shop/6879438,https://www.tokopedia.com/callana,,0,998585,,https://www.tokopedia.com/callana/boxer-boxer-pria-boxer-murah-celana-pendek-celana-tidur-2393-f713?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D1_catid%3D1842&whid=0,0,2020-07-02,Celana Pendek
1,,fashion-anak-bayi/pakaian-anak-laki-laki/celana-pendek-anak-laki-laki,78,Fashion Anak,,1,907,5,1603,Celana Pendek Anak Laki-Laki,,0,,,False,249594692,0,False,1,Celana Anak Pendek Laki Murah Umur 7-10 Tahun,,0,Rp38.900,38900,,5,Tangerang Selatan,2479845,True,False,True,Tangerang Selatan,Baju Anak Murah 22,https://inbox.tokopedia.com/reputation/v1/badge/shop/2479845,https://www.tokopedia.com/bajuanakmurah22,,0,188,,https://www.tokopedia.com/bajuanakmurah22/celana-anak-pendek-laki-murah-umur-7-10-tahun?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D2_catid%3D1603&whid=0,0,2020-07-02,Celana Pendek
2,,fashion-pria/celana-pria/celana-pendek-pria,1759,Fashion Pria,"[643862257, 684416564]",1,4049,2,1827,Celana Pendek Pria,,0,,,False,684416564,0,False,1,celana pendek pria/wanita santai,,632029308,Rp22.000,22000,,5,Jakarta Pusat,2775212,True,False,True,Jakarta Pusat,adhinataku,https://inbox.tokopedia.com/reputation/v1/badge/shop/2775212,https://www.tokopedia.com/adhinataku,,0,4724,,https://www.tokopedia.com/adhinataku/celana-pendek-pria-wanita-santai-pilih-warna-s-to-m-27-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D3_catid%3D1827&whid=0,0,2020-07-02,Celana Pendek
3,['Cashback'],fashion-pria/celana-pria/celana-cargo-pria,1759,Fashion Pria,,1,363,8,3599,Celana Cargo Pria,,0,,,False,654288467,0,False,1,celana pria cargo pendek model terbaru,,0,Rp90.000,90000,,5,Bandung,2365415,True,False,True,Bandung,majerstore,https://inbox.tokopedia.com/reputation/v1/badge/shop/2365415,https://www.tokopedia.com/sepatujeanschino,,0,9011,,https://www.tokopedia.com/sepatujeanschino/celana-pria-cargo-pendek-model-terbaru?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D4_catid%3D3599&whid=0,0,2020-07-02,Celana Pendek
4,,fashion-pria/celana-pria/celana-cargo-pria,1759,Fashion Pria,,1,178,3,3599,Celana Cargo Pria,,0,,,False,525284860,0,False,1,Celana Cargo GM Mode Tactical Pendek Twill Premium,,0,Rp65.000,65000,,5,Bandung,2017518,True,False,True,Bandung,Grosir Militer,https://inbox.tokopedia.com/reputation/v1/badge/shop/2017518,https://www.tokopedia.com/militergrosir,,0,999445,,https://www.tokopedia.com/militergrosir/celana-cargo-gm-mode-tactical-pendek-twill-premium?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D5_catid%3D3599&whid=0,0,2020-07-02,Celana Pendek
5,,fashion-anak-bayi/pakaian-anak-laki-laki/celana-pendek-anak-laki-laki,78,Fashion Anak,[917993645],1,360,8,1603,Celana Pendek Anak Laki-Laki,,0,,,False,917993645,0,False,1,celana pendek anak usia 7-8 tahun bahan cotton,,203113419,Rp8.500,8500,,5,Bandung,460835,True,False,True,Bandung,idref fashion,https://inbox.tokopedia.com/reputation/v1/badge/shop/460835,https://www.tokopedia.com/idreffashion,,0,895,,https://www.tokopedia.com/idreffashion/celana-pendek-anak-usia-7-8-tahun-bahan-cotton-motif-cowok?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D6_catid%3D1603&whid=0,0,2020-07-02,Celana Pendek
6,,fashion-pria/pakaian-dalam-pria/boxer,1759,Fashion Pria,,1,352,3,1842,Boxer Pria,,0,,,False,669147783,0,False,1,boxer/boxer pria/boxer murah/celana pendek/celana tidur 2525,,0,Rp35.000,35000,,5,Bandung,6879438,True,False,True,Bandung,Callana,https://inbox.tokopedia.com/reputation/v1/badge/shop/6879438,https://www.tokopedia.com/callana,,0,177,,https://www.tokopedia.com/callana/boxer-boxer-pria-boxer-murah-celana-pendek-celana-tidur-2525?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D7_catid%3D1842&whid=0,0,2020-07-02,Celana Pendek
7,,olahraga/pakaian-olahraga-pria/celana-training-pria,62,Olahraga,,1,185,5,3693,Celana Training Pria,,0,,,False,456123037,0,False,1,CELANA SPORT REEBOK / Celana running olahraga fitnes futsal pendek,,0,Rp25.000,25000,,5,Jakarta Utara,423508,True,False,True,Jakarta Utara,Bolapedia,https://inbox.tokopedia.com/reputation/v1/badge/shop/423508,https://www.tokopedia.com/bolapedia,,0,999925,,https://www.tokopedia.com/bolapedia/celana-sport-reebok-celana-running-olahraga-fitnes-futsal-pendek?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D8_catid%3D3693&whid=0,0,2020-07-02,Celana Pendek
8,['Cashback'],olahraga/sepeda/jersey-celana-sepeda,62,Olahraga,,1,58,8,1509,Jersey & Celana Sepeda,,0,,,False,384349013,0,False,1,Celana Pendek Shimano Bersepeda Gowes,,0,Rp98.500,98500,,5,Malang,862644,True,False,True,Malang,Ayung Sportindo Malang,https://inbox.tokopedia.com/reputation/v1/badge/shop/862644,https://www.tokopedia.com/ayungsport,100,0,16,,https://www.tokopedia.com/ayungsport/celana-pendek-shimano-bersepeda-gowes?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D9_catid%3D1509&whid=0,0,2020-07-02,Celana Pendek
9,,olahraga/pakaian-olahraga-pria/celana-training-pria,62,Olahraga,"[484751373, 498393336, 498393341, 498393331, 498393330]",1,388,8,3693,Celana Training Pria,2020-07-05T23:59:00Z,15,2020-06-30T00:00:00Z,,False,498393330,0,False,1,FLEXZONE Celana Pendek - Black - for Gym Running Jogging FCS-001HT,Rp99.000,446843378,Rp84.150,84150,,5,Surabaya,5808941,True,True,True,Surabaya,FLEXZONE,https://inbox.tokopedia.com/reputation/v1/badge/shop/5808941,https://www.tokopedia.com/flexzone,FCS-001HT,0,3,,https://www.tokopedia.com/flexzone/flexzone-celana-pendek-black-for-gym-running-jogging-fcs-001ht-m-44c5?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D10_catid%3D3693&whid=0,0,2020-07-02,Celana Pendek
