,tipeKulkas,namaKulkas,hargaKulkas
0,RT35K5030B1/SE,RT35 Kulkas 2 Pintu dengan Twin Cooling Plus™ 377L,Rp 6.799.000
1,RT38K503JS8/SE,RT38 Kulkas 2 Pintu dengan All-around Cooling™ 397L,Rp 6.199.000
2,RT38K5030B1/SE,"RT38 Kulkas 2 Pintu dengan Twin Cooling Plus™, 397L",Rp 7.099.000
3,RR18R1000SA/SE,"RR18R1000SA One Door dengan Tempered glass shelves, 185L",Rp 2.499.000
4,RS64R5141SL/SE,"RS64 SBS SpaceMax™ Technology, 676L",0
5,RS62R5001SL/SE,"RS62 SBS SpaceMax™ Technology, 700L",0
6,RS62R5041B4/SE,"RS62 SBS All-around Cooling, 700L",Rp 13.199.000
7,RS63R5561B4/SE,"RS63 SBS SpaceMax™ Technology, 689L",Rp 14.499.000
8,RS61R5001M9/SE,"RS61 SBS All-around Cooling, 700L",Rp 11.999.000
9,RT25FARBDSA/SE,"RT25 Digital Inverter, 255L",Rp 4.799.000
10,RT29K5032DX/SE,"RT29 Twin Cooling Plus™, Luxe Brown, 300L",Rp 5.599.000
11,RT35K5032DX/SE,"RT35K5032DX Twin Cooling Plus™, Luxe Brown, 362L",0
12,RT38K5032DX/SE,"RT38 Twin Cooling Plus™, Luxe Brown, 384L",Rp 6.899.000
13,RT22FARBDSA/SE,"RT22 Digital Inverter, 234L",Rp 4.499.000
14,RT19M300BGS/SE,"RT19 Kulkas 2 Pintu dengan All-around Cooling, 203L",0
15,RT29K5032S8/SE,RT29 Kulkas 2 Pintu dengan Twin Cooling Plus™ 300L  ,Rp 5.399.000
16,RT62K7011BS/SE,RT62 Kulkas 2 Pintu dengan Twin Cooling Plus™ 620L,Rp 9.899.000
17,RT32K5032S8/SE,RT32 Kulkas 2 Pintu dengan Twin Cooling Plus™ 321L,Rp 5.599.000
18,RT43K6231S8/SE,RT43 Kulkas 2 Pintu dengan Twin Cooling Plus™ 440L,Rp 7.099.000
19,RT46K6231BS/SE,RT46 Kulkas 2 Pintu dengan Twin Cooling Plus™ 453L  ,Rp 7.899.000
20,RT46K6231S8/SE,RT46 Kulkas 2 Pintu dengan Twin Cooling Plus™ 453L,Rp 7.499.000
21,RT50K6241S8/SE,RT50 Kulkas 2 Pintu dengan Twin Cooling Plus™ 500L  ,Rp 8.649.000
22,RT38K5032S8/SE,RT38 Kulkas 2 Pintu dengan Twin Cooling Plus™ 384L  ,0
23,RT53K6231BS/SE,RT53 Kulkas 2 Pintu dengan Twin Cooling Plus™ 528L,Rp 8.999.000
24,RT20FARWDSA/SE,"RT20 Kulkas 2 Pintu dengan Coolpack 12 Jam, 203L",Rp 4.099.000
