title,user_name,rating,review_date,review_text,reply_text
Bukalapak-JualBeliOnline,uan fadly,Rated 5 stars out of five stars,"March 6, 2019",good app,
Bukalapak-JualBeliOnline,A Google user,Rated 4 stars out of five stars,"March 6, 2019",thnks,
Bukalapak-JualBeliOnline,Ricky Oloan,Rated 1 stars out of five stars,"March 6, 2019",timernya utk serbu seru ngulang2 terus menerus.....padahal udah waktunya,
Bukalapak-JualBeliOnline,Ratno Deswara,Rated 5 stars out of five stars,"March 6, 2019",lebih praktis,
Bukalapak-JualBeliOnline,Wimbaryono Saja,Rated 5 stars out of five stars,"March 6, 2019","Aplikasi ramah pengguna, barang komplit mencarinya mudah, banyak bonus",
Bukalapak-JualBeliOnline,Ferdinand Nugroho,Rated 1 stars out of five stars,"March 6, 2019",sangat tidak masuk akal jika penjual salah mengirimkan barang.. kemudian pembeli harus menanggung ongkir untuk mengirim balik brg itu.. seharusnya mediator bukalapak harus bisa memberikan solusi yg tidak merugikan pembeli jika kesalahan dilakukan penjual... kelihatan kalau lazy solution di gunakan disini hanya agar bukalapak tidak repot.,
Bukalapak-JualBeliOnline,Ages Handriyanto,Rated 5 stars out of five stars,"March 6, 2019",Nice market place with user friendly functions,
Bukalapak-JualBeliOnline,Pedy Budi Satrio,Rated 5 stars out of five stars,"March 6, 2019",improvementnya bagus n gak kalah dengan yang sebelah,
Bukalapak-JualBeliOnline,Zegen Indonesia,Rated 5 stars out of five stars,"March 6, 2019",great apps,
Bukalapak-JualBeliOnline,THEMES 99,Rated 1 stars out of five stars,"March 6, 2019","firtur kurang bagus,...Mau Ambil Ajah Uang Refund Dana Susah , Udah Tau No Tlp Hilang, Malah Di Suruh Ke Aplikasi Lain, Di Pengatur Kan Nomor Yang Baru, Biasa nya , uang refund dana masuk Ke bukadompet, verifikode bermasaah , mau ambi uang sendiri berbelit belit, dah ahh .. saya dah kapok  udah 4 kali bermasallah, saya mau pindah ke toko sebelah, yang lancar tanpa ada masalah sedikitt","PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendala yang Kakak alami. Silakan infokan detail kendala kamu melalui form berikut: https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya dapat segera terselesaikan ya."
Bukalapak-JualBeliOnline,A Google user,Rated 5 stars out of five stars,"March 6, 2019",good app 😘,
Bukalapak-JualBeliOnline,trista wijayanti,Rated 5 stars out of five stars,"March 6, 2019",cari tiket untuk uji coba met. insyaa Allah ga chaos ya,
Bukalapak-JualBeliOnline,AIM Production,Rated 4 stars out of five stars,"March 6, 2019",tempat jual beli online yang lebih aman dan mudah,
Bukalapak-JualBeliOnline,Listio D U,Rated 1 stars out of five stars,"March 6, 2019",hatespeech by ceo,
Bukalapak-JualBeliOnline,A Google user,Rated 1 stars out of five stars,"March 6, 2019",jelek,
Bukalapak-JualBeliOnline,DIKE ZAHIRI,Rated 5 stars out of five stars,"March 6, 2019",good aplikasi,
Bukalapak-JualBeliOnline,Ahmad Syarifuddin,Rated 3 stars out of five stars,"March 6, 2019",kenapa ya sering kena tuduhan fraud? kadang kasihan sama customer saya yang sudah langganan beli di lapak saya niatnya menggunakan promo voucher dari bukalapak akan tetapi dibatalkan karena terindikasi fraud. padahal juga tidak kenal.,"PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendala yang Kakak alami. Silakan infokan detail kendala kamu melalui form berikut: https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya dapat segera terselesaikan ya."
Bukalapak-JualBeliOnline,Fajar Febrin Pratama,Rated 5 stars out of five stars,"March 6, 2019",mantull,
Bukalapak-JualBeliOnline,Dedy Nazaruddin,Rated 5 stars out of five stars,"March 6, 2019",the best e commerce in indonesia,
Bukalapak-JualBeliOnline,Robi Cahyadi,Rated 5 stars out of five stars,"March 6, 2019",Lapak sangat membantu sekali masyarakan indonesia. MERDEKA,
Bukalapak-JualBeliOnline,oyikk hart,Rated 5 stars out of five stars,"March 6, 2019",membantu dalam memenuhi hasrat belanja,
Bukalapak-JualBeliOnline,Marmoth 20,Rated 1 stars out of five stars,"March 6, 2019",promo serbu seru lemot sudah dibayar tp status masih belum di bayar dan sampai skrg belum di refund..,
Bukalapak-JualBeliOnline,Alfie andasari,Rated 1 stars out of five stars,"March 6, 2019","Mau book Trial MRT di suruh verifikasi email, saat pencet verifikasi button tidak ada email verifikasi terkirim ke email saya. saat tekan 'kirim ulang email verifikasi' katanya akun saya sudah di verifikasi tapi setiap mau transaksi harus verifikasi. Maunya apa dah hadeeeeehhh",
Bukalapak-JualBeliOnline,hung long yuan,Rated 5 stars out of five stars,"March 6, 2019",good aplikasi,
Bukalapak-JualBeliOnline,Pedoq doq,Rated 3 stars out of five stars,"March 6, 2019","setelah update, knp review barang dr pembeli ilang? padahal di page barang jualan jelas ada tanda bintang (sekian orang)",
Bukalapak-JualBeliOnline,Christiana Vera,Rated 5 stars out of five stars,"March 6, 2019",👍,
