,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,127,7,469,Vitamin & Nutrisi,,0,,,False,140303252,0,False,1,Blackmores Bio Ace Excell BPOM Kalbe - 80 Softgel,,0,Rp 363.750,363750,,5,Jakarta Timur,612382,True,False,True,Jakarta Timur,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,9955,,https://www.tokopedia.com/bosvitamin/blackmores-bio-ace-excell-bpom-kalbe-80-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,3,469,Vitamin & Nutrisi,,0,,,False,628002546,0,False,1,Blackmores Bio Ace Excell (80),,0,Rp 485.000,485000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G64,1,3,,https://www.tokopedia.com/blackmores/blackmores-bio-ace-excell-80-c2ac?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D2_catid%3D469&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,261,2,469,Vitamin & Nutrisi,,0,,,False,588271979,0,False,1,BLACKMORES BIO ACE EXCELL EXCEL KALBE VITAMIN ANTIOKSIDAN - 80 KAPSUL,,0,Rp 450.000,450000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999707,,https://www.tokopedia.com/dailypromotion/blackmores-bio-ace-excell-excel-kalbe-vitamin-antioksidan-80-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D3_catid%3D469&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,7,7,469,Vitamin & Nutrisi,,0,,,False,757221428,0,False,1,Blackmores Bio Ace Excell 80 Kapsul BPOM Original Excel Multivitamin,,0,Rp 360.000,360000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,7,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-bio-ace-excell-80-kapsul-bpom-original-excel-multivitamin?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D4_catid%3D469&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
4,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,55,6,469,Vitamin & Nutrisi,,0,,,False,390234994,0,False,1,Blackmores Bio Ace Excell 80 Softgel,,0,Rp 360.000,360000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,5,,https://www.tokopedia.com/bandaneirastore/blackmores-bio-ace-excell-80-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D5_catid%3D469&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
5,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,3,5,726,Vitamin Daya Tahan Tubuh,2020-07-01T00:00:00Z,10,2020-06-02T15:45:42Z,,False,196871404,0,False,1,BLACKMORES BIO ACE EXCELL 80's - Suplemen Kesehatan,Rp 521.375,0,Rp 469.238,469238,,5,Jakarta Barat,2305045,True,True,True,Jakarta Barat,farmaku,https://inbox.tokopedia.com/reputation/v1/badge/shop/2305045,https://www.tokopedia.com/farmaku,,1,5,,https://www.tokopedia.com/farmaku/blackmores-bio-ace-excell-80-s-suplemen-kesehatan?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D6_catid%3D726&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,5,469,Vitamin & Nutrisi,,0,,,False,747547552,0,False,1,Blackmores Bio Ace Excell - Kalbe - 80 Softgel,,0,Rp 413.000,413000,,5,Kab. Sidoarjo,371179,True,False,True,Kab. Sidoarjo,UD. Jodi Akbar,https://inbox.tokopedia.com/reputation/v1/badge/shop/371179,https://www.tokopedia.com/ud-jodiakbar,,1,10,,https://www.tokopedia.com/ud-jodiakbar/blackmores-bio-ace-excell-kalbe-80-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D7_catid%3D469&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,8,3,469,Vitamin & Nutrisi,,0,,,False,769578716,0,False,1,Blackmores BIO ACE EXCELL/Vitamin C dan E lengkap isi 80 caps bpom,,0,Rp 400.000,400000,,5,Jakarta Barat,6329152,True,False,True,Jakarta Barat,GUNUNG JAYA88,https://inbox.tokopedia.com/reputation/v1/badge/shop/6329152,https://www.tokopedia.com/gunungjaya88,,1,18,,https://www.tokopedia.com/gunungjaya88/blackmores-bio-ace-excell-vitamin-c-dan-e-lengkap-isi-80-caps-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D8_catid%3D469&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
8,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,7,6,2511,Vitamin C,,0,,,False,195368561,0,False,1,"Blackmores Bio Ace Excell BPOM Kalbe 80's - Antioksidan, Vitamin C",,0,Rp 370.000,370000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,9,,https://www.tokopedia.com/salamsehatbugar/blackmores-bio-ace-excell-bpom-kalbe-80-s-antioksidan-vitamin-c?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D9_catid%3D2511&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
9,,kesehatan/lainnya,715,Kesehatan,,1,0,3,1129,Kesehatan Lainnya,,0,,,False,633035937,0,False,1,BLACKMORES BIO ACE EXCELL BOTOL 80 KAPSUL,,0,Rp 395.000,395000,,0,Jakarta Selatan,7294916,True,True,True,Jakarta Selatan,Apotek Selamet,https://inbox.tokopedia.com/reputation/v1/badge/shop/7294916,https://www.tokopedia.com/apotekselamet,3067149,1,7,,https://www.tokopedia.com/apotekselamet/blackmores-bio-ace-excell-botol-80-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D10_catid%3D1129&whid=0,0,2020-06-04,Blackmores Bio Ace Excell (80)
