,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,15,3,469,Vitamin & Nutrisi,,0,,,False,495118611,0,False,1,Blackmores Bio C 1000mg - 150 tablets,,0,Rp 450.000,450000,,5,Jakarta Barat,6234367,True,False,True,Jakarta Barat,sydneygoods,https://inbox.tokopedia.com/reputation/v1/badge/shop/6234367,https://www.tokopedia.com/sydneygoods,,1,38,,https://www.tokopedia.com/sydneygoods/blackmores-bio-c-1000mg-150-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
1,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,42,3,726,Vitamin Daya Tahan Tubuh,,0,,,False,341444853,0,False,1,Blackmores Bio C 1000mg - 150 tablets,,0,Rp 450.000,450000,,5,Jakarta Pusat,1395501,True,False,True,Jakarta Pusat,Supplement Warehouse,https://inbox.tokopedia.com/reputation/v1/badge/shop/1395501,https://www.tokopedia.com/suppwarehouse,20,1,71,,https://www.tokopedia.com/suppwarehouse/blackmores-bio-c-1000mg-150-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D2_catid%3D726&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
2,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,"[825174187, 825174186, 825174185]",1,107,5,2511,Vitamin C,,0,,,False,825174185,0,False,1,BLACKMORES BIO C 1000mg AUSTRALIA Vitamin Vit C 1000 mg 31 62 150,,825174181,Rp 225.000,225000,,5,Jakarta Utara,8122922,True,False,True,Jakarta Utara,mamalawancorona,https://inbox.tokopedia.com/reputation/v1/badge/shop/8122922,https://www.tokopedia.com/mamalawancorona,,1,15,,https://www.tokopedia.com/mamalawancorona/blackmores-bio-c-1000mg-australia-vitamin-vit-c-1000-mg-31-62-150-31-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D3_catid%3D2511&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
3,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,5,3,2511,Vitamin C,,0,,,False,837537011,0,False,1,Blackmores Bio C 1000mg 150 tablet,,0,Rp 450.000,450000,,5,Jakarta Utara,6052755,True,False,True,Jakarta Utara,Momsenbubs,https://inbox.tokopedia.com/reputation/v1/badge/shop/6052755,https://www.tokopedia.com/momsenbubs,,1,32,,https://www.tokopedia.com/momsenbubs/blackmores-bio-c-1000mg-150-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D4_catid%3D2511&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
4,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,8,8,2511,Vitamin C,,0,,,False,833717728,0,False,1,Blackmores Bio C 1000mg 150,,0,Rp 560.000,560000,,5,Bogor,6776077,True,False,True,Bogor,Depot Buku,https://inbox.tokopedia.com/reputation/v1/badge/shop/6776077,https://www.tokopedia.com/depot-buku,,1,3,,https://www.tokopedia.com/depot-buku/blackmores-bio-c-1000mg-150?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D5_catid%3D2511&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
5,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,"[805336244, 805336243, 805336245]",1,5,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,805336245,0,False,1,Blackmores Bio C 1000mg 30 / 60 / 150 BPOM Kalbe Vitamin C 1000 500 mg,,805336240,Rp 225.000,225000,,5,Surabaya,595873,True,False,True,Surabaya,Semua Diskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/595873,https://www.tokopedia.com/semuadiskon,,1,6,,https://www.tokopedia.com/semuadiskon/blackmores-bio-c-1000mg-30-60-150-bpom-kalbe-vitamin-c-1000-500-mg-vitc-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D6_catid%3D726&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
6,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,9,6,2511,Vitamin C,,0,,,False,833321008,0,False,1,Bio c Blackmores 1000mg 150 tablet! Ready kak silahkan di order!,,0,Rp 495.000,495000,,5,Kab. Tangerang,1555640,True,False,True,Kab. Tangerang,D&#39;vapez,https://inbox.tokopedia.com/reputation/v1/badge/shop/1555640,https://www.tokopedia.com/dvdsnc,,1,19,,https://www.tokopedia.com/dvdsnc/bio-c-blackmores-1000mg-150-tablet-ready-kak-silahkan-di-order?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D7_catid%3D2511&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
7,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,6,3,2511,Vitamin C,,0,,,False,829666782,0,False,1,Blackmores Bio C 1000mg 150 Tablet Ori Australia (READY STOCK),,0,Rp 495.000,495000,,5,Kab. Tangerang,5716406,True,False,True,Kab. Tangerang,Australia Goods,https://inbox.tokopedia.com/reputation/v1/badge/shop/5716406,https://www.tokopedia.com/australiagoods,,1,18,,https://www.tokopedia.com/australiagoods/blackmores-bio-c-1000mg-150-tablet-ori-australia-ready-stock?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D8_catid%3D2511&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
8,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,23,6,2511,Vitamin C,,0,,,False,824751403,0,False,1,BLACKMORES BIO C 1000MG 150 TABLET. READY KAK SILAHKAN DI ORDER!,,0,Rp 495.000,495000,,5,Kab. Tangerang,1555640,True,False,True,Kab. Tangerang,D&#39;vapez,https://inbox.tokopedia.com/reputation/v1/badge/shop/1555640,https://www.tokopedia.com/dvdsnc,,1,17,,https://www.tokopedia.com/dvdsnc/blackmores-bio-c-1000mg-150-tablet-ready-kak-silahkan-di-order?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D9_catid%3D2511&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
9,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,"[873933240, 873933239]",1,4,3,2511,Vitamin C,,0,,,False,873933239,0,False,1,"Blackmores Bio C 1000mg 150 Tablet, Asli Australia (READY STOCK)",,825246359,Rp 497.000,497000,,5,Kab. Tangerang,5716406,True,False,True,Kab. Tangerang,Australia Goods,https://inbox.tokopedia.com/reputation/v1/badge/shop/5716406,https://www.tokopedia.com/australiagoods,,1,20,,https://www.tokopedia.com/australiagoods/blackmores-bio-c-1000mg-150-tablet-asli-australia-ready-stock-aussie?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%28150%29_po%3D10_catid%3D2511&whid=0,0,2020-06-04,Blackmores Bio C 1000mg (150)
