,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,0,8,726,Vitamin Daya Tahan Tubuh,,0,,,False,783931529,0,False,1,Blackmores CELERY 7000 isi 120 kapsul BLACKMORES,,0,Rp 525.000,525000,,0,Jakarta Utara,2837911,True,False,True,Jakarta Utara,varolex,https://inbox.tokopedia.com/reputation/v1/badge/shop/2837911,https://www.tokopedia.com/varolex,,1,8,,https://www.tokopedia.com/varolex/blackmores-celery-7000-isi-120-kapsul-blackmores?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D1_catid%3D726&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,6,469,Vitamin & Nutrisi,,0,,,False,527803537,0,False,1,Blackmores Celery 7000 120 Capsule,,0,Rp 562.000,562000,,0,Medan,6360350,True,False,True,Medan,Tik Tok Toe,https://inbox.tokopedia.com/reputation/v1/badge/shop/6360350,https://www.tokopedia.com/tiktoktoe,,1,999986,,https://www.tokopedia.com/tiktoktoe/blackmores-celery-7000-120-capsule?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D2_catid%3D469&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,12,469,Vitamin & Nutrisi,,0,,,False,586727520,0,False,1,Blackmores Celery 7000 (120),,0,Rp 575.000,575000,,5,Jakarta Barat,7009101,True,False,True,Jakarta Barat,Healthy_life21,https://inbox.tokopedia.com/reputation/v1/badge/shop/7009101,https://www.tokopedia.com/healthylife21,,1,13,,https://www.tokopedia.com/healthylife21/blackmores-celery-7000-120?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D3_catid%3D469&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
3,,kesehatan/suplemen-diet/lainnya,715,Kesehatan,,1,0,10,745,Diet & Vitamin Lainnya,,0,,,False,602409970,0,False,1,Blackmores Celery 7000 120 capsules,,0,Rp 469.800,469800,,0,Tangerang,3483094,True,False,True,Tangerang,MEYO LAND,https://inbox.tokopedia.com/reputation/v1/badge/shop/3483094,https://www.tokopedia.com/meyoland,,1,2,,https://www.tokopedia.com/meyoland/blackmores-celery-7000-120-capsules?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D4_catid%3D745&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,8,469,Vitamin & Nutrisi,,0,,,False,386381275,0,False,1,Blackmores Celery 7000 (120),,0,Rp 504.400,504400,,0,Medan,2737424,True,False,True,Medan,JovindoShop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2737424,https://www.tokopedia.com/jovindoshop,,1,100,,https://www.tokopedia.com/jovindoshop/blackmores-celery-7000-120?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D5_catid%3D469&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,11,469,Vitamin & Nutrisi,,0,,,False,444094517,0,False,1,Blackmores Celery 7000 - 120 Kapsul,,0,Rp 578.000,578000,,0,Jakarta Utara,2733838,True,False,True,Jakarta Utara,Leygra Shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2733838,https://www.tokopedia.com/leygrashop,,1,999999,,https://www.tokopedia.com/leygrashop/blackmores-celery-7000-120-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D6_catid%3D469&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
6,,kecantikan/perawatan-wajah/paket-perawatan-wajah,61,Kecantikan,,1,0,3,425,Paket Perawatan Wajah,,0,,,False,538986786,0,False,1,Blackmores Celery 7000 120 Capsule / 30 Capsule BPOM Kalbe,,0,Rp 117.500,117500,,0,Surabaya,6466302,True,False,True,Surabaya,elsa ell,https://inbox.tokopedia.com/reputation/v1/badge/shop/6466302,https://www.tokopedia.com/elsaell,,1,100,,https://www.tokopedia.com/elsaell/blackmores-celery-7000-120-capsule-30-capsule-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D7_catid%3D425&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,10,469,Vitamin & Nutrisi,,0,,,False,752438415,0,False,1,Blackmores Celery 7000 120'S,,0,Rp 535.000,535000,,0,Surabaya,4124047,True,False,True,Surabaya,Our living,https://inbox.tokopedia.com/reputation/v1/badge/shop/4124047,https://www.tokopedia.com/glembos,9300807302415,1,3,,https://www.tokopedia.com/glembos/blackmores-celery-7000-120-s?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D8_catid%3D469&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,1,469,Vitamin & Nutrisi,,0,,,False,733490323,0,False,1,Blackmores Celery 7000 120 Capsules,,0,Rp 540.000,540000,,0,Medan,7859559,True,False,True,Medan,Joyie Vitashop,https://inbox.tokopedia.com/reputation/v1/badge/shop/7859559,https://www.tokopedia.com/jvitashop,,1,100,,https://www.tokopedia.com/jvitashop/blackmores-celery-7000-120-capsules?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D9_catid%3D469&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,,0,,,False,661523225,0,False,1,Blackmores Celery 7000 (120),,0,Rp 535.000,535000,,0,Pekanbaru,5668795,True,False,True,Pekanbaru,L&#39;ToYa,https://inbox.tokopedia.com/reputation/v1/badge/shop/5668795,https://www.tokopedia.com/startish,,1,12,,https://www.tokopedia.com/startish/blackmores-celery-7000-120-5bfd?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D10_catid%3D469&whid=0,0,2020-06-04,Blackmores Celery 7000 (120)
