,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,314,7,469,Vitamin & Nutrisi,,0,,,False,91290764,0,False,1,Blackmores Executive B Stress Formula BPOM Kalbe - 62 Tablet,,0,Rp 217.500,217500,,5,Jakarta Timur,612382,True,False,True,Jakarta Timur,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,99931,,https://www.tokopedia.com/bosvitamin/blackmores-executive-b-stress-formula-bpom-kalbe-62-tablet-1?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,Blackmores Executive B (62)
1,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-b,715,Kesehatan,,1,19,6,2510,Vitamin B,,0,,,False,210612164,0,False,1,"Blackmores Executive B - BPOM Kalbe 62's - Vitamin B, Obat Anti Stres",,0,Rp 230.000,230000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,999972,,https://www.tokopedia.com/salamsehatbugar/blackmores-executive-b-bpom-kalbe-62-s-vitamin-b-obat-anti-stres?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D2_catid%3D2510&whid=0,0,2020-06-04,Blackmores Executive B (62)
2,,kesehatan/vitamin-multivitamin/vitamin-b,715,Kesehatan,,1,319,2,2510,Vitamin B,,0,,,False,606364452,0,False,1,BLACKMORES EXECUTIVE B VITAMIN KONDISI STRESS FORMULA KALBE 62 TABLET,,0,Rp 330.000,330000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999461,,https://www.tokopedia.com/dailypromotion/blackmores-executive-b-vitamin-kondisi-stress-formula-kalbe-62-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D3_catid%3D2510&whid=0,0,2020-06-04,Blackmores Executive B (62)
3,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,7,469,Vitamin & Nutrisi,2020-06-30T00:00:00Z,15,2020-06-01T13:32:36Z,,False,121643380,0,False,1,BLACKMORES EXECUTIVE B (62) BPOM KALBE,Rp 298.000,0,Rp 253.300,253300,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCEB,1,9,,https://www.tokopedia.com/mitrasana/blackmores-executive-b-62-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D4_catid%3D469&whid=0,0,2020-06-04,Blackmores Executive B (62)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,11,7,469,Vitamin & Nutrisi,,0,,,False,342765631,0,False,1,BLACKMORES Executive B 62 tablet,,0,Rp 225.000,225000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,13,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-executive-b-62-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D5_catid%3D469&whid=0,0,2020-06-04,Blackmores Executive B (62)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,4,469,Vitamin & Nutrisi,,0,,,False,500677157,0,False,1,Blackmores Executive B BPOM KALBE - 62 tablet,,0,Rp 217.500,217500,,5,Tangerang Selatan,2194216,True,False,True,Tangerang Selatan,Baby Wise,https://inbox.tokopedia.com/reputation/v1/badge/shop/2194216,https://www.tokopedia.com/babywise,BLCEB,1,4,,https://www.tokopedia.com/babywise/blackmores-executive-b-bpom-kalbe-62-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D6_catid%3D469&whid=0,0,2020-06-04,Blackmores Executive B (62)
6,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,8,469,Vitamin & Nutrisi,,0,,,False,483591986,0,False,1,Blackmores EXECUTIVE B 62 TABLET BPOM KALBE,,0,Rp 299.000,299000,,5,Surabaya,2714796,True,False,True,Surabaya,the fit gym store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2714796,https://www.tokopedia.com/thefitgymstore,,1,999986,,https://www.tokopedia.com/thefitgymstore/blackmores-executive-b-62-tablet-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D7_catid%3D469&whid=0,0,2020-06-04,Blackmores Executive B (62)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,5,469,Vitamin & Nutrisi,2020-12-31T00:00:00Z,39,2020-06-01T21:00:04Z,,False,248907997,0,False,1,BLACKMORES EXECUTIVE B STRESS FORMULA BPOM KALBE - 62 TAB,Rp 396.500,0,Rp 243.500,243500,,5,Jakarta Utara,2882005,True,True,True,Jakarta Utara,Vitamindiskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/2882005,https://www.tokopedia.com/vitamindiskon,KBMEBSF62,1,5,,https://www.tokopedia.com/vitamindiskon/blackmores-executive-b-stress-formula-bpom-kalbe-62-tab?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D8_catid%3D469&whid=0,0,2020-06-04,Blackmores Executive B (62)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,5,2,469,Vitamin & Nutrisi,,0,,,False,224635683,0,False,1,blackmores executive b stress formula 62 caps,,0,Rp 225.000,225000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,999994,,https://www.tokopedia.com/hulksupplement/blackmores-executive-b-stress-formula-62-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D9_catid%3D469&whid=0,0,2020-06-04,Blackmores Executive B (62)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,7,3,469,Vitamin & Nutrisi,,0,,,False,769699885,0,False,1,Blackmores Executive B - 62 tablet - BPOM Kalbe,,0,Rp 232.000,232000,,5,Bandung,7068449,True,False,True,Bandung,7lotus,https://inbox.tokopedia.com/reputation/v1/badge/shop/7068449,https://www.tokopedia.com/7lotus,,1,9,,https://www.tokopedia.com/7lotus/blackmores-executive-b-62-tablet-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2862%29_po%3D10_catid%3D469&whid=0,0,2020-06-04,Blackmores Executive B (62)
