,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,30,5,469,Vitamin & Nutrisi,,0,,,False,241285218,0,False,1,BLACKMORES Flaxseed Oil 1000Mg (100 tablets),,0,Rp 259.900,259900,,5,Jakarta Pusat,2142423,True,False,True,Jakarta Pusat,BABY SANRIO,https://inbox.tokopedia.com/reputation/v1/badge/shop/2142423,https://www.tokopedia.com/babysanrio,,1,999954,,https://www.tokopedia.com/babysanrio/blackmores-flaxseed-oil-1000mg-100-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,5,469,Vitamin & Nutrisi,2020-12-31T00:00:00Z,30,2020-06-03T23:40:48Z,,False,248911142,0,False,1,BLACKMORES FLAXSEED OIL 1000MG BPOM KALBE - 100 CAPS,Rp 404.000,0,Rp 282.500,282500,,5,Jakarta Utara,2882005,True,True,True,Jakarta Utara,Vitamindiskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/2882005,https://www.tokopedia.com/vitamindiskon,9300807301791,1,3,,https://www.tokopedia.com/vitamindiskon/blackmores-flaxseed-oil-1000mg-bpom-kalbe-100-caps-1?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D2_catid%3D469&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
2,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,9,7,726,Vitamin Daya Tahan Tubuh,,0,,,False,405476969,0,False,1,BLACKMORES Flaxseed Oil 1000mg 100 kapsul BPOM Kalbe Suplemen 1000 mg,,0,Rp 217.000,217000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,5,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-flaxseed-oil-1000mg-100-kapsul-bpom-kalbe-suplemen-1000-mg?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D3_catid%3D726&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,5,469,Vitamin & Nutrisi,,0,,,False,538557432,0,False,1,Blackmores Flaxseed Oil 1000mg (100),,0,Rp 295.000,295000,,5,Jakarta Barat,2443009,True,True,True,Jakarta Barat,KALCare Official Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2443009,https://www.tokopedia.com/kalcare,BLCFO,1,4,,https://www.tokopedia.com/kalcare/blackmores-flaxseed-oil-1000mg-100?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D4_catid%3D469&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,5,3,469,Vitamin & Nutrisi,,0,,,False,452473385,0,False,1,Blackmores Flaxseed Oil 1000 mg 100 tablets BPOM KALBE,,0,Rp 260.000,260000,,5,Jakarta Barat,519800,False,False,False,Jakarta Barat,Vitamin Direct,https://inbox.tokopedia.com/reputation/v1/badge/shop/519800,https://www.tokopedia.com/vitamindirect,9300807301791,1,11,,https://www.tokopedia.com/vitamindirect/blackmores-flaxseed-oil-1000-mg-100-tablets-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D5_catid%3D469&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
5,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,2020-12-31T00:00:00Z,30,2020-06-03T23:40:29Z,,False,631992872,0,False,1,BLACKMORES FLAXSEED OIL 1000MG BPOM KALBE - 100 CAPS Vitamin kesehatan,Rp 404.000,0,Rp 282.500,282500,,0,Jakarta Utara,2882005,True,True,True,Jakarta Utara,Vitamindiskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/2882005,https://www.tokopedia.com/vitamindiskon,,1,4,,https://www.tokopedia.com/vitamindiskon/blackmores-flaxseed-oil-1000mg-bpom-kalbe-100-caps-vitamin-kesehatan?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D6_catid%3D469&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,7,469,Vitamin & Nutrisi,,0,,,False,648135454,0,False,1,Blackmores Flaxseed Oil 1000mg - 100 tablet,,0,Rp 235.000,235000,,0,Medan,6730153,True,False,True,Medan,wellingmart,https://inbox.tokopedia.com/reputation/v1/badge/shop/6730153,https://www.tokopedia.com/wellingmart,,1,100,,https://www.tokopedia.com/wellingmart/blackmores-flaxseed-oil-1000mg-100-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D7_catid%3D469&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
7,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,1,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,457782837,0,False,1,Blackmores Flaxseed Oil 1000mg isi 100 Kapsul by Kalbe,,0,Rp 236.000,236000,,5,Denpasar,2247215,True,False,True,Denpasar,Balonku Babyshop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2247215,https://www.tokopedia.com/balonkubabyshop,ST234-0025,1,2,,https://www.tokopedia.com/balonkubabyshop/blackmores-flaxseed-oil-1000mg-isi-100-kapsul-by-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D8_catid%3D726&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,10,4,469,Vitamin & Nutrisi,,0,,,False,137556728,0,False,1,BLACKMORES FLAXSEED OIL 1000MG BPOM KALBE - 100 TAB,,0,Rp 265.000,265000,,5,Jakarta Utara,403442,True,False,True,Jakarta Utara,Vitamin Kita,https://inbox.tokopedia.com/reputation/v1/badge/shop/403442,https://www.tokopedia.com/vitaminkita,,1,1,,https://www.tokopedia.com/vitaminkita/blackmores-flaxseed-oil-1000mg-bpom-kalbe-100-tab?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D9_catid%3D469&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,,0,,,False,862970160,0,True,1,Blackmores Flaxseed Oil 1000mg 100 Vegetarian Capsules,,0,Rp 290.000,290000,,0,Jakarta Barat,6431300,True,False,True,Jakarta Barat,MKK accessories,https://inbox.tokopedia.com/reputation/v1/badge/shop/6431300,https://www.tokopedia.com/mkkaccessories,,1,7,['Preorder'],https://www.tokopedia.com/mkkaccessories/blackmores-flaxseed-oil-1000mg-100-vegetarian-capsules?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D10_catid%3D469&whid=0,0,2020-06-04,Blackmores Flaxseed Oil 1000mg (100)
