,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-e,715,Kesehatan,,1,11,5,2513,Vitamin E,,0,,,False,752269475,0,False,1,BPOM Kalbe Blackmores Natural E 250 IU - 50 Kapsul,,0,Rp 215.000,215000,,5,Jakarta Selatan,5614297,True,False,True,Jakarta Selatan,Bismillahh Project,https://inbox.tokopedia.com/reputation/v1/badge/shop/5614297,https://www.tokopedia.com/bismillahhpro,,1,1,,https://www.tokopedia.com/bismillahhpro/bpom-kalbe-blackmores-natural-e-250-iu-50-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D1_catid%3D2513&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
1,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-e,715,Kesehatan,,1,24,7,2513,Vitamin E,,0,,,False,521815414,0,False,1,Blackmores natural E 250 IU isi 50 vitamin E kesehatan wajah wani,,0,Rp 170.000,170000,,5,Pekanbaru,2225239,True,False,True,Pekanbaru,fitforlife,https://inbox.tokopedia.com/reputation/v1/badge/shop/2225239,https://www.tokopedia.com/fitforlifeidn,,1,3,,https://www.tokopedia.com/fitforlifeidn/blackmores-natural-e-250-iu-isi-50-vitamin-e-kesehatan-wajah-wani?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D2_catid%3D2513&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
2,,kesehatan/vitamin-multivitamin/vitamin-e,715,Kesehatan,,2,8,2,2513,Vitamin E,,0,,,False,759891595,0,False,1,Blackmores Natural E 250 IU (50 Kapsul),,0,Rp 235.000,235000,,5,Jakarta Selatan,7954623,True,False,True,Jakarta Selatan,NIEVES HEALTH,https://inbox.tokopedia.com/reputation/v1/badge/shop/7954623,https://www.tokopedia.com/nieveshealth,,1,200,,https://www.tokopedia.com/nieveshealth/blackmores-natural-e-250-iu-50-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D3_catid%3D2513&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
3,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,2,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,753488926,0,False,1,Blackmores Natural E 250 IU (50 tablet),,0,Rp 225.000,225000,,5,Tangerang Selatan,8068086,True,False,True,Tangerang Selatan,Nieves Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/8068086,https://www.tokopedia.com/nievesstore,,1,19,,https://www.tokopedia.com/nievesstore/blackmores-natural-e-250-iu-50-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D4_catid%3D726&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
4,,kesehatan/lainnya,715,Kesehatan,,1,1,5,1129,Kesehatan Lainnya,,0,,,False,621297074,0,False,1,Blackmores Natural E 250 iu (50),,0,Rp 170.000,170000,,5,Bandung,7305430,True,False,True,Bandung,Mitrasana Bandung,https://inbox.tokopedia.com/reputation/v1/badge/shop/7305430,https://www.tokopedia.com/mitrasanabandung,BLCNA,1,8,,https://www.tokopedia.com/mitrasanabandung/blackmores-natural-e-250-iu-50?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D5_catid%3D1129&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
5,,kesehatan/vitamin-multivitamin/vitamin-e,715,Kesehatan,,1,3,7,2513,Vitamin E,,0,,,False,732668505,0,False,1,Blackmores Natural E 250 iu (50),,0,Rp 227.500,227500,,5,Denpasar,4938298,True,False,True,Denpasar,Labotanica Bali,https://inbox.tokopedia.com/reputation/v1/badge/shop/4938298,https://www.tokopedia.com/labotanicabali,,1,4,,https://www.tokopedia.com/labotanicabali/blackmores-natural-e-250-iu-50?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D6_catid%3D2513&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
6,,kesehatan/vitamin-multivitamin/vitamin-e,715,Kesehatan,,1,4,6,2513,Vitamin E,,0,,,False,809737569,0,False,1,Blackmores Natural E 250 IU Suplemen Kesehatan 50 Caps,,0,Rp 199.000,199000,,5,Jakarta Utara,2361668,True,False,True,Jakarta Utara,the baby boss shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2361668,https://www.tokopedia.com/thebabybossshop,,1,10,,https://www.tokopedia.com/thebabybossshop/blackmores-natural-e-250-iu-suplemen-kesehatan-50-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D7_catid%3D2513&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,5,469,Vitamin & Nutrisi,,0,,,False,808849166,0,False,1,BLACKMORES NATURAL E 250 IU 50 KAPSUL VITAMIN E,,0,Rp 185.000,185000,,5,Tangerang Selatan,3646113,True,False,True,Tangerang Selatan,import_addict,https://inbox.tokopedia.com/reputation/v1/badge/shop/3646113,https://www.tokopedia.com/importaddict,,1,8,,https://www.tokopedia.com/importaddict/blackmores-natural-e-250-iu-50-kapsul-vitamin-e?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D8_catid%3D469&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
8,,kesehatan/vitamin-multivitamin/vitamin-e,715,Kesehatan,,1,2,5,2513,Vitamin E,,0,,,False,760848236,0,False,1,BPOM Blackmores Natural E 250 IU - 50 Kapsul,,0,Rp 215.000,215000,,5,Jakarta Selatan,5614297,True,False,True,Jakarta Selatan,Bismillahh Project,https://inbox.tokopedia.com/reputation/v1/badge/shop/5614297,https://www.tokopedia.com/bismillahhpro,,1,1,,https://www.tokopedia.com/bismillahhpro/bpom-blackmores-natural-e-250-iu-50-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D9_catid%3D2513&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
9,,kesehatan/vitamin-multivitamin/vitamin-e,715,Kesehatan,,1,2,8,2513,Vitamin E,,0,,,False,807059889,0,False,1,Blackmores Natural E 250 IU 50 Capsules Blackmores Vitamin E BPOM,,0,Rp 275.000,275000,,5,Surabaya,2714796,True,False,True,Surabaya,the fit gym store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2714796,https://www.tokopedia.com/thefitgymstore,,1,86,,https://www.tokopedia.com/thefitgymstore/blackmores-natural-e-250-iu-50-capsules-blackmores-vitamin-e-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Natural+E+250+iu+%2850%29_po%3D10_catid%3D2513&whid=0,0,2020-06-04,Blackmores Natural E 250 iu (50)
