,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,118,8,469,Vitamin & Nutrisi,,0,,,False,296973379,0,False,1,"Blackmores Odourless Fish oil 1000 mg, 400 capsul, Made in Australia",,0,Rp 380.000,380000,,5,Jakarta Utara,1148108,True,False,True,Jakarta Utara,Healing Solutions,https://inbox.tokopedia.com/reputation/v1/badge/shop/1148108,https://www.tokopedia.com/healingsolutions,,1,946,,https://www.tokopedia.com/healingsolutions/blackmores-odourless-fish-oil-1000-mg-400-capsul-made-in-australia?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,46,7,469,Vitamin & Nutrisi,,0,,,False,332727767,0,False,1,BLACKMORES Odourless Fish Oil 1000 mg 400 kapsul Original Kalbe BPOM,,0,Rp 393.000,393000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,32,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-odourless-fish-oil-1000-mg-400-kapsul-original-kalbe-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D2_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,45,3,469,Vitamin & Nutrisi,,0,,,False,613010692,0,False,1,Blackmores Odourless Fish Oil 1000 (400),,0,Rp 535.000,535000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G57,1,13,,https://www.tokopedia.com/blackmores/blackmores-odourless-fish-oil-1000-400?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D3_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
3,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,47,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,303339587,0,False,1,blackmores fish oil odourless mini caps 1000 mg 400 caps omega 3,,0,Rp 425.000,425000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,999930,,https://www.tokopedia.com/hulksupplement/blackmores-fish-oil-odourless-mini-caps-1000-mg-400-caps-omega-3?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D4_catid%3D726&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,59,5,469,Vitamin & Nutrisi,2020-07-01T00:00:00Z,20,2020-06-02T16:17:27Z,,False,250450597,0,False,1,BLACKMORES Odourless Fish Oil 1000 400'S,Rp 575.125,0,Rp 460.100,460100,,5,Jakarta Barat,2305045,True,True,True,Jakarta Barat,farmaku,https://inbox.tokopedia.com/reputation/v1/badge/shop/2305045,https://www.tokopedia.com/farmaku,,1,1,,https://www.tokopedia.com/farmaku/blackmores-odourless-fish-oil-1000-400-s?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D5_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
5,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,357,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,606621284,0,False,1,BLACKMORES ODOURLESS FISH OIL OMEGA 3 1000MG 1000 MG KALBE 400 KAPSUL,,0,Rp 535.000,535000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999277,,https://www.tokopedia.com/dailypromotion/blackmores-odourless-fish-oil-omega-3-1000mg-1000-mg-kalbe-400-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D6_catid%3D726&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
6,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,5,469,Vitamin & Nutrisi,2020-12-31T00:00:00Z,39,2020-06-01T21:00:48Z,,False,249962926,0,False,1,BLACKMORES ODOURLESS FISH OIL 1000 BPOM KALBE - 400 CAPS,Rp 732.500,0,Rp 448.500,448500,,5,Jakarta Utara,2882005,True,True,True,Jakarta Utara,Vitamindiskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/2882005,https://www.tokopedia.com/vitamindiskon,KBMOFO1000400,1,7,,https://www.tokopedia.com/vitamindiskon/blackmores-odourless-fish-oil-1000-bpom-kalbe-400-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D7_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
7,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,33,10,726,Vitamin Daya Tahan Tubuh,,0,,,False,214563273,0,False,1,Blackmores Odourless Fish Oil 1000 mg - Isi 400 Kapsul Lunak,,0,Rp 401.250,401250,,5,Jakarta Pusat,246424,True,False,True,Jakarta Pusat,moermer,https://inbox.tokopedia.com/reputation/v1/badge/shop/246424,https://www.tokopedia.com/moermer,,1,3,,https://www.tokopedia.com/moermer/blackmores-odourless-fish-oil-1000-mg-isi-400-kapsul-lunak?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D8_catid%3D726&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,35,5,469,Vitamin & Nutrisi,,0,,,False,450868735,0,True,1,Blackmores odourless fish oil 1000 (400),,0,Rp 380.000,380000,,5,Jakarta Pusat,3501280,True,False,True,Jakarta Pusat,INFINITY SHOPPING,https://inbox.tokopedia.com/reputation/v1/badge/shop/3501280,https://www.tokopedia.com/infinityshoppin,,1,5,['Preorder'],https://www.tokopedia.com/infinityshoppin/blackmores-odourless-fish-oil-1000-400?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D9_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,15,5,469,Vitamin & Nutrisi,,0,,,False,538558871,0,False,1,Blackmores Odourless Fish Oil 1000 (400),,0,Rp 535.000,535000,,5,Jakarta Barat,2443009,True,True,True,Jakarta Barat,KALCare Official Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2443009,https://www.tokopedia.com/kalcare,BLCFB,1,12,,https://www.tokopedia.com/kalcare/blackmores-odourless-fish-oil-1000-400?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D10_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
10,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,8,4,469,Vitamin & Nutrisi,,0,,,False,197402421,0,False,1,Blackmores Odourless Fish Oil 1000 (400 Caps),,0,Rp 396.000,396000,,5,Jakarta Utara,403442,True,False,True,Jakarta Utara,Vitamin Kita,https://inbox.tokopedia.com/reputation/v1/badge/shop/403442,https://www.tokopedia.com/vitaminkita,,1,1,,https://www.tokopedia.com/vitaminkita/blackmores-odourless-fish-oil-1000-400-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D11_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
11,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,6,469,Vitamin & Nutrisi,,0,,,False,195640126,0,False,1,Blackmores Odourless Fish Oil 1000 BPOM Kalbe 400's - Suplemen Jantung,,0,Rp 428.000,428000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,3,,https://www.tokopedia.com/salamsehatbugar/blackmores-odourless-fish-oil-1000-bpom-kalbe-400-s-suplemen-jantung?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D12_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
12,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,15,2,469,Vitamin & Nutrisi,,0,,,False,229408003,0,False,1,blackmores fish oil odourless mini caps 1000 mg 400 caps minyak ikan,,0,Rp 385.000,385000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,999986,,https://www.tokopedia.com/hulksupplement/blackmores-fish-oil-odourless-mini-caps-1000-mg-400-caps-minyak-ikan?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D13_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
13,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,"[696771621, 696771623, 696771622]",1,0,11,726,Vitamin Daya Tahan Tubuh,,0,,,False,696771622,0,False,1,Blackmores Odourless 1000 Fish Oil 30 200 400 PCS AUSTRALIA KALBE BPOM,,696771619,Rp 335.000,335000,,0,Jakarta Barat,6085297,True,True,True,Jakarta Barat,Shipment,https://inbox.tokopedia.com/reputation/v1/badge/shop/6085297,https://www.tokopedia.com/shipment,,1,38,,https://www.tokopedia.com/shipment/blackmores-odourless-1000-fish-oil-30-200-400-pcs-australia-kalbe-bpom-200-pcs?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%28400%29_po%3D14_catid%3D726&whid=0,0,2020-06-04,Blackmores Odourless Fish Oil 1000 (400)
