,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,12,7,469,Vitamin & Nutrisi,2020-06-30T00:00:00Z,15,2020-06-01T13:30:23Z,,False,121662455,0,False,1,BLACKMORES ODOURLESS GARLIC (200) BPOM KALBE,Rp 221.450,0,Rp 188.233,188233,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCOG,1,8,,https://www.tokopedia.com/mitrasana/blackmores-odourless-garlic-200-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
1,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,373,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,606596758,0,False,1,BLACKMORES ODOURLESS ODORLESS GARLIC VITAMIN BAWANG PUTIH - 200 TABLET,,0,Rp 250.000,250000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999251,,https://www.tokopedia.com/dailypromotion/blackmores-odourless-odorless-garlic-vitamin-bawang-putih-200-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D2_catid%3D726&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
2,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,5,469,Vitamin & Nutrisi,2020-12-31T00:00:00Z,34,2020-06-01T21:00:35Z,,False,249145510,0,False,1,BLACKMORES ODOURLESS GARLIC BPOM KALBE - 200 TAB,Rp 295.000,0,Rp 195.000,195000,,4,Jakarta Utara,2882005,True,True,True,Jakarta Utara,Vitamindiskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/2882005,https://www.tokopedia.com/vitamindiskon,KBMKOG200,1,29,,https://www.tokopedia.com/vitamindiskon/blackmores-odourless-garlic-bpom-kalbe-200-tab?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D3_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,2,469,Vitamin & Nutrisi,,0,,,False,224633729,0,False,1,blackmores odourless garlic 200 tabs puritan suplemen bawang putih,,0,Rp 185.000,185000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,10,,https://www.tokopedia.com/hulksupplement/blackmores-odourless-garlic-200-tabs-puritan-suplemen-bawang-putih?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D4_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,3,469,Vitamin & Nutrisi,,0,,,False,744279110,0,False,1,Blackmores Odourless Garlic(Imun dan kolestrol) isi 200 tablet,,0,Rp 200.000,200000,,5,Jakarta Barat,6490362,True,False,True,Jakarta Barat,SupplierMlMOriginal,https://inbox.tokopedia.com/reputation/v1/badge/shop/6490362,https://www.tokopedia.com/suppliermlmorigi,,1,144,,https://www.tokopedia.com/suppliermlmorigi/blackmores-odourless-garlic-imun-dan-kolestrol-isi-200-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D5_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,2020-12-31T00:00:00Z,34,2020-06-01T21:00:18Z,,False,633206636,0,False,1,BLACKMORES ODOURLESS GARLIC BPOM KALBE - 200 TAB untuk gejala batuk pi,Rp 295.000,0,Rp 195.000,195000,,0,Jakarta Utara,2882005,True,True,True,Jakarta Utara,Vitamindiskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/2882005,https://www.tokopedia.com/vitamindiskon,,1,29,,https://www.tokopedia.com/vitamindiskon/blackmores-odourless-garlic-bpom-kalbe-200-tab-untuk-gejala-batuk-pi?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D6_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
6,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,0,8,726,Vitamin Daya Tahan Tubuh,,0,,,False,760713442,0,False,1,Blackmores Odourless Garlic 200 Tablets,,0,Rp 195.000,195000,,0,Jakarta Barat,7838763,True,False,True,Jakarta Barat,Health Aussentials,https://inbox.tokopedia.com/reputation/v1/badge/shop/7838763,https://www.tokopedia.com/healthaus,,1,2,,https://www.tokopedia.com/healthaus/blackmores-odourless-garlic-200-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D7_catid%3D726&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,6,469,Vitamin & Nutrisi,,0,,,False,618571853,0,False,1,BLACKMORES ODOURLESS GARLIC BPOM KALBE 200 tablet,,0,Rp 183.000,183000,,5,Medan,2516270,True,False,True,Medan,MUSCLE NUTRITION,https://inbox.tokopedia.com/reputation/v1/badge/shop/2516270,https://www.tokopedia.com/6486777,BMRGARL2200Z,1,6,,https://www.tokopedia.com/6486777/blackmores-odourless-garlic-bpom-kalbe-200-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D8_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
8,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,2,4,726,Vitamin Daya Tahan Tubuh,,0,,,False,621345392,0,False,1,Blackmores Odourless Garlic (200),,0,Rp 182.750,182750,,5,Bandung,7305430,True,False,True,Bandung,Mitrasana Bandung,https://inbox.tokopedia.com/reputation/v1/badge/shop/7305430,https://www.tokopedia.com/mitrasanabandung,BLCOG,1,96,,https://www.tokopedia.com/mitrasanabandung/blackmores-odourless-garlic-200?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D9_catid%3D726&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,5,469,Vitamin & Nutrisi,,0,,,False,747502818,0,False,1,Blackmores Odourless Garlic-Kalbe 200 Tablet,,0,Rp 185.000,185000,,5,Kab. Sidoarjo,371179,True,False,True,Kab. Sidoarjo,UD. Jodi Akbar,https://inbox.tokopedia.com/reputation/v1/badge/shop/371179,https://www.tokopedia.com/ud-jodiakbar,,1,10,,https://www.tokopedia.com/ud-jodiakbar/blackmores-odourless-garlic-kalbe-200-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D10_catid%3D469&whid=0,0,2020-06-04,Blackmores Odourless Garlic (200)
