,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,212,7,726,Vitamin Daya Tahan Tubuh,,0,,,False,140316293,0,False,1,Blackmores Omega Daily BPOM Kalbe - 90 Kapsul,,0,Rp 280.000,280000,,5,Jakarta Timur,612382,True,False,True,Jakarta Timur,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,999776,,https://www.tokopedia.com/bosvitamin/blackmores-omega-daily-bpom-kalbe-90-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D1_catid%3D726&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
1,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,28,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,212609475,0,False,1,"Blackmores Omega Daily BPOM Kalbe 90's - Minyak Ikan, Rematik, Jantung",,0,Rp 286.000,286000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,999962,,https://www.tokopedia.com/salamsehatbugar/blackmores-omega-daily-bpom-kalbe-90-s-minyak-ikan-rematik-jantung?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D2_catid%3D726&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
2,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,4,7,726,Vitamin Daya Tahan Tubuh,2020-06-30T00:00:00Z,17,2020-06-01T13:30:40Z,,False,121659710,0,False,1,BLACKMORES OMEGA DAILY (90) BPOM KALBE,Rp 381.000,0,Rp 316.230,316230,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCOD,1,14,,https://www.tokopedia.com/mitrasana/blackmores-omega-daily-90-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D3_catid%3D726&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,25,3,469,Vitamin & Nutrisi,,0,,,False,613010749,0,False,1,Blackmores Omega Daily (90),,0,Rp 370.000,370000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G68,1,4,,https://www.tokopedia.com/blackmores/blackmores-omega-daily-90?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D4_catid%3D469&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
4,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,21,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,248642525,0,False,1,BLACKMORES OMEGA DAILY SUPLEMEN (90 CAPSUL),,0,Rp 279.900,279900,,5,Jakarta Pusat,2142423,True,False,True,Jakarta Pusat,BABY SANRIO,https://inbox.tokopedia.com/reputation/v1/badge/shop/2142423,https://www.tokopedia.com/babysanrio,,1,999974,,https://www.tokopedia.com/babysanrio/blackmores-omega-daily-suplemen-90-capsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D5_catid%3D726&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
5,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,370,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,606600237,0,False,1,BLACKMORES OMEGA DAILY 3 FISH SALMON OIL MINYAK IKAN KALBE - 90 KAPSUL,,0,Rp 399.000,399000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999245,,https://www.tokopedia.com/dailypromotion/blackmores-omega-daily-3-fish-salmon-oil-minyak-ikan-kalbe-90-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D6_catid%3D726&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,4,469,Vitamin & Nutrisi,,0,,,False,655121516,0,False,1,Blackmores Omega Daily 90 ORIGINAL 100% KALBE BPOM,,0,Rp 279.000,279000,,5,Yogyakarta,896885,True,False,True,Yogyakarta,foodieshop,https://inbox.tokopedia.com/reputation/v1/badge/shop/896885,https://www.tokopedia.com/foodieshop,,1,999992,,https://www.tokopedia.com/foodieshop/blackmores-omega-daily-90-original-100-kalbe-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D7_catid%3D469&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
7,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,2,8,726,Vitamin Daya Tahan Tubuh,,0,,,False,552483763,0,False,1,Blackmores Omega Daily (90) BPOM KALBE,,0,Rp 296.000,296000,,5,Bekasi,6207106,True,False,True,Bekasi,Mitrasana Bekasi,https://inbox.tokopedia.com/reputation/v1/badge/shop/6207106,https://www.tokopedia.com/mitrasanabekasi,,1,2,,https://www.tokopedia.com/mitrasanabekasi/blackmores-omega-daily-90-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D8_catid%3D726&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,3,469,Vitamin & Nutrisi,,0,,,False,819187605,0,False,1,Blackmores Omega Daily BPOM Kalbe 90 Kapsul,,0,Rp 270.000,270000,,5,Jakarta Timur,2807717,True,False,True,Jakarta Timur,jjbabybonds,https://inbox.tokopedia.com/reputation/v1/badge/shop/2807717,https://www.tokopedia.com/jjsayang,,1,3,,https://www.tokopedia.com/jjsayang/blackmores-omega-daily-bpom-kalbe-90-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D9_catid%3D469&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
9,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,1,4,726,Vitamin Daya Tahan Tubuh,,0,,,False,501481528,0,False,1,Blackmores Omega Daily BPOM KALBE - 90 softgel,,0,Rp 277.500,277500,,5,Tangerang Selatan,2194216,True,False,True,Tangerang Selatan,Baby Wise,https://inbox.tokopedia.com/reputation/v1/badge/shop/2194216,https://www.tokopedia.com/babywise,BLCOD,1,2,,https://www.tokopedia.com/babywise/blackmores-omega-daily-bpom-kalbe-90-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Omega+Daily+%2890%29_po%3D10_catid%3D726&whid=0,0,2020-06-04,Blackmores Omega Daily (90)
