,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,49,5,2508,Vitamin Ibu Hamil,2020-07-01T00:00:00Z,20,2020-06-02T16:24:16Z,,False,326139887,0,False,1,Blackmores Pregnancy & Breast Feeding Gold 60'S,Rp 236.500,0,Rp 189.200,189200,,5,Jakarta Barat,2305045,True,True,True,Jakarta Barat,farmaku,https://inbox.tokopedia.com/reputation/v1/badge/shop/2305045,https://www.tokopedia.com/farmaku,9300807308547,1,25,,https://www.tokopedia.com/farmaku/blackmores-pregnancy-breast-feeding-gold-60-s?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D1_catid%3D2508&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
1,,kesehatan/kesehatan-wanita/obat-keputihan,715,Kesehatan,,1,52,5,2498,Obat Keputihan,2020-06-30T23:30:00Z,20,2020-06-02T17:11:24Z,,False,226398828,0,False,1,Blackmores Pregnancy & Breast Feeding Gold (60),Rp 220.000,0,Rp 176.000,176000,,5,Jakarta Barat,2443009,True,True,True,Jakarta Barat,KALCare Official Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2443009,https://www.tokopedia.com/kalcare,BLCPA,1,45,,https://www.tokopedia.com/kalcare/blackmores-pregnancy-breast-feeding-gold-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D2_catid%3D2498&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,162,3,469,Vitamin & Nutrisi,,0,,,False,613010775,0,False,1,Blackmores Pregnancy & Breast - Feeding Gold (60),,0,Rp 220.000,220000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G74,1,5,,https://www.tokopedia.com/blackmores/blackmores-pregnancy-breast-feeding-gold-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D3_catid%3D469&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
3,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,14,7,2508,Vitamin Ibu Hamil,2020-06-30T00:00:00Z,15,2020-06-01T13:29:27Z,,False,343193924,0,False,1,PROMO!!!! Blackmores Pregnancy & Breast Feeding Gold (60) BPOM KALBE,Rp 226.000,0,Rp 192.100,192100,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCPA,1,46,,https://www.tokopedia.com/mitrasana/promo-blackmores-pregnancy-breast-feeding-gold-60-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D4_catid%3D2508&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
4,['Gratis Ongkir'],kesehatan/nutrisi-ibu-hamil/asi-booster,715,Kesehatan,,1,29,5,2273,Asi Booster,,0,,,False,710661883,0,False,1,Blackmores Pregnancy & Breast Feeding Gold - 60 Kapsul,,0,Rp 161.900,161900,,5,Surabaya,730236,True,False,True,Surabaya,Imel-Eshop,https://inbox.tokopedia.com/reputation/v1/badge/shop/730236,https://www.tokopedia.com/imel-eshop,,1,5,,https://www.tokopedia.com/imel-eshop/blackmores-pregnancy-breast-feeding-gold-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D5_catid%3D2273&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
5,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,16,3,2508,Vitamin Ibu Hamil,,0,,,False,748032733,0,False,1,Blackmores Pregnancy & Breast Feeding Gold 60 Kapsul,,0,Rp 159.500,159500,,5,Jakarta Selatan,7971253,True,False,True,Jakarta Selatan,BosKecilStore,https://inbox.tokopedia.com/reputation/v1/badge/shop/7971253,https://www.tokopedia.com/boskec,,1,55,,https://www.tokopedia.com/boskec/blackmores-pregnancy-breast-feeding-gold-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D6_catid%3D2508&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
6,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,42,6,2508,Vitamin Ibu Hamil,,0,,,False,372499866,0,False,1,Blackmores Pregnancy Breast Feeding Gold (60),,0,Rp 165.000,165000,,5,Tangerang Selatan,3374842,True,False,True,Tangerang Selatan,shopamedic,https://inbox.tokopedia.com/reputation/v1/badge/shop/3374842,https://www.tokopedia.com/shopamedic,,1,9950,,https://www.tokopedia.com/shopamedic/blackmores-pregnancy-breast-feeding-gold-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D7_catid%3D2508&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
7,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,22,4,2508,Vitamin Ibu Hamil,,0,,,False,500570373,0,False,1,Blackmores Pregnancy and Breast Feeding Gold 60 tablet ORIGINAL POM,,0,Rp 165.000,165000,,5,Yogyakarta,896885,True,False,True,Yogyakarta,foodieshop,https://inbox.tokopedia.com/reputation/v1/badge/shop/896885,https://www.tokopedia.com/foodieshop,,1,911,,https://www.tokopedia.com/foodieshop/blackmores-pregnancy-and-breast-feeding-gold-60-tablet-original-pom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D8_catid%3D2508&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
8,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,12,7,2508,Vitamin Ibu Hamil,,0,,,False,474696338,0,False,1,Blackmores Pregnancy & Breast-Feeding Gold 60 kapsul,,0,Rp 162.000,162000,,5,Jakarta Selatan,922018,True,False,True,Jakarta Selatan,Cimplis Baby,https://inbox.tokopedia.com/reputation/v1/badge/shop/922018,https://www.tokopedia.com/pampers-bajubayi,,1,2,,https://www.tokopedia.com/pampers-bajubayi/blackmores-pregnancy-breast-feeding-gold-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D9_catid%3D2508&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
9,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,7,7,469,Vitamin & Nutrisi,,0,,,False,738069069,0,False,1,Blackmores Pregnancy & Breast Feeding Gold BPOM KALBE 60 kapsul,,0,Rp 165.000,165000,,5,Jakarta Utara,7391845,True,False,True,Jakarta Utara,The Jay Shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/7391845,https://www.tokopedia.com/tjay-1,,1,1,,https://www.tokopedia.com/tjay-1/blackmores-pregnancy-breast-feeding-gold-bpom-kalbe-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breast+Feeding+Gold+%2860%29_po%3D10_catid%3D469&whid=0,0,2020-06-04,Blackmores Pregnancy  Breast Feeding Gold (60)
