,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,49,5,469,Vitamin & Nutrisi,,0,,,False,226543917,0,False,1,Blackmores Radiance Marine Q10 30 Capsule,,0,Rp 325.500,325500,,5,Surabaya,431728,True,False,True,Surabaya,Lilmaison Babykids,https://inbox.tokopedia.com/reputation/v1/badge/shop/431728,https://www.tokopedia.com/lilmaisonbabykid,L000177,1,4,,https://www.tokopedia.com/lilmaisonbabykid/blackmores-radiance-marine-q10-30-capsule?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,19,8,469,Vitamin & Nutrisi,,0,,,False,463754767,0,False,1,Blackmores Radiance Marine Q10 30 soft gels,,0,Rp 335.000,335000,,5,Surabaya,2714796,True,False,True,Surabaya,the fit gym store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2714796,https://www.tokopedia.com/thefitgymstore,,1,100,,https://www.tokopedia.com/thefitgymstore/blackmores-radiance-marine-q10-30-soft-gels?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D2_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,3,469,Vitamin & Nutrisi,,0,,,False,625093954,0,False,1,Blackmores Radiance Marine Q10 BPOM Kalbe - 30 Kapsul,,0,Rp 482.000,482000,,5,Jakarta Barat,4676977,True,False,True,Jakarta Barat,monvita,https://inbox.tokopedia.com/reputation/v1/badge/shop/4676977,https://www.tokopedia.com/monvita,,1,5,,https://www.tokopedia.com/monvita/blackmores-radiance-marine-q10-bpom-kalbe-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D3_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,3,469,Vitamin & Nutrisi,,0,,,False,626986543,0,False,1,Blackmores Radiance Marine Q10 30 kapsul,,0,Rp 586.000,586000,,5,Jakarta Timur,2807717,True,False,True,Jakarta Timur,jjbabybonds,https://inbox.tokopedia.com/reputation/v1/badge/shop/2807717,https://www.tokopedia.com/jjsayang,,1,983,,https://www.tokopedia.com/jjsayang/blackmores-radiance-marine-q10-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D4_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,10,469,Vitamin & Nutrisi,,0,,,False,737431961,0,False,1,Blackmores Radiance Marine Q10 Kalbe BPOM - 30 Caps,,0,Rp 400.500,400500,,5,Jakarta Utara,7686442,True,True,True,Jakarta Utara,Nutrifit Official,https://inbox.tokopedia.com/reputation/v1/badge/shop/7686442,https://www.tokopedia.com/nutrifitofficial,,1,10,,https://www.tokopedia.com/nutrifitofficial/blackmores-radiance-marine-q10-kalbe-bpom-30-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D5_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
5,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,16,7,469,Vitamin & Nutrisi,,0,,,False,521813676,0,False,1,Blackmores radiance marine Q10 isi 30 tablet kecantikan wajah wanita,,0,Rp 332.000,332000,,5,Pekanbaru,2225239,True,False,True,Pekanbaru,fitforlife,https://inbox.tokopedia.com/reputation/v1/badge/shop/2225239,https://www.tokopedia.com/fitforlifeidn,,1,100,,https://www.tokopedia.com/fitforlifeidn/blackmores-radiance-marine-q10-isi-30-tablet-kecantikan-wajah-wanita?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D6_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
6,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,10,469,Vitamin & Nutrisi,,0,,,False,486696419,0,False,1,Blackmores Radiance Marine Q10 Kalbe BPOM - 30 Caps,,0,Rp 400.500,400500,,5,Jakarta Utara,391863,True,False,True,Jakarta Utara,suplemenfactory,https://inbox.tokopedia.com/reputation/v1/badge/shop/391863,https://www.tokopedia.com/suplemenfactory,,1,78,,https://www.tokopedia.com/suplemenfactory/blackmores-radiance-marine-q10-kalbe-bpom-30-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D7_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,3,469,Vitamin & Nutrisi,,0,,,False,710012776,0,False,1,Blackmores radiance marine q10 kulit 30 kapsul bpom kalbe,,0,Rp 356.000,356000,,5,Bekasi,7843172,True,False,True,Bekasi,ahlinutrisi,https://inbox.tokopedia.com/reputation/v1/badge/shop/7843172,https://www.tokopedia.com/ahlinutrisi,,1,2,,https://www.tokopedia.com/ahlinutrisi/blackmores-radiance-marine-q10-kulit-30-kapsul-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D8_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,6,469,Vitamin & Nutrisi,,0,,,False,852350862,0,False,1,Blackmores Radiance Marine Q10 Suplemen Kesehatan 30 Kapsul,,0,Rp 340.000,340000,,5,Jakarta Utara,2361668,True,False,True,Jakarta Utara,the baby boss shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2361668,https://www.tokopedia.com/thebabybossshop,,1,1,,https://www.tokopedia.com/thebabybossshop/blackmores-radiance-marine-q10-suplemen-kesehatan-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D9_catid%3D469&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
9,,kesehatan/lainnya,715,Kesehatan,,1,0,4,1129,Kesehatan Lainnya,,0,,,False,561103752,0,False,1,BLACKMORES RADIANCE MARINE Q10 BOTOL 30 KAPSUL,,0,Rp 378.200,378200,,0,Surabaya,6750495,True,True,True,Surabaya,Apotek Sumber Sehat,https://inbox.tokopedia.com/reputation/v1/badge/shop/6750495,https://www.tokopedia.com/apoteksumber,2587327,1,7,,https://www.tokopedia.com/apoteksumber/blackmores-radiance-marine-q10-botol-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D10_catid%3D1129&whid=0,0,2020-06-04,Blackmores Radiance Marine Q10 (30)
