,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,"[868634308, 868634309]",1,177,5,2511,Vitamin C,,0,,,False,868634309,0,False,1,BLACKMORES Vitamin C 500 Mg (60 tablets),,244596648,Rp 409.000,409000,,5,Jakarta Pusat,2142423,True,False,True,Jakarta Pusat,BABY SANRIO,https://inbox.tokopedia.com/reputation/v1/badge/shop/2142423,https://www.tokopedia.com/babysanrio,,1,4,,https://www.tokopedia.com/babysanrio/blackmores-vitamin-c-500-mg-60-tablets-kuning?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D1_catid%3D2511&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
1,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,2020-12-31T00:00:00Z,16,2020-06-01T19:30:53Z,,False,631912848,0,False,1,BLACKMORES BIO C 500MG BPOM KALBE - 60 TAB Vitamin c daya tahan tubuh,Rp 508.000,0,Rp 427.000,427000,,0,Jakarta Utara,2882005,True,True,True,Jakarta Utara,Vitamindiskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/2882005,https://www.tokopedia.com/vitamindiskon,,1,1,,https://www.tokopedia.com/vitamindiskon/blackmores-bio-c-500mg-bpom-kalbe-60-tab-vitamin-c-daya-tahan-tubuh?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D2_catid%3D469&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
2,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,18,4,2511,Vitamin C,,0,,,False,789027942,0,False,1,Blackmores Vitamin C 500 mg 60 Tab Kalbe BPOM,,0,Rp 194.900,194900,,5,Kab. Bekasi,574569,True,False,True,Kab. Bekasi,Kevin Enterprise,https://inbox.tokopedia.com/reputation/v1/badge/shop/574569,https://www.tokopedia.com/kevin-enterprise,,1,10,,https://www.tokopedia.com/kevin-enterprise/blackmores-vitamin-c-500-mg-60-tab-kalbe-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D3_catid%3D2511&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
3,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,94,3,2511,Vitamin C,,0,,,False,803717898,0,False,1,blackmores vitamin c 500mg original kalbe 500 mg isi 60,,0,Rp 230.000,230000,,5,Jakarta Barat,639852,True,False,True,Jakarta Barat,iven collection,https://inbox.tokopedia.com/reputation/v1/badge/shop/639852,https://www.tokopedia.com/iven-collection,,1,13,,https://www.tokopedia.com/iven-collection/blackmores-vitamin-c-500mg-original-kalbe-500-mg-isi-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D4_catid%3D2511&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
4,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,7,1,2511,Vitamin C,,0,,,False,630224810,0,False,1,Blackmores Vitamin C 500 mg Bpom Kalbe 60 Kapsul,,0,Rp 199.000,199000,,5,Jakarta Barat,4255480,False,False,False,Jakarta Barat,visitandbuy,https://inbox.tokopedia.com/reputation/v1/badge/shop/4255480,https://www.tokopedia.com/visitnbuy,,1,73,,https://www.tokopedia.com/visitnbuy/blackmores-vitamin-c-500-mg-bpom-kalbe-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D5_catid%3D2511&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
5,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,24,1,2511,Vitamin C,,0,,,False,831240790,0,False,1,Blackmores Vitamin C 500mg - 60 tablet,,0,Rp 215.000,215000,,5,Kab. Tangerang,2272345,True,False,True,Kab. Tangerang,apple blossom shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2272345,https://www.tokopedia.com/archive-appleblossomshop,,1,6,,https://www.tokopedia.com/archive-appleblossomshop/blackmores-vitamin-c-500mg-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D6_catid%3D2511&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
6,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,4,5,2511,Vitamin C,,0,,,False,784108574,0,False,1,Blackmores vitamin c 500mg isi 60 kapsul,,0,Rp 195.000,195000,,5,Tangerang,1192384,True,False,True,Tangerang,Kedai Ayoe,https://inbox.tokopedia.com/reputation/v1/badge/shop/1192384,https://www.tokopedia.com/kedaiayoe,,1,1,,https://www.tokopedia.com/kedaiayoe/blackmores-vitamin-c-500mg-isi-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D7_catid%3D2511&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
7,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,6,3,2511,Vitamin C,,0,,,False,704015290,0,False,1,Blackmores Vitamin C 500mg Cold Relief 60 kapsul,,0,Rp 217.700,217700,,5,Jakarta Utara,7337885,True,False,True,Jakarta Utara,Fase Beauty,https://inbox.tokopedia.com/reputation/v1/badge/shop/7337885,https://www.tokopedia.com/fasebeauty,,1,38,,https://www.tokopedia.com/fasebeauty/blackmores-vitamin-c-500mg-cold-relief-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D8_catid%3D2511&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
8,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,17,10,2511,Vitamin C,,0,,,False,842849553,0,False,1,Blackmores Vitamin C 500mg isi 60 Tablets,,0,Rp 214.900,214900,,5,Kab. Tangerang,8427618,True,False,True,Kab. Tangerang,D&amp;A Mart,https://inbox.tokopedia.com/reputation/v1/badge/shop/8427618,https://www.tokopedia.com/dnamarttgr,,1,2,,https://www.tokopedia.com/dnamarttgr/blackmores-vitamin-c-500mg-isi-60-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D9_catid%3D2511&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
9,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,"[805336244, 805336243, 805336245]",1,5,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,805336245,0,False,1,Blackmores Bio C 1000mg 30 / 60 / 150 BPOM Kalbe Vitamin C 1000 500 mg,,805336240,Rp 225.000,225000,,5,Surabaya,595873,True,False,True,Surabaya,Semua Diskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/595873,https://www.tokopedia.com/semuadiskon,,1,6,,https://www.tokopedia.com/semuadiskon/blackmores-bio-c-1000mg-30-60-150-bpom-kalbe-vitamin-c-1000-500-mg-vitc-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Vitamin+C+500mg+%2860%29_po%3D10_catid%3D726&whid=0,0,2020-06-04,Blackmores Vitamin C 500mg (60)
