,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,344,7,469,Vitamin & Nutrisi,,0,,,False,91306306,0,False,1,Blackmores I-Folic BPOM Kalbe - 150 Tablet,,0,Rp 150.000,150000,,5,Jakarta Timur,612382,True,False,True,Jakarta Timur,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,999629,,https://www.tokopedia.com/bosvitamin/blackmores-i-folic-bpom-kalbe-150-tablet-1?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D1_catid%3D469&whid=0,0,2020-06-04,Blackmores i-Folic (150)
1,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,27,11,2508,Vitamin Ibu Hamil,2021-05-08T00:00:29Z,9,2020-05-08T18:33:29Z,,False,303855063,0,False,1,Blackmores I-Folic Isi 150 Tablet - Nutrisi Sebelum & Saat Kehamilan,Rp 178.500,0,Rp 162.500,162500,,5,Jakarta Pusat,824445,True,True,True,Jakarta Pusat,mandjur,https://inbox.tokopedia.com/reputation/v1/badge/shop/824445,https://www.tokopedia.com/mandjur,suplemen005,1,914,,https://www.tokopedia.com/mandjur/blackmores-i-folic-isi-150-tablet-nutrisi-sebelum-saat-kehamilan?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D2_catid%3D2508&whid=0,0,2020-06-04,Blackmores i-Folic (150)
2,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,120,7,2508,Vitamin Ibu Hamil,,0,,,False,405458515,0,False,1,BLACKMORES I-FOLIC ifolic 150 kapsul BPOM Kalbe Suplemen asam folat,,0,Rp 143.000,143000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,35,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-i-folic-ifolic-150-kapsul-bpom-kalbe-suplemen-asam-folat?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D3_catid%3D2508&whid=0,0,2020-06-04,Blackmores i-Folic (150)
3,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,114,6,469,Vitamin & Nutrisi,,0,,,False,369356574,0,False,1,Blackmores I-Folic 150 Tablet,,0,Rp 146.000,146000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,18,,https://www.tokopedia.com/bandaneirastore/blackmores-i-folic-150-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D4_catid%3D469&whid=0,0,2020-06-04,Blackmores i-Folic (150)
4,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,79,6,2508,Vitamin Ibu Hamil,,0,,,False,195385091,0,False,1,"Blackmores I-Folic Pregnancy BPOM Kalbe 150's - Asam Folat, Obat Hamil",,0,Rp 145.000,145000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,999905,,https://www.tokopedia.com/salamsehatbugar/blackmores-i-folic-pregnancy-bpom-kalbe-150-s-asam-folat-obat-hamil?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D5_catid%3D2508&whid=0,0,2020-06-04,Blackmores i-Folic (150)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,45,3,469,Vitamin & Nutrisi,,0,,,False,451204514,0,False,1,Blackmores I-Folic (150 Tablet) BPOM Kalbe Farma - Folic Acid,,0,Rp 145.900,145900,,5,Jakarta Timur,2807717,True,False,True,Jakarta Timur,jjbabybonds,https://inbox.tokopedia.com/reputation/v1/badge/shop/2807717,https://www.tokopedia.com/jjsayang,,1,999898,,https://www.tokopedia.com/jjsayang/blackmores-i-folic-150-tablet-bpom-kalbe-farma-folic-acid?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D6_catid%3D469&whid=0,0,2020-06-04,Blackmores i-Folic (150)
6,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,20,3,2508,Vitamin Ibu Hamil,,0,,,False,474925323,0,False,1,Blackmores I-Folic / I Folic BPOM KALBE 150 tablet,,0,Rp 140.000,140000,,5,Jakarta Utara,6052755,True,False,True,Jakarta Utara,Momsenbubs,https://inbox.tokopedia.com/reputation/v1/badge/shop/6052755,https://www.tokopedia.com/momsenbubs,,1,9951,,https://www.tokopedia.com/momsenbubs/blackmores-i-folic-i-folic-bpom-kalbe-150-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D7_catid%3D2508&whid=0,0,2020-06-04,Blackmores i-Folic (150)
7,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,61,5,2508,Vitamin Ibu Hamil,,0,,,False,241282417,0,False,1,BLACKMORES Pregnancy I-Folic (150 tablets),,0,Rp 145.900,145900,,5,Jakarta Pusat,2142423,True,False,True,Jakarta Pusat,BABY SANRIO,https://inbox.tokopedia.com/reputation/v1/badge/shop/2142423,https://www.tokopedia.com/babysanrio,,1,999970,,https://www.tokopedia.com/babysanrio/blackmores-pregnancy-i-folic-150-tablets-1?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D8_catid%3D2508&whid=0,0,2020-06-04,Blackmores i-Folic (150)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,75,3,469,Vitamin & Nutrisi,,0,,,False,613010677,0,False,1,Blackmores I-Folic (150),,0,Rp 195.000,195000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G53,1,5,,https://www.tokopedia.com/blackmores/blackmores-i-folic-150?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D9_catid%3D469&whid=0,0,2020-06-04,Blackmores i-Folic (150)
9,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,5,3,2508,Vitamin Ibu Hamil,,0,,,False,751303404,0,False,1,Blackmores I-Folic ifolic 150 Tablet KALBE,,0,Rp 142.000,142000,,5,Jakarta Selatan,7971253,True,False,True,Jakarta Selatan,BosKecilStore,https://inbox.tokopedia.com/reputation/v1/badge/shop/7971253,https://www.tokopedia.com/boskec,,1,471,,https://www.tokopedia.com/boskec/blackmores-i-folic-ifolic-150-tablet-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+i-Folic+%28150%29_po%3D10_catid%3D2508&whid=0,0,2020-06-04,Blackmores i-Folic (150)
