Tanggal,Cabang,Nama Produk,Harga per Produk,Jumlah Terjual,is_weekday
2024-10-14,Cafe Kantor SCBD,Cafe Latte,23000,90,True
2024-08-30,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,67,True
2024-10-04,Cafe Perumahan Tebet,Americano,20000,100,True
2024-09-15,Cafe Perumahan Tebet,Cafe Latte,23000,108,False
2024-10-01,Cafe Perumahan Cijantung,Milk Tea,21000,51,True
2024-09-27,Cafe Mall Kokas,Milk Tea,21000,30,True
2024-10-04,Cafe Perumahan Tebet,Milk Tea,21000,51,True
2024-09-09,Cafe Kantor SCBD,Cappuccino,22000,234,True
2024-10-23,Cafe Perumahan Tebet,Americano,20000,33,True
2024-09-11,Cafe Mall Kokas,Americano,20000,105,True
2024-10-23,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,25,True
2024-09-23,Cafe Perumahan Tebet,Cappuccino,22000,87,True
2024-10-06,Cafe Mall Kokas,Cappuccino,22000,22,False
2024-09-17,Cafe Perumahan Cijantung,Americano,20000,62,True
2024-09-05,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,279,True
2024-10-24,Cafe Perumahan Cijantung,Cappuccino,22000,100,True
2024-09-19,Cafe Mall Kokas,Milk Tea,21000,183,True
2024-09-22,Cafe Perumahan Tebet,Americano,20000,182,False
2024-10-22,Cafe Perumahan Cijantung,Cappuccino,22000,58,True
2024-09-14,Cafe Perumahan Cijantung,Cappuccino,22000,40,False
2024-09-01,Cafe Perumahan Tebet,Americano,20000,136,False
2024-10-17,Cafe Perumahan Tebet,Cappuccino,22000,46,True
2024-09-12,Cafe Perumahan Cijantung,Cafe Latte,23000,11,True
2024-10-08,Cafe Mall Kokas,Milk Tea,21000,276,True
2024-10-16,Cafe Mall Kokas,Americano,20000,297,True
2024-10-17,Cafe Perumahan Tebet,Cafe Latte,23000,16,True
2024-09-24,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,270,True
2024-09-24,Cafe Perumahan Tebet,Cappuccino,22000,58,True
2024-09-12,Cafe Kantor SCBD,Cafe Latte,23000,93,True
2024-09-15,Cafe Perumahan Cijantung,Cappuccino,22000,100,False
2024-09-27,Cafe Perumahan Tebet,Milk Tea,21000,58,True
2024-10-04,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,75,True
2024-08-27,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,14,True
2024-08-28,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,43,True
2024-09-28,Cafe Perumahan Cijantung,Cappuccino,22000,178,False
2024-10-07,Cafe Perumahan Tebet,Cappuccino,22000,39,True
2024-09-26,Cafe Kantor SCBD,Cappuccino,22000,51,True
2024-08-27,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,219,True
2024-10-17,Cafe Perumahan Tebet,Americano,20000,49,True
2024-10-14,Cafe Kantor SCBD,Americano,20000,126,True
2024-10-04,Cafe Perumahan Tebet,Milk Tea,21000,41,True
2024-09-30,Cafe Mall Kokas,Milk Tea,21000,135,True
2024-08-29,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,76,True
2024-08-27,Cafe Perumahan Tebet,Americano,20000,13,True
2024-10-09,Cafe Mall Kokas,Americano,20000,168,True
2024-09-08,Cafe Kantor SCBD,Americano,20000,54,False
2024-10-06,Cafe Perumahan Cijantung,Milk Tea,21000,166,False
2024-09-07,Cafe Kantor SCBD,Americano,20000,34,False
2024-09-07,Cafe Kantor SCBD,Cappuccino,22000,57,False
2024-10-01,Cafe Perumahan Tebet,Americano,20000,81,True
2024-08-29,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,29,True
2024-09-07,Cafe Mall Kokas,Cappuccino,22000,97,False
2024-10-03,Cafe Kantor SCBD,Milk Tea,21000,114,True
2024-10-24,Cafe Kantor SCBD,Milk Tea,21000,171,True
2024-10-05,Cafe Mall Kokas,Cafe Latte,23000,65,False
2024-09-26,Cafe Perumahan Tebet,Cafe Latte,23000,55,True
2024-09-13,Cafe Perumahan Tebet,Cappuccino,22000,30,True
2024-10-09,Cafe Mall Kokas,Cafe Latte,23000,252,True
2024-10-01,Cafe Perumahan Tebet,Milk Tea,21000,41,True
2024-08-30,Cafe Kantor SCBD,Milk Tea,21000,246,True
2024-09-05,Cafe Kantor SCBD,Cappuccino,22000,243,True
2024-09-07,Cafe Perumahan Tebet,Cappuccino,22000,160,False
2024-10-01,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,231,True
2024-09-10,Cafe Perumahan Tebet,Americano,20000,14,True
2024-09-08,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,28,False
2024-09-16,Cafe Perumahan Cijantung,Americano,20000,73,True
2024-09-14,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,162,False
2024-09-08,Cafe Mall Kokas,Cappuccino,22000,55,False
2024-10-01,Cafe Mall Kokas,Milk Tea,21000,66,True
2024-10-12,Cafe Mall Kokas,Cafe Latte,23000,66,False
2024-09-14,Cafe Perumahan Cijantung,Americano,20000,134,False
2024-08-30,Cafe Mall Kokas,Americano,20000,195,True
2024-10-24,Cafe Perumahan Tebet,Milk Tea,21000,31,True
2024-08-30,Cafe Perumahan Cijantung,Cafe Latte,23000,21,True
2024-10-08,Cafe Kantor SCBD,Cappuccino,22000,48,True
2024-10-04,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,63,True
2024-10-13,Cafe Mall Kokas,Americano,20000,68,False
2024-10-16,Cafe Kantor SCBD,Milk Tea,21000,96,True
2024-09-01,Cafe Mall Kokas,Milk Tea,21000,60,False
2024-08-31,Cafe Kantor SCBD,Milk Tea,21000,52,False
2024-09-16,Cafe Mall Kokas,Cappuccino,22000,297,True
2024-09-06,Cafe Perumahan Cijantung,Cafe Latte,23000,17,True
2024-10-15,Cafe Perumahan Cijantung,Americano,20000,99,True
2024-09-05,Cafe Perumahan Cijantung,Cappuccino,22000,36,True
2024-09-07,Cafe Perumahan Tebet,Milk Tea,21000,178,False
2024-10-03,Cafe Mall Kokas,Cappuccino,22000,141,True
2024-10-06,Cafe Mall Kokas,Milk Tea,21000,10,False
2024-08-27,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,90,True
2024-09-02,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,15,True
2024-10-16,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,12,True
2024-09-25,Cafe Perumahan Cijantung,Milk Tea,21000,26,True
2024-10-10,Cafe Mall Kokas,Cappuccino,22000,42,True
2024-10-13,Cafe Kantor SCBD,Cafe Latte,23000,24,False
2024-10-13,Cafe Mall Kokas,Cafe Latte,23000,14,False
2024-09-22,Cafe Perumahan Cijantung,Milk Tea,21000,46,False
2024-08-27,Cafe Perumahan Tebet,Americano,20000,30,True
2024-10-03,Cafe Mall Kokas,Americano,20000,300,True
2024-09-28,Cafe Mall Kokas,Cappuccino,22000,62,False
2024-10-08,Cafe Perumahan Cijantung,Cappuccino,22000,95,True
2024-10-22,Cafe Kantor SCBD,Milk Tea,21000,207,True
2024-10-02,Cafe Perumahan Tebet,Milk Tea,21000,61,True
2024-09-20,Cafe Mall Kokas,Cafe Latte,23000,264,True
2024-10-18,Cafe Perumahan Tebet,Milk Tea,21000,100,True
2024-09-26,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,174,True
2024-09-03,Cafe Mall Kokas,Americano,20000,120,True
2024-10-14,Cafe Kantor SCBD,Milk Tea,21000,126,True
2024-09-22,Cafe Perumahan Tebet,Cappuccino,22000,90,False
