,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,['Cashback'],olahraga/pakaian-olahraga-pria/celana-training-pria,62,Olahraga,"[498393331, 498393330, 498393341, 498393336, 484751373]",1,326,8,3693,Celana Training Pria,2020-06-15T23:59:00Z,20,2020-05-31T14:00:00Z,,False,484751373,0,False,1,FLEXZONE Celana Pendek - Black - for Gym Running Jogging FCS-001HT,Rp 99.000,446843378,Rp 79.200,79200,,5,Surabaya,5808941,True,True,True,Surabaya,FLEXZONE,https://inbox.tokopedia.com/reputation/v1/badge/shop/5808941,https://www.tokopedia.com/flexzone,FCS-001HT,1,10,,https://www.tokopedia.com/flexzone/flexzone-celana-pendek-black-for-gym-running-jogging-fcs-001ht-s?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D1_catid%3D3693&whid=0,0,2020-06-05,Celana Pendek
1,['Cashback'],fashion-pria/celana-pria/celana-pendek-pria,1759,Fashion Pria,,1,400,6,1827,Celana Pendek Pria,2021-06-05T00:00:51Z,33,2020-06-05T19:38:51Z,,False,269012606,0,False,1,Okechuku ECO Celana Pendek JUMBO Motif Army Fashion BIG SIZE Pria,Rp 120.000,0,Rp 79.900,79900,,5,Jakarta Barat,815661,True,True,True,Jakarta Barat,Okechuku,https://inbox.tokopedia.com/reputation/v1/badge/shop/815661,https://www.tokopedia.com/okechuku,Eco,1,520,,https://www.tokopedia.com/okechuku/okechuku-eco-celana-pendek-jumbo-motif-army-fashion-big-size-pria?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D2_catid%3D1827&whid=0,0,2020-06-05,Celana Pendek
2,,fashion-pria/celana-pria/celana-pendek-pria,1759,Fashion Pria,"[643862257, 684416564]",1,3359,2,1827,Celana Pendek Pria,,0,,,False,684416564,0,False,1,celana pendek pria/wanita santai,,632029308,Rp 22.000,22000,,5,Jakarta Pusat,2775212,True,False,True,Jakarta Pusat,adhinataku,https://inbox.tokopedia.com/reputation/v1/badge/shop/2775212,https://www.tokopedia.com/adhinataku,,1,6306,,https://www.tokopedia.com/adhinataku/celana-pendek-pria-wanita-santai-pilih-warna-s-to-m-27-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D3_catid%3D1827&whid=0,0,2020-06-05,Celana Pendek
3,['Cashback'],olahraga/perlengkapan-lari/celana-lari-pria,62,Olahraga,,1,442,5,3578,Celana Lari Pria,,0,,,False,345964302,0,False,1,PREMIUM CELANA PENDEK LARI TRAINING GYM OLAHRAGA ZIPPER POCKET CASUAL,,0,Rp 99.000,99000,,5,Jakarta Barat,134362,True,False,True,Jakarta Barat,oppa style shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/134362,https://www.tokopedia.com/oppayummysnack,,1,9486,,https://www.tokopedia.com/oppayummysnack/premium-celana-pendek-lari-training-gym-olahraga-zipper-pocket-casual?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D4_catid%3D3578&whid=0,0,2020-06-05,Celana Pendek
4,['Gratis Ongkir'],fashion-pria/celana-pria/celana-pendek-pria,1759,Fashion Pria,[599075213],1,186,2,1827,Celana Pendek Pria,,0,,,False,599075213,0,False,1,[ Dapat 4pcs ]Celana pendek motif ADIDAS BAHAN ADEM / LEMBUT / 4 WARNA,,595697427,Rp 94.000,94000,,5,Jakarta Utara,5083792,True,False,True,Jakarta Utara,Liem&#39;s Store.,https://inbox.tokopedia.com/reputation/v1/badge/shop/5083792,https://www.tokopedia.com/liemsstore,,1,986,,https://www.tokopedia.com/liemsstore/dapat-4pcs-celana-pendek-motif-adidas-bahan-adem-lembut-4-warna-dapat-empat-pcs-a157?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D5_catid%3D1827&whid=0,0,2020-06-05,Celana Pendek
5,['Cashback'],fashion-pria/celana-pria/celana-pendek-pria,1759,Fashion Pria,"[331022381, 331022378]",1,467,6,1827,Celana Pendek Pria,2021-06-05T00:00:23Z,36,2020-06-05T19:46:23Z,,False,331022378,0,False,1,SCOTT Okechuku Celana Pendek Pria Ukuran JUMBO Fashion BIG SIZE,Rp 125.000,331022375,Rp 79.900,79900,,5,Jakarta Barat,815661,True,True,True,Jakarta Barat,Okechuku,https://inbox.tokopedia.com/reputation/v1/badge/shop/815661,https://www.tokopedia.com/okechuku,,1,999379,,https://www.tokopedia.com/okechuku/scott-okechuku-celana-pendek-pria-ukuran-jumbo-fashion-big-size-abu-abu?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D6_catid%3D1827&whid=0,0,2020-06-05,Celana Pendek
6,,fashion-pria/pakaian-dalam-pria/boxer,1759,Fashion Pria,,1,276,3,1842,Boxer Pria,,0,,,False,609413446,0,False,1,boxer/boxer pria/boxer murah/celana pendek/celana tidur 2393,,0,Rp 35.000,35000,,5,Bandung,6879438,True,False,True,Bandung,Callana,https://inbox.tokopedia.com/reputation/v1/badge/shop/6879438,https://www.tokopedia.com/callana,,1,998943,,https://www.tokopedia.com/callana/boxer-boxer-pria-boxer-murah-celana-pendek-celana-tidur-2393-f713?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D7_catid%3D1842&whid=0,0,2020-06-05,Celana Pendek
7,,fashion-anak-bayi/pakaian-anak-laki-laki/celana-pendek-anak-laki-laki,78,Fashion Anak,,1,844,5,1603,Celana Pendek Anak Laki-Laki,,0,,,False,249594692,0,False,1,Celana Anak Pendek Laki Murah Umur 7-10 Tahun,,0,Rp 38.900,38900,,5,Tangerang Selatan,2479845,True,False,True,Tangerang Selatan,Baju Anak Murah 22,https://inbox.tokopedia.com/reputation/v1/badge/shop/2479845,https://www.tokopedia.com/bajuanakmurah22,,1,11,,https://www.tokopedia.com/bajuanakmurah22/celana-anak-pendek-laki-murah-umur-7-10-tahun?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D8_catid%3D1603&whid=0,0,2020-06-05,Celana Pendek
8,['Cashback'],olahraga/hiking-camping/celana-gunung,62,Olahraga,"[628007988, 857759398, 628007989, 628007987]",1,36,4,1485,Celana Gunung,2020-06-30T23:30:00Z,10,2020-06-02T17:42:59Z,,False,628007987,0,False,1,Consina Dinara Celana Pendek Outdoor,Rp 165.000,546571445,Rp 148.500,148500,,5,Bekasi,2205039,True,True,True,Bekasi,Consina Store Official,https://inbox.tokopedia.com/reputation/v1/badge/shop/2205039,https://www.tokopedia.com/consina-official,,1,1,,https://www.tokopedia.com/consina-official/consina-dinara-celana-pendek-outdoor-hitam-m?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D9_catid%3D1485&whid=0,0,2020-06-05,Celana Pendek
9,,olahraga/pakaian-olahraga-pria/celana-training-pria,62,Olahraga,"[498392494, 498392493, 498392489, 498392482, 489559551]",1,70,8,3693,Celana Training Pria,2020-06-15T23:59:00Z,20,2020-05-31T14:00:00Z,,False,489559551,0,False,1,FLEX Celana Pendek - Navy - for Gym Running Jogging Sport FCS-001DK,Rp 99.000,446848740,Rp 79.200,79200,,5,Surabaya,5808941,True,True,True,Surabaya,FLEXZONE,https://inbox.tokopedia.com/reputation/v1/badge/shop/5808941,https://www.tokopedia.com/flexzone,FCS-001DK,1,3,,https://www.tokopedia.com/flexzone/flex-celana-pendek-navy-for-gym-running-jogging-sport-fcs-001dk-s?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DCelana+Pendek_po%3D10_catid%3D3693&whid=0,0,2020-06-05,Celana Pendek
