,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,['Cashback'],dapur/bekal/termos-air,983,Dapur,,1,65,2,981,Termos Air,2020-06-08T23:59:00Z,10,2020-06-05T11:45:00Z,,False,299910893,0,False,1,LOCK&LOCK Fridge Water Jug 2.1L Botol Kulkas HAP770,Rp 112.000,0,Rp 100.800,100800,,5,Kab. Bekasi,2147991,True,True,True,Kab. Bekasi,LOCK&amp;LOCK Official,https://inbox.tokopedia.com/reputation/v1/badge/shop/2147991,https://www.tokopedia.com/locknlock-id,HAP770,1,318,,https://www.tokopedia.com/locknlock-id/lock-lock-fridge-water-jug-2-1l-botol-kulkas-hap770?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D1_catid%3D981&whid=0,0,2020-06-05,Kulkas
1,,elektronik/elektronik-dapur/kulkas,60,Elektronik,,1,40,8,3944,Kulkas,2021-06-05T00:00:31Z,21,2020-06-05T15:18:31Z,,False,429167043,0,False,1,Sanken Kulkas Satu Pintu SK-V163A-CB JADETABEK ONLY,Rp 1.925.000,0,Rp 1.514.000,1514000,,5,Jakarta Utara,3604435,True,True,True,Jakarta Utara,Sanken Official Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3604435,https://www.tokopedia.com/sankenofficial,SK-V163A-CB,1,1,,https://www.tokopedia.com/sankenofficial/sanken-kulkas-satu-pintu-sk-v163a-cb-jadetabek-only?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D2_catid%3D3944&whid=0,0,2020-06-05,Kulkas
2,,elektronik/elektronik-dapur/kulkas,60,Elektronik,,1,273,4,3944,Kulkas,,0,,,False,204164232,0,True,1,Bervin Kaki Kulkas & Mesin Cuci / Dudukan Kulkas & Mesin Cuci BOS 70,,0,Rp 143.000,143000,,5,Tangerang,158131,True,True,True,Tangerang,AHA Store Official,https://inbox.tokopedia.com/reputation/v1/badge/shop/158131,https://www.tokopedia.com/aha-official,BRV1120,1,132,['Preorder'],https://www.tokopedia.com/aha-official/bervin-kaki-kulkas-mesin-cuci-dudukan-kulkas-mesin-cuci-bos-70?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D3_catid%3D3944&whid=0,0,2020-06-05,Kulkas
3,,dapur/aksesoris-dapur/magnet-kulkas,983,Dapur,,1,516,4,3479,Magnet Kulkas,,0,,,False,280396984,0,False,10,Tempelan kulkas/ hiasan magnet kulkas,,0,Rp 3.500,3500,,5,Bandung,3029558,True,False,True,Bandung,Fitri aprilia,https://inbox.tokopedia.com/reputation/v1/badge/shop/3029558,https://www.tokopedia.com/aprilftr,,1,34209,,https://www.tokopedia.com/aprilftr/tempelan-kulkas-hiasan-magnet-kulkas?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D4_catid%3D3479&whid=0,0,2020-06-05,Kulkas
4,,elektronik/elektronik-dapur/kulkas,60,Elektronik,,1,239,3,3944,Kulkas,,0,,,False,292423758,0,False,1,Kulkas 1 pintu Sanyo Aqua 190 DS,,0,Rp 1.600.000,1600000,,5,Jakarta Barat,2803829,True,False,True,Jakarta Barat,Jul_Elektronik,https://inbox.tokopedia.com/reputation/v1/badge/shop/2803829,https://www.tokopedia.com/juliancalvin,,1,999688,,https://www.tokopedia.com/juliancalvin/kulkas-1-pintu-sanyo-aqua-190-ds-1?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D5_catid%3D3944&whid=0,0,2020-06-05,Kulkas
5,,dapur/peralatan-dapur/sarung-kulkas,983,Dapur,,1,159,7,3444,Sarung Kulkas,,0,,,False,430690510,0,False,1,Cover Penutup Kulkas Taplak kulkas Multifungsi Alas Penutup Lemari Es,,0,Rp 9.600,9600,,5,Jakarta Pusat,2282094,True,False,True,Jakarta Pusat,kostarika shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2282094,https://www.tokopedia.com/kostarikashop,,1,999077,,https://www.tokopedia.com/kostarikashop/cover-penutup-kulkas-taplak-kulkas-multifungsi-alas-penutup-lemari-es?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D6_catid%3D3444&whid=0,0,2020-06-05,Kulkas
6,,elektronik/elektronik-dapur/slow-cooker,60,Elektronik,,1,100,3,3949,Slow Cooker,,0,,,False,8186026,0,False,1,Thermometer kulkas analog,,0,Rp 18.500,18500,,5,Jakarta Barat,301614,True,False,True,Jakarta Barat,Edisan shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/301614,https://www.tokopedia.com/edisanshop,,1,999276,,https://www.tokopedia.com/edisanshop/thermometer-kulkas-analog?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D7_catid%3D3949&whid=0,0,2020-06-05,Kulkas
7,['Cashback'],dapur/peralatan-dapur/sarung-kulkas,983,Dapur,"[567426487, 567426486, 567426485]",1,41,4,3444,Sarung Kulkas,2021-04-02T00:00:08Z,44,2020-04-02T12:32:08Z,,False,567426485,0,False,1,Cover Kulkas Motif Lucu Penutup Plastic Peva - CK002,Rp 22.500,567426484,Rp 12.500,12500,,5,Tangerang,1142502,True,True,True,Tangerang,AlfaIndo,https://inbox.tokopedia.com/reputation/v1/badge/shop/1142502,https://www.tokopedia.com/alfaindostore,,1,69,,https://www.tokopedia.com/alfaindostore/cover-kulkas-motif-lucu-penutup-plastic-peva-ck002-pohon?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D8_catid%3D3444&whid=0,0,2020-06-05,Kulkas
8,,elektronik/elektronik-dapur/kulkas,60,Elektronik,,1,96,5,3944,Kulkas,,0,,,False,365906093,0,False,1,BERVIN BOS 150 TATAKAN MESIN CUCI FRONT LOADING/TOP LOADING/KULKAS,,0,Rp 212.500,212500,,5,Jakarta Utara,3923353,True,True,True,Jakarta Utara,Sajun Electronic,https://inbox.tokopedia.com/reputation/v1/badge/shop/3923353,https://www.tokopedia.com/sajunelectronic,BFSA3D51,1,5,,https://www.tokopedia.com/sajunelectronic/bervin-bos-150-tatakan-mesin-cuci-front-loading-top-loading-kulkas?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D9_catid%3D3944&whid=0,0,2020-06-05,Kulkas
9,,rumah-tangga/laundry/gantungan-baju,984,Rumah Tangga,,1,239,7,1011,Gantungan Baju,,0,,,False,328814633,0,False,1,Gantungan Hook Hanger Cantelan Tempel Tembok Kulkas Pintu Stainless,,0,Rp 3.000,3000,,5,Jakarta Selatan,3193251,True,False,True,Jakarta Selatan,art stuffs,https://inbox.tokopedia.com/reputation/v1/badge/shop/3193251,https://www.tokopedia.com/yudha5221,,1,998041,,https://www.tokopedia.com/yudha5221/gantungan-hook-hanger-cantelan-tempel-tembok-kulkas-pintu-stainless?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DKulkas_po%3D10_catid%3D1011&whid=0,0,2020-06-05,Kulkas
