,link,name,rating,is_advance,load_date
0,"https://21cineplex.com/my-boo,131154,24MBOO.htm",My Boo,R17+,ADVANCE TICKET SALES,2024-06-15 17:51:16
1,"https://21cineplex.com/chandu-champion,131152,24CCHN.htm",Chandu Champion,SEMUA UMUR,,2024-06-15 17:51:16
2,"https://21cineplex.com/detective-conan-vs-kid-the-phantom-thief,131149,24DCKP.htm",Detective Conan vs. Kid the Phantom Thief,R13+,,2024-06-15 17:51:16
3,"https://21cineplex.com/imax/inside-out-2-(imax-2d),131140,24IOX2.htm",Inside Out 2 (IMAX 2D),SEMUA UMUR,,2024-06-15 17:51:16
4,"https://21cineplex.com/inside-out-2-(3d),131234,24IO23.htm",Inside Out 2 (3D),SEMUA UMUR,,2024-06-15 17:51:16
5,"https://21cineplex.com/inside-out-2,131139,24IOT2.htm",Inside Out 2,SEMUA UMUR,,2024-06-15 17:51:16
6,"https://21cineplex.com/the-watchers,131138,24WATS.htm",The Watchers,R13+,,2024-06-15 17:51:16
7,"https://21cineplex.com/bad-boys-ride-or-die,131135,24BBRD.htm",Bad Boys: Ride or Die,R17+,,2024-06-15 17:51:16
8,"https://21cineplex.com/the-strangers-chapter-1,131129,24STC1.htm",The Strangers: Chapter 1,R17+,,2024-06-15 17:51:16
9,"https://21cineplex.com/the-ministry-of-ungentlemanly-warfare,131063,24MUWE.htm",The Ministry of Ungentlemanly Warfare,R13+,,2024-06-15 17:51:16
10,"https://21cineplex.com/paku-tanah-jawa,131124,14PTJA.htm",Paku Tanah Jawa,R13+,,2024-06-15 17:51:16
11,"https://21cineplex.com/dilan-1983-wo-ai-ni,131123,14D1WA.htm",Dilan 1983 Wo Ai Ni,SEMUA UMUR,,2024-06-15 17:51:16
12,"https://21cineplex.com/how-to-make-millions-before-grandma-dies,131122,24HTMM.htm",How to Make Millions Before Grandma Dies,SEMUA UMUR,,2024-06-15 17:51:16
13,"https://21cineplex.com/haikyu-the-dumpster-battle,131121,24HTDB.htm",Haikyu!! The Dumpster Battle,SEMUA UMUR,,2024-06-15 17:51:16
14,"https://21cineplex.com/harta-tahta-raisa,131120,14HTRA.htm",Harta Tahta Raisa,SEMUA UMUR,,2024-06-15 17:51:16
15,"https://21cineplex.com/the-garfield-movie,131118,24GMOV.htm",The Garfield Movie,SEMUA UMUR,,2024-06-15 17:51:16
16,"https://21cineplex.com/kingdom-of-the-planet-of-the-apes,131109,24KOPA.htm",Kingdom of the Planet of the Apes,R13+,,2024-06-15 17:51:16
17,"https://21cineplex.com/monkey-man,131037,24MMAN.htm",Monkey Man,R17+,,2024-06-15 17:51:16
18,"https://21cineplex.com/ipar-adalah-maut,131047,14IAMT.htm",Ipar Adalah Maut,R13+,,2024-06-15 17:51:16
