,id_iklan,status_iklan,created_at,user_id,title,description,tahun,price,prov,kota,lat,lon
0,768863945,active,2020-01-19T19:42:15+07:00,19263179,Grand Livina XV MT 2011 Super Black Original DP mulai 15jt,"Bismillah 

Dijual Nissan Grand Livina 
Type 1.5 XV
Tranmsi Manual 
Tahun 2011
PLAT D Kota Bandung Pajak Isi 07-2020
Warna Hitam

Mobil dalam kondisi prima siap pakai fully original body 

Harga Kredit 90jt
Total Uang Muka mulai 15jt 

Harga Cash 95jt nett

Silahkan cek unit dan test drive di jalan karapitan no 47 sebrang rangkas/kandang ayam",2011,90000000.0,Jawa Barat,Bandung Kota,-6.932,107.627
1,770608331,active,2020-02-11T20:17:05+07:00,42986090,Grandlivina hws 2012 matic km rendah 60rb,"Dijual cepat
Grandlivina hws 2012 matic
Km rendah 60rb asli gan.
siap pakai gan
Pajak dan plat baru panjang
Mobil tidak pernah nabrak atau kena banjir
Bisa di bantu kredit pasti acc
Serius lgsg Tlp/wa ya gan
Harga kredit 110jt
Harga cash 115jt",2012,110000000.0,Jawa Timur,Surabaya Kota,-7.339,112.804
2,771003378,active,2020-02-11T13:36:25+07:00,83565695,Nissan Grand Livina XV 2016 MT Facelift TDP Minim #aos,"‘MOBIL DIJAMIN TIDAK BEKAS BANJIR !!’

- Budayakan Membaca iklan sampai akhir agar lebih jelas
- TDP sdh termasuk : DP Murni, Angsuran 1x, Administrasi dan Asuransi
- Perhitungan kredit sewaktu2 dapat berubah sesuai dengan ketentuan yg berlaku

"" Promo Spesial Bunga Murah ""
Pehitungan Paket Kredit Hemat :
OTR Rp. 123,000,000
TDP Rp. 19,900,000
Angsuran : Rp. 4,450,000 x 3thn
Angsuran : Rp. 3,682,000 x 4thn
Asuransi Kombinasi

** Harga Cash Rp. 140,000,000

Spesifikasi Kendaraan :
- Tangan 1 dari baru
- Faceliftundefined#x2F;New Model
- Warna Hitam Metalik
- Transmisi Manual (Kopling Ringan)
- Interior Original Fabric
- Low KM 31rban
- Head unit Double Din Touch Screen
- Dual SRS Airbag, AC Dingin
- Electrical berfungsi Normal
- Foglamp, Rear wiper undefined Spoiler
- Velg Racing Original, Ban2 Bagus
- Registrasi Plat B (GANJIL)
- Mudah undefined Murah perawatan
- Istimewa Rawatan, Siap Pakai !!

BJM AutoCars
Jalan Pahlawan Revolusi No,15 Duren Sawit
Pondok Bambu, Jakarta Timur
(100m dari Lampu Merah Pangkalan Jati-Kalimalang)",2016,123000000.0,Jakarta D.K.I.,Jakarta Selatan,-6.243,106.8
3,771915901,active,2020-02-12T11:29:46+07:00,21007925,Grand Livina 1.5 XV AT 2016 / 2017 TDP 23jt,"Harga Special Khusus Kredit OTR Rp 125.000.000
BCA FIX & CAP

TDP Ringan Rp 23.000.000
ANGSURAN Rp 3.622.000 X 47 BULAN

*Hitungan paket kredit bisa disesuaikan dengan yang anda inginkan

Nissan Grand Livina 1.5 XV AT 2017
NIK 2016 Pemakaian 2017

Last Edition
New Velg
New Audio Android
New Panel Black Wood

-Pajak Panjang 1 tahun 02-2021
-Interior Orisinil
-Sarung Jok
-Warna Hitam
-Tangan 1 a/n Perorangan

* bisa tukar tambah

Proses kredit cepat dan dapat dibantu

Yellow-Auto
WTC mangga dua lantai 5 no.557A-569",2016,125000000.0,Jakarta D.K.I.,Jakarta Utara,-6.132,106.838
4,772122547,active,2020-02-13T20:31:46+07:00,95211966,"GRAND LIVINA XV 2013 MANUAL,orsinil utuh mulus ( wahyu )","Unit bagus sekali
Siap pakai
Utuh mulus
Mesin halus
Interior bersih rapi
Tangan 1
Ban tebal
Pajak panjang
Cash / kredit bisa
Hub. Wahyu
Jl.kutisari besar no.15",2013,123000000.0,Jawa Timur,Surabaya Kota,-7.235,112.791
5,772122536,active,2020-02-13T20:31:38+07:00,65915634,NISSAN GRAND LIVINA XR 1.5 AT 2012,"NISSAN GRAND LIVINA XR 1.5 AT 2012

Kami jual dengan sistem LELANG terbuka
Hari : Kamis 13 FEBRUARI 2020
Pukul : 13.00
Lokasi : JAKARTA - Jalan Tipar Cakung No. 8, RT 09/02, Sukapura, Cilincing 

Harga yang tertera adalah harga penawaran awal
Hubungi jika berminat

Salam",2012,75000000.0,Jakarta D.K.I.,Jakarta Timur,-6.189,106.894
6,772122432,active,2020-02-13T20:30:49+07:00,65915634,NISSAN GRAND LIVINA XR 1.5 AT 2012,"NISSAN GRAND LIVINA XR 1.5 AT 2012

Kami jual dengan sistem LELANG terbuka
Hari : Kamis 13 FEBRUARI 2020
Pukul : 13.00
Lokasi : JAKARTA - Jalan Tipar Cakung No. 8, RT 09/02, Sukapura, Cilincing 

Harga yang tertera adalah harga penawaran awal
Hubungi jika berminat

Salam",2012,75000000.0,Jakarta D.K.I.,Jakarta Timur,-6.326,106.856
7,772122339,active,2020-02-13T20:29:24+07:00,65915634,NISSAN GRAND LIVINA XR 1.5 AT 2012,"NISSAN GRAND LIVINA XR 1.5 AT 2012

Kami jual dengan sistem LELANG terbuka
Hari : Kamis 13 FEBRUARI 2020
Pukul : 13.00
Lokasi : JAKARTA - Jalan Tipar Cakung No. 8, RT 09/02, Sukapura, Cilincing 

Harga yang tertera adalah harga penawaran awal
Hubungi jika berminat

Salam",2012,75000000.0,Jakarta D.K.I.,Jakarta Timur,-6.182,106.947
8,772121096,active,2020-02-13T20:17:02+07:00,105646714,Grand livina madiun,"Grand livina 2013 milik pribadi
Normal tinggal gas..",2013,118000000.0,Jawa Timur,Magetan Kab.,-7.696,111.409
9,770431517,active,2020-02-13T20:12:30+07:00,66625628,Grand livina.mulus 1.8,Grand livina..2007 matic 1.8 ...73.000Nego.,2008,73000000.0,Jakarta D.K.I.,Jakarta Selatan,-6.334,106.823
