,id_iklan,status_iklan,created_at,user_id,title,description,price,prov,kota,lat,lon
0,769315789,active,2020-02-11T16:46:45+07:00,25774048,Vixion Putih 2012,"Mesin masih mantap, tangan pertama, dipakai pp kantor rumah, km rendah, pajak hidup sampai 2021, siapa cpt dia dapat, hanya buat yang serius, TP.",10500000.0,Kalimantan Selatan,Banjarmasin Kota,-3.289,114.589
1,770991758,active,2020-02-06T14:22:31+07:00,84821450,Dijual motor Yamaha Vixion 150 cc warna putih. Nego,"Motor Yamaha Vixion warna putih tahun pembuatan 2015, mesin masih orisinil, jarang dipakai dan pajak hidup serta surat lengkap, 150 cc dan dijual beserta briket dudukan merk kucay dan box merk Givi warna hitam.",17000000.0,Sumatra Selatan,Palembang Kota,-2.932,104.724
2,771569906,active,2020-02-09T17:40:39+07:00,64828998,Vixion New 2014 Jual Cepat,"Yamaha Vixion New..
Tahun 2014 Surat-Surat Lengkap, Stnk Bpkb Faktur Sertifikat Komplit Semua..
Pajak Telat 1x Bulan 7 Tahun 2019 Kemarin..
Mesin Halus Jos Kelistrikan Topcer Bodi Full Orisinil Siap Pakai..
Motor Cuma Di Pajang Doang Jarang Dipakai..

Telfon Atau Wa Saja Ya,Cek Barangnya Kerumah Sambil Ngopi, Terimakasih Olx..",9500000.0,Jakarta D.K.I.,Jakarta Selatan,-6.289,106.839
3,767089843,active,2020-02-06T19:21:47+07:00,78184889,"Di jial yamaha vixion, pjk hidup","Asss,Di jual yamaha vixion.   kumplit stnk bpkb ad sah,g ada msalh,mtr gres sesuaibposting,smua orsinil dri bru ,tngn pertma.,mtrd jual krana g d pake,udah gnti  baru jd syg g ad yg make  mkanya,d jual ,harga nego ,smua klistrikan,ve hidup normal smua ,, no mines g ad rrmbes,gpernh kena banjir ,aman mtr g pernh kluar,rumah semjak punya mtr baru,pke yg baru,,yg minat silahkan g bkln kecewa,, ,,,cek unit kl cocok nego d h ,lokasi kapuk kayu besar,patokanya indomar kayu ,besar 2 cengkreng jakbar,  mtr  dki..harga nego",9150000.0,Jakarta D.K.I.,Jakarta Barat,-6.148,106.735
4,771524614,active,2020-02-11T19:18:09+07:00,88287541,Yamaha vixion 2008,"Silakan yang minat yamaha vixion 2008
Siap pakek
Mesin halus dan kering
Silakan pantau di kendang sari gg lebar no 56 bakul helm surabaya selatan area rungkut industri.",9850000.0,Jawa Timur,Surabaya Kota,-7.32,112.757
5,770294884,active,2020-02-11T19:16:37+07:00,1696587,Jual motor yamaha new vixion lightening 2013,"Yamaha new vixion lightening
Tahun perakitan 2013
Warna Hitam
62712 km
Kondisi masih bagus
Masa stnk 2023
Tangan pertama. 
Harga nego.",11500000.0,Jakarta D.K.I.,Jakarta Utara,-6.132,106.838
6,767022480,active,2020-02-11T19:16:05+07:00,103746591,Di jual vixion 2014,"Vixion 2014
Masalah mesin2 kereta cek aja langsung biar lebih jelas. Karna tidak ada kendala
Setang fatbar 
Setang asli nya ada juga
Ban depan 100/80-17 SB-117
Ban belakang 120/80-17 SB-117


Surat lengkap
Stnk
Buku hitam
Pajak hidup semua
Plat baru d9i ganti tahun 2019-2024
Harga 14.500.000 nego sampai jadi",14500000.0,Sumatra Utara,Medan Kota,3.716,98.654
7,767790319,active,2020-02-11T19:15:56+07:00,59129435,Yamaha All New Vixion (2019),"Yamaha All New Vixion
Tahun : 2019
STNK berlaku : Juli 2020
Alamat : MAS MOTOR -  Jl. Baru samping kantor Samsat Purwakarta.",17500000.0,Jawa Barat,Purwakarta Kab.,-6.564,107.432
8,767790783,active,2020-02-11T19:15:39+07:00,59129435,Yamaha Vixion KS (2014),"Yamaha Vixion KS 
Tahun : 2014
STNK berlaku : Mei  2020
Alamat : MAS MOTOR -  Jl. Baru samping kantor Samsat Purwakarta.",11000000.0,Jawa Barat,Purwakarta Kab.,-6.564,107.432
9,771726753,active,2020-02-11T19:08:11+07:00,95468281,Di jual new vixion 2014,Di .jual new vixion 2014 ab sleman surat2 komplit saya jual 13jt nett monggo yg minat bisa lngsung cek ke rumah,13000000.0,Yogyakarta D.I.,Sleman Kab.,-7.722,110.301
