,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,"[705456715, 705456716]",1,78,6,469,Vitamin & Nutrisi,,0,,,False,705456716,0,False,1,Blackmores CoQ10 30 Kapsul 75 Mg,,369635176,Rp 144.000,144000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,70,,https://www.tokopedia.com/bandaneirastore/blackmores-coq10-30-kapsul-75-mg-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,266,6,469,Vitamin & Nutrisi,,0,,,False,140311614,0,False,1,Blackmores CoQ10 75mg BPOM Kalbe - 30 Kapsul,,0,Rp 150.000,150000,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,999553,,https://www.tokopedia.com/bosvitamin/blackmores-coq10-75mg-bpom-kalbe-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,91,5,469,Vitamin & Nutrisi,,0,,,False,195374819,0,False,1,"Blackmores COQ10 75mg BPOM Kalbe 30's - Coenzyme Q10, CO Q10, Jantung",,0,Rp 150.000,150000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,999673,,https://www.tokopedia.com/salamsehatbugar/blackmores-coq10-75mg-bpom-kalbe-30-s-coenzyme-q10-co-q10-jantung?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,5,469,Vitamin & Nutrisi,,0,,,False,332658727,0,False,1,BLACKMORES CoQ10 75mg 75 mg 30 kapsul CoQ 10 Original Kalbe BPOM,,0,Rp 145.000,145000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,2,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-coq10-75mg-75-mg-30-kapsul-coq-10-original-kalbe-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,9,2,469,Vitamin & Nutrisi,,0,,,False,535437111,0,False,1,Blackmores CoQ10 75mg BPOM Kalbe 30 Kapsul,,0,Rp 145.500,145500,,5,Jakarta Timur,2807717,True,False,True,Jakarta Timur,jjbabybonds,https://inbox.tokopedia.com/reputation/v1/badge/shop/2807717,https://www.tokopedia.com/jjsayang,,1,999962,,https://www.tokopedia.com/jjsayang/blackmores-coq10-75mg-bpom-kalbe-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D5_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,19,3,469,Vitamin & Nutrisi,,0,,,False,626947065,0,False,1,Blackmores CoQ10 75mg (30),,0,Rp 195.000,195000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G59,1,12,,https://www.tokopedia.com/blackmores/blackmores-coq10-75mg-30-6b29?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
6,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,316,2,469,Vitamin & Nutrisi,,0,,,False,606342377,0,False,1,BLACKMORES COQ10 COENZYME CO Q10 Q 10 75MG 75 MG JANTUNG - 30 KAPSUL,,0,Rp 199.000,199000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999461,,https://www.tokopedia.com/dailypromotion/blackmores-coq10-coenzyme-co-q10-q-10-75mg-75-mg-jantung-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,6,469,Vitamin & Nutrisi,2020-05-31T00:00:00Z,15,2020-05-01T20:31:56Z,,False,121653722,0,False,1,BLACKMORES COQ10 75 MG (30) BPOM KALBE,Rp 200.000,0,Rp 170.000,170000,,0,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCCQ,1,41,,https://www.tokopedia.com/mitrasana/blackmores-coq10-75-mg-30-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,6,2,469,Vitamin & Nutrisi,,0,,,False,220942417,0,False,1,Blackmores Coq10 75mg (30),,0,Rp 195.000,195000,,5,Jakarta Barat,2443009,True,True,True,Jakarta Barat,KALCare Official Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2443009,https://www.tokopedia.com/kalcare,BLCCQ,1,1,,https://www.tokopedia.com/kalcare/blackmores-coq10-75mg-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,23,4,469,Vitamin & Nutrisi,,0,,,False,278765028,0,False,1,Blackmores CoQ10 75mg 30 Kapsul BPOM HALAL KALBE,,0,Rp 146.250,146250,,5,Jakarta Utara,2161841,True,False,True,Jakarta Utara,Papamama Babyshop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2161841,https://www.tokopedia.com/papamamababyshop,93549271,1,12,,https://www.tokopedia.com/papamamababyshop/blackmores-coq10-75mg-30-kapsul-bpom-halal-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Coq10+75mg+%2830%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Coq10 75mg (30)
