,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,78,6,469,Vitamin & Nutrisi,,0,,,False,554164452,0,False,1,Blackmores Executive B Stress Formula BPOM Kalbe - 30 Tablet,,0,Rp 115.000,115000,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,9984,,https://www.tokopedia.com/bosvitamin/blackmores-executive-b-stress-formula-bpom-kalbe-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Executive B (30)
1,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-b,715,Kesehatan,,1,316,2,2510,Vitamin B,,0,,,False,606370529,0,False,1,BLACKMORES EXECUTIVE B VITAMIN KONDISI STRESS FORMULA KALBE 30 TABLET,,0,Rp 220.000,220000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,99999,,https://www.tokopedia.com/dailypromotion/blackmores-executive-b-vitamin-kondisi-stress-formula-kalbe-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D2_catid%3D2510&whid=0,0,2020-05-22,Blackmores Executive B (30)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,2,469,Vitamin & Nutrisi,,0,,,False,580035038,0,False,1,blackmores executive b stress formula 30 caps BPOM kalbe,,0,Rp 155.000,155000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,9986,,https://www.tokopedia.com/hulksupplement/blackmores-executive-b-stress-formula-30-caps-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Executive B (30)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,5,469,Vitamin & Nutrisi,,0,,,False,728864937,0,False,1,Blackmores Executive B Stress formula 30 tablet,,0,Rp 132.000,132000,,5,Kab. Sidoarjo,371179,True,False,True,Kab. Sidoarjo,UD. Jodi Akbar,https://inbox.tokopedia.com/reputation/v1/badge/shop/371179,https://www.tokopedia.com/ud-jodiakbar,,1,14,,https://www.tokopedia.com/ud-jodiakbar/blackmores-executive-b-stress-formula-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Executive B (30)
4,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,1,4,726,Vitamin Daya Tahan Tubuh,,0,,,False,599264812,0,False,1,Blackmores Executive B isi 30 tablet,,0,Rp 155.000,155000,,5,Surakarta,2717508,True,False,True,Surakarta,eveana,https://inbox.tokopedia.com/reputation/v1/badge/shop/2717508,https://www.tokopedia.com/eveana,,1,1,,https://www.tokopedia.com/eveana/blackmores-executive-b-isi-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D5_catid%3D726&whid=0,0,2020-05-22,Blackmores Executive B (30)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,4,469,Vitamin & Nutrisi,,0,,,False,560382440,0,False,1,Blackmores Executive B 30 tab,,0,Rp 122.600,122600,,5,Kab. Purworejo,6814033,True,False,True,Kab. Purworejo,HelloBabyMart,https://inbox.tokopedia.com/reputation/v1/badge/shop/6814033,https://www.tokopedia.com/hellobabymart,BLACKMORES-93554442,1,100,,https://www.tokopedia.com/hellobabymart/blackmores-executive-b-30-tab?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Executive B (30)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,3,469,Vitamin & Nutrisi,,0,,,False,514022503,0,False,1,BLACKMORES EXECUTIVE B TAB ISI 30,,0,Rp 116.300,116300,,0,Semarang,5007999,True,False,True,Semarang,GROSIR ALKES SUPLEMEN,https://inbox.tokopedia.com/reputation/v1/badge/shop/5007999,https://www.tokopedia.com/sarikasehat,12090053,1,3,,https://www.tokopedia.com/sarikasehat/blackmores-executive-b-tab-isi-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Executive B (30)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,5,10,469,Vitamin & Nutrisi,,0,,,False,507339303,0,False,1,Blackmores Executive B isi 30 Tablet,,0,Rp 169.000,169000,,5,Tangerang,3922672,False,False,False,Tangerang,selermuqom,https://inbox.tokopedia.com/reputation/v1/badge/shop/3922672,https://www.tokopedia.com/muqom,,1,1,,https://www.tokopedia.com/muqom/blackmores-executive-b-isi-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Executive B (30)
8,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,0,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,615433846,0,False,1,IPROMO TOKO BARUI BLACKMORES EXECUTIVE B (30),,0,Rp 116.000,116000,,0,Kab. Sleman,2433204,True,False,True,Kab. Sleman,Biblio Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2433204,https://www.tokopedia.com/biblio,7000596278,1,4,,https://www.tokopedia.com/biblio/ipromo-toko-barui-blackmores-executive-b-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D9_catid%3D726&whid=0,0,2020-05-22,Blackmores Executive B (30)
9,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,10,469,Vitamin & Nutrisi,,0,,,False,845062168,0,False,1,Blackmores Executive B Isi 30 Tablet - Meringankan Stress dan Insomnia,,0,Rp 115.000,115000,,5,Jakarta Pusat,246424,True,False,True,Jakarta Pusat,moermer,https://inbox.tokopedia.com/reputation/v1/badge/shop/246424,https://www.tokopedia.com/moermer,suplemen037,1,10,,https://www.tokopedia.com/moermer/blackmores-executive-b-isi-30-tablet-meringankan-stress-dan-insomnia?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Executive+B+%2830%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Executive B (30)
