,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,"[705524715, 706677268, 705524716]",1,912,6,469,Vitamin & Nutrisi,,0,,,False,705524716,0,False,1,Blackmores Odourless Fish Oil 200 Kapsul 1000 Mg,,408015141,Rp 249.000,249000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,1,1,32,,https://www.tokopedia.com/bandaneirastore/blackmores-odourless-fish-oil-200-kapsul-1000-mg-kalbe?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,91,3,469,Vitamin & Nutrisi,,0,,,False,617962485,0,False,1,Blackmores Odourless Fish Oil 1000 (200),,0,Rp 335.000,335000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G56,1,23,,https://www.tokopedia.com/blackmores/blackmores-odourless-fish-oil-1000-200-18cd?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
2,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,55,10,726,Vitamin Daya Tahan Tubuh,,0,,,False,214564882,0,False,1,Blackmores Odourless Fish Oil 1000 mg - Isi 200 Kapsul Lunak,,0,Rp 251.250,251250,,5,Jakarta Pusat,246424,True,False,True,Jakarta Pusat,moermer,https://inbox.tokopedia.com/reputation/v1/badge/shop/246424,https://www.tokopedia.com/moermer,,1,5,,https://www.tokopedia.com/moermer/blackmores-odourless-fish-oil-1000-mg-isi-200-kapsul-lunak?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D3_catid%3D726&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,38,3,469,Vitamin & Nutrisi,,0,,,False,613010835,0,False,1,Blackmores Fish Oil 1000 (200),,0,Rp 295.000,295000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G87,1,9,,https://www.tokopedia.com/blackmores/blackmores-fish-oil-1000-200?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
4,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,3,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,398445953,0,False,1,BLACKMORES Odourless Fish Oil 1000mg 200 kap Omega 3 1000 mg,,0,Rp 265.000,265000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,5,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-odourless-fish-oil-1000mg-200-kap-omega-3-1000-mg?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D5_catid%3D726&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,25,5,469,Vitamin & Nutrisi,,0,,,False,195642104,0,False,1,Blackmores Odourless Fish Oil 1000 BPOM Kalbe 200's - Suplemen Jantung,,0,Rp 255.000,255000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,999931,,https://www.tokopedia.com/salamsehatbugar/blackmores-odourless-fish-oil-1000-bpom-kalbe-200-s-suplemen-jantung?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
6,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,14,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,364834738,0,False,1,BLACKMORES ODOURLESS FISH OIL 1000(200) BPOM KALBE,,0,Rp 340.000,340000,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCFA,1,20,,https://www.tokopedia.com/mitrasana/blackmores-odourless-fish-oil-1000-200-bpom-kalbe?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D7_catid%3D726&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
7,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,10,4,726,Vitamin Daya Tahan Tubuh,,0,,,False,271676061,0,False,1,Blackmores Odourless Fish Oil [Omega 3] 1000 mg - 200 pcs,,0,Rp 330.000,330000,,5,Jakarta Barat,1703493,True,False,True,Jakarta Barat,fen&#39;s,https://inbox.tokopedia.com/reputation/v1/badge/shop/1703493,https://www.tokopedia.com/shanice,,1,3,,https://www.tokopedia.com/shanice/blackmores-odourless-fish-oil-omega-3-1000-mg-200-pcs?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D8_catid%3D726&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,6,469,Vitamin & Nutrisi,,0,,,False,517104906,0,False,1,BLACKMORES ODOURLESS FISH OIL 1000 (200 kapsul lunak),,0,Rp 285.000,285000,,5,Bandung,2347979,True,False,True,Bandung,Toko Obat Pandu,https://inbox.tokopedia.com/reputation/v1/badge/shop/2347979,https://www.tokopedia.com/tokoobatpandu,,1,999990,,https://www.tokopedia.com/tokoobatpandu/blackmores-odourless-fish-oil-1000-200-kapsul-lunak?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
9,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,"[696771621, 696771623, 696771622]",1,0,11,726,Vitamin Daya Tahan Tubuh,,0,,,False,696771622,0,False,1,Blackmores Odourless 1000 Fish Oil 30 200 400 PCS AUSTRALIA KALBE BPOM,,696771619,Rp 335.000,335000,,0,Jakarta Barat,6085297,True,True,True,Jakarta Barat,Shipment,https://inbox.tokopedia.com/reputation/v1/badge/shop/6085297,https://www.tokopedia.com/shipment,,1,38,,https://www.tokopedia.com/shipment/blackmores-odourless-1000-fish-oil-30-200-400-pcs-australia-kalbe-bpom-200-pcs?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Fish+Oil+1000+%28200%29_po%3D10_catid%3D726&whid=0,0,2020-05-22,Blackmores Fish Oil 1000 (200)
