,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/obat-obatan/obat-mata,715,Kesehatan,,1,200,6,2501,Obat Mata,,0,,,False,198517413,0,False,1,Blackmores Lutein Vision BPOM Kalbe - 60 kapsul,,0,Rp 363.750,363750,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,999758,,https://www.tokopedia.com/bosvitamin/blackmores-lutein-vision-bpom-kalbe-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D1_catid%3D2501&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
1,['Gratis Ongkir'],kesehatan/obat-obatan/obat-mata,715,Kesehatan,,1,9,7,2501,Obat Mata,,0,,,False,551729034,0,False,1,Blackmores Lutein Vision For Eye health 60 Capsules,,0,Rp 345.000,345000,,5,Surabaya,2714796,True,False,True,Surabaya,the fit gym store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2714796,https://www.tokopedia.com/thefitgymstore,,1,968,,https://www.tokopedia.com/thefitgymstore/blackmores-lutein-vision-for-eye-health-60-capsules?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D2_catid%3D2501&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
2,,kesehatan/obat-obatan/obat-mata,715,Kesehatan,,1,2,6,2501,Obat Mata,2020-05-31T00:00:00Z,15,2020-05-01T20:32:16Z,,False,121652019,0,False,1,BLACKMORES LUTEIN VISION (60) BPOM KALBE,Rp 499.000,0,Rp 424.150,424150,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCLV,1,11,,https://www.tokopedia.com/mitrasana/blackmores-lutein-vision-60-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D3_catid%3D2501&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
3,,kesehatan/obat-obatan/obat-mata,715,Kesehatan,,1,11,5,2501,Obat Mata,,0,,,False,338307243,0,False,1,BLACKMORES Lutein-Vision 60 kapsul BPOM Original Kalbe,,0,Rp 359.000,359000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,4,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-lutein-vision-60-kapsul-bpom-original-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D4_catid%3D2501&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
4,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,16,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,445077564,0,False,1,Blackmores Lutein-Vision isi 60 Capsules Healthy Eyes Vitamin Mata,,0,Rp 399.000,399000,,5,Surabaya,4921768,True,False,True,Surabaya,onebaby,https://inbox.tokopedia.com/reputation/v1/badge/shop/4921768,https://www.tokopedia.com/onebabysg,,1,4,,https://www.tokopedia.com/onebabysg/blackmores-lutein-vision-isi-60-capsules-healthy-eyes-vitamin-mata?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D5_catid%3D726&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,11,3,469,Vitamin & Nutrisi,,0,,,False,613010725,0,False,1,Blackmores Lutein Vision (60),,0,Rp 485.000,485000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G62,1,9,,https://www.tokopedia.com/blackmores/blackmores-lutein-vision-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
6,,kesehatan/suplemen-diet/suplemen-fitnes,715,Kesehatan,,1,9,2,743,Suplemen Fitness,,0,,,False,205925196,0,False,1,blackmores black mores lutein vision 60 caps vitamin mata,,0,Rp 375.000,375000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,999985,,https://www.tokopedia.com/hulksupplement/blackmores-black-mores-lutein-vision-60-caps-vitamin-mata?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D7_catid%3D743&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
7,['Gratis Ongkir'],kesehatan/obat-obatan/obat-mata,715,Kesehatan,,1,255,2,2501,Obat Mata,,0,,,False,588258502,0,False,1,BLACKMORES LUTEIN VISION BPOM KALBE VITAMIN SUPLEMEN MATA - 60 KAPSUL,,0,Rp 499.000,499000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999731,,https://www.tokopedia.com/dailypromotion/blackmores-lutein-vision-bpom-kalbe-vitamin-suplemen-mata-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D8_catid%3D2501&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
8,,kesehatan/obat-obatan/obat-mata,715,Kesehatan,,1,5,2,2501,Obat Mata,,0,,,False,224636914,0,False,1,blackmores lutein vision 60 caps vitamin suplemen kesehatan mata,,0,Rp 375.000,375000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,9988,,https://www.tokopedia.com/hulksupplement/blackmores-lutein-vision-60-caps-vitamin-suplemen-kesehatan-mata?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D9_catid%3D2501&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
9,,kesehatan/obat-obatan/obat-mata,715,Kesehatan,,1,1,7,2501,Obat Mata,,0,,,False,746828068,0,False,1,Blackmores Lutein Vision For Eye Health 60 Capsules,,0,Rp 345.000,345000,,5,Surabaya,2643958,True,False,True,Surabaya,gudang supplemen,https://inbox.tokopedia.com/reputation/v1/badge/shop/2643958,https://www.tokopedia.com/gudangsupplemen2,,1,26,,https://www.tokopedia.com/gudangsupplemen2/blackmores-lutein-vision-for-eye-health-60-capsules?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Lutein+Vision+%2860%29_po%3D10_catid%3D2501&whid=0,0,2020-05-22,Blackmores Lutein Vision (60)
