,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-d,715,Kesehatan,,1,9,5,2512,Vitamin D,,0,,,False,490521176,0,False,1,BLACKMORES Multivitamin+Mineral 30 kapsul Multivitamins Minerals BPOM,,0,Rp 187.500,187500,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,9,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-multivitamin-mineral-30-kapsul-multivitamins-minerals-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D1_catid%3D2512&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,15,4,469,Vitamin & Nutrisi,,0,,,False,539743642,0,False,1,Blackmores Multivitamins & Minerals ASLI 30 tablet (bukan repacked),,0,Rp 195.000,195000,,5,Jakarta Timur,5744919,True,False,True,Jakarta Timur,berkahcahaya.id,https://inbox.tokopedia.com/reputation/v1/badge/shop/5744919,https://www.tokopedia.com/berkahcahayaid,,1,17,,https://www.tokopedia.com/berkahcahayaid/blackmores-multivitamins-minerals-asli-30-tablet-bukan-repacked?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,5,469,Vitamin & Nutrisi,,0,,,False,824791615,0,False,1,Blackmores Multivitamins & Minerals ISI 30 Tablet,,0,Rp 149.000,149000,,5,Jakarta Utara,6469055,True,False,True,Jakarta Utara,FinnsJastip,https://inbox.tokopedia.com/reputation/v1/badge/shop/6469055,https://www.tokopedia.com/finnsjastip,,1,9,,https://www.tokopedia.com/finnsjastip/blackmores-multivitamins-minerals-isi-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
3,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,2,4,726,Vitamin Daya Tahan Tubuh,,0,,,False,340477666,0,False,1,Blackmores Multivitamins And Minerals 30 Tablets,,0,Rp 210.000,210000,,5,Tangerang,2565234,True,False,True,Tangerang,stevania_online,https://inbox.tokopedia.com/reputation/v1/badge/shop/2565234,https://www.tokopedia.com/stevaniaonline,,1,999999,,https://www.tokopedia.com/stevaniaonline/blackmores-multivitamins-and-minerals-30-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D4_catid%3D726&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,6,469,Vitamin & Nutrisi,,0,,,False,790950507,0,False,1,blackmores multivitamins & minerals isi 30 multivitamin,,0,Rp 149.000,149000,,0,Jakarta Barat,3267460,True,False,True,Jakarta Barat,Elektrindo Wijaya,https://inbox.tokopedia.com/reputation/v1/badge/shop/3267460,https://www.tokopedia.com/wijayaelektrindo,,1,2,,https://www.tokopedia.com/wijayaelektrindo/blackmores-multivitamins-minerals-isi-30-multivitamin?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D5_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,,0,,,False,823078606,0,False,1,Blackmores Multivitamins + Minerals 30 Tablet (Daya Tahan Imun Tubuh),,0,Rp 140.000,140000,,0,Medan,6703927,True,False,True,Medan,Easy Solution,https://inbox.tokopedia.com/reputation/v1/badge/shop/6703927,https://www.tokopedia.com/easy-solution,,1,3,,https://www.tokopedia.com/easy-solution/blackmores-multivitamins-minerals-30-tablet-daya-tahan-imun-tubuh?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,4,469,Vitamin & Nutrisi,,0,,,False,621240192,0,False,1,Blackmores Multivitamins + Minerals (30),,0,Rp 180.000,180000,,0,Bandung,7305430,True,False,True,Bandung,Mitrasana Bandung,https://inbox.tokopedia.com/reputation/v1/badge/shop/7305430,https://www.tokopedia.com/mitrasanabandung,BLCMV,1,2,,https://www.tokopedia.com/mitrasanabandung/blackmores-multivitamins-minerals-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
7,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,2,4,726,Vitamin Daya Tahan Tubuh,,0,,,False,407432904,0,False,1,Blackmores Multivitamins + Minerals ( isi : 30 Tablet ),,0,Rp 150.000,150000,,5,Tangerang Selatan,3374842,True,False,True,Tangerang Selatan,shopamedic,https://inbox.tokopedia.com/reputation/v1/badge/shop/3374842,https://www.tokopedia.com/shopamedic,,1,5,,https://www.tokopedia.com/shopamedic/blackmores-multivitamins-minerals-isi-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D8_catid%3D726&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,12,469,Vitamin & Nutrisi,,0,,,False,836247908,0,False,1,Blackmores Multivitamins + minerals 30 tablet,,0,Rp 150.000,150000,,5,Jakarta Utara,8112307,True,False,True,Jakarta Utara,Tjhong_Shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/8112307,https://www.tokopedia.com/tjhongshop,,1,478,,https://www.tokopedia.com/tjhongshop/blackmores-multivitamins-minerals-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
9,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,2,469,Vitamin & Nutrisi,,0,,,False,829969921,0,False,1,(READY) Blackmores multivitamins + minerals - 30 tablet,,0,Rp 210.000,210000,,5,Jakarta Barat,351425,True,False,True,Jakarta Barat,Era Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/351425,https://www.tokopedia.com/eravitamin,,1,10,,https://www.tokopedia.com/eravitamin/ready-blackmores-multivitamins-minerals-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%2830%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (30)
