,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,0,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,815011785,0,False,1,Blackmores PROPOLIS 1000 isi 220 kapsul by kalbe bpom,,0,Rp 445.000,445000,,0,Jakarta Barat,6329152,True,False,True,Jakarta Barat,GUNUNG JAYA88,https://inbox.tokopedia.com/reputation/v1/badge/shop/6329152,https://www.tokopedia.com/gunungjaya88,,1,1,,https://www.tokopedia.com/gunungjaya88/blackmores-propolis-1000-isi-220-kapsul-by-kalbe-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D1_catid%3D726&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
1,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,7,469,Vitamin & Nutrisi,,0,,,False,729193076,0,False,1,Blackmores Propolis 1000 (220),,0,Rp 487.500,487500,,5,Denpasar,4938298,True,False,True,Denpasar,Labotanica Bali,https://inbox.tokopedia.com/reputation/v1/badge/shop/4938298,https://www.tokopedia.com/labotanicabali,,1,1,,https://www.tokopedia.com/labotanicabali/blackmores-propolis-1000-220?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,6,469,Vitamin & Nutrisi,,0,,,False,527797656,0,False,1,Blackmores Propolis 1000 isi 220 kapsul lunak BPOM Kalbe,,0,Rp 390.000,390000,,0,Medan,6360350,True,False,True,Medan,Tik Tok Toe,https://inbox.tokopedia.com/reputation/v1/badge/shop/6360350,https://www.tokopedia.com/tiktoktoe,,1,999999,,https://www.tokopedia.com/tiktoktoe/blackmores-propolis-1000-isi-220-kapsul-lunak-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
3,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,1,10,726,Vitamin Daya Tahan Tubuh,,0,,,False,741092793,0,False,1,Blackmores Propolis 1000 (220),,0,Rp 750.000,750000,,5,Tangerang,5971345,True,False,True,Tangerang,ComWARE,https://inbox.tokopedia.com/reputation/v1/badge/shop/5971345,https://www.tokopedia.com/comware,,1,98,,https://www.tokopedia.com/comware/blackmores-propolis-1000-220?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D4_catid%3D726&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
4,['Cashback'],kesehatan/lainnya,715,Kesehatan,,1,0,2,1129,Kesehatan Lainnya,,0,,,False,567703631,0,False,1,Blackmores Propolis 1000 (220) BPOM Kalbe,,0,Rp 549.990,549990,,0,Jakarta Utara,6238189,True,False,True,Jakarta Utara,rukun santoso,https://inbox.tokopedia.com/reputation/v1/badge/shop/6238189,https://www.tokopedia.com/rukunsan,,1,1,,https://www.tokopedia.com/rukunsan/blackmores-propolis-1000-220-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D5_catid%3D1129&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
5,,kesehatan/obat-obatan/obat-pencernaan-penyakit-lainnya,715,Kesehatan,,1,0,1,2296,Obat Pencernaan & Penyakit Lainnya,,0,,,False,383395697,0,False,1,Blackmores Propolis 1000 (220),,0,Rp 295.000,295000,,0,Jakarta Timur,4209369,False,False,False,Jakarta Timur,khania care,https://inbox.tokopedia.com/reputation/v1/badge/shop/4209369,https://www.tokopedia.com/khaniacare,,1,32767,,https://www.tokopedia.com/khaniacare/blackmores-propolis-1000-220?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D6_catid%3D2296&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,1,469,Vitamin & Nutrisi,,0,,,False,674756119,0,False,1,BLACKMORES PROPOLIS 1000 MG KALBE VITAMIN DAYA TAHAN TUBUH KALBE - 220,,0,Rp 699.999,699999,,0,Jakarta Barat,7602939,True,False,True,Jakarta Barat,LUMINTUSHOP20,https://inbox.tokopedia.com/reputation/v1/badge/shop/7602939,https://www.tokopedia.com/lumintushop20,,1,5,,https://www.tokopedia.com/lumintushop20/blackmores-propolis-1000-mg-kalbe-vitamin-daya-tahan-tubuh-kalbe-220?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,4,469,Vitamin & Nutrisi,,0,,,False,279225931,0,False,1,TERMURAH!! Blackmores Propolis 1000 MG 220 KAPSUL,,0,Rp 299.000,299000,,0,Jakarta Timur,895801,False,False,False,Jakarta Timur,Moviedah,https://inbox.tokopedia.com/reputation/v1/badge/shop/895801,https://www.tokopedia.com/moviedah,,1,32767,,https://www.tokopedia.com/moviedah/termurah-blackmores-propolis-1000-mg-220-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
8,,kesehatan/lainnya,715,Kesehatan,,1,1,2,1129,Kesehatan Lainnya,,0,,,False,580852373,0,False,1,Blackmores Propolis 1000 (220),,0,Rp 420.000,420000,,5,Surabaya,184672,False,False,False,Surabaya,Chika Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/184672,https://www.tokopedia.com/chikastore,,1,99,,https://www.tokopedia.com/chikastore/blackmores-propolis-1000-220?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D9_catid%3D1129&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,1,469,Vitamin & Nutrisi,,0,,,False,328084081,0,False,1,Blackmores Propolis 1000 Mg 220 Kapsul Bpom Halal Kalbe 220 Madu Asli,,0,Rp 326.000,326000,,0,Jakarta Selatan,3781905,False,False,False,Jakarta Selatan,TonyMoly,https://inbox.tokopedia.com/reputation/v1/badge/shop/3781905,https://www.tokopedia.com/wwwtonymoly,,1,32767,,https://www.tokopedia.com/wwwtonymoly/blackmores-propolis-1000-mg-220-kapsul-bpom-halal-kalbe-220-madu-asli?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Propolis+1000+%28220%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Propolis 1000 (220)
