,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,"[784637479, 784637480]",1,473,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,784637480,0,False,1,Blackmores Ultimate Omega 150 Softgel,,370625212,Rp 419.000,419000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,23,,https://www.tokopedia.com/bandaneirastore/blackmores-ultimate-omega-150-softgel-kalbe?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D1_catid%3D726&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
1,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,292,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,307822001,0,False,1,Blackmores Ultimate Omega BPOM Kalbe - 150 Kapsul Lunak,,0,Rp 431.250,431250,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,999608,,https://www.tokopedia.com/bosvitamin/blackmores-ultimate-omega-bpom-kalbe-150-kapsul-lunak?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D2_catid%3D726&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
2,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,35,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,288650557,0,False,1,BLACKMORES ULTIMATE OMEGA BPOM KALBE 150'S - SUPLEMEN JANTUNG,,0,Rp 430.000,430000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,37,,https://www.tokopedia.com/salamsehatbugar/blackmores-ultimate-omega-bpom-kalbe-150-s-suplemen-jantung?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D3_catid%3D726&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,3,469,Vitamin & Nutrisi,,0,,,False,613010801,0,False,1,Blackmores Ultimate Omega (150),,0,Rp 575.000,575000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G80,1,8,,https://www.tokopedia.com/blackmores/blackmores-ultimate-omega-150?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
4,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,19,10,726,Vitamin Daya Tahan Tubuh,,0,,,False,486703212,0,True,1,Blackmores Ultimate Omega Kalbe BPOM - 150 Kapsul Lunak,,0,Rp 431.250,431250,,5,Jakarta Utara,391863,True,False,True,Jakarta Utara,suplemenfactory,https://inbox.tokopedia.com/reputation/v1/badge/shop/391863,https://www.tokopedia.com/suplemenfactory,,1,32,['Preorder'],https://www.tokopedia.com/suplemenfactory/blackmores-ultimate-omega-kalbe-bpom-150-kapsul-lunak?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D5_catid%3D726&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
5,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,24,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,606670500,0,False,1,BLACKMORES ULTIMATE OMEGA 3 CONCENTRATED SALMON FISH OIL - 150 KAPSUL,,0,Rp 530.000,530000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999647,,https://www.tokopedia.com/dailypromotion/blackmores-ultimate-omega-3-concentrated-salmon-fish-oil-150-kapsul?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D6_catid%3D726&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
6,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,0,6,726,Vitamin Daya Tahan Tubuh,2020-05-31T00:00:00Z,15,2020-05-01T20:28:50Z,,False,435098461,0,False,1,blackmores ultimate omega 150 kps Kalbe,Rp 592.000,0,Rp 503.200,503200,,0,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCUO,1,5,,https://www.tokopedia.com/mitrasana/blackmores-ultimate-omega-150-kps-kalbe?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D7_catid%3D726&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
7,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,3,4,726,Vitamin Daya Tahan Tubuh,,0,,,False,550575049,0,False,1,Blackmores Ultimate Omega BPOM Kalbe - 150 Kapsul Lunak,,0,Rp 435.000,435000,,5,Jakarta Barat,635437,True,False,True,Jakarta Barat,Sehat Online Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/635437,https://www.tokopedia.com/sehatonlinestore,,1,2,,https://www.tokopedia.com/sehatonlinestore/blackmores-ultimate-omega-bpom-kalbe-150-kapsul-lunak?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D8_catid%3D726&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,2,469,Vitamin & Nutrisi,,0,,,False,757268609,0,False,1,"Blackmores Ultimate Omega 3 900mg , EPA dan DHA isi 150 caps",,0,Rp 575.000,575000,,5,Jakarta Barat,3853395,True,False,True,Jakarta Barat,babyrabbitshope,https://inbox.tokopedia.com/reputation/v1/badge/shop/3853395,https://www.tokopedia.com/babyrabbitshope,,1,5,,https://www.tokopedia.com/babyrabbitshope/blackmores-ultimate-omega-3-900mg-epa-dan-dha-isi-150-caps?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,10,469,Vitamin & Nutrisi,,0,,,False,737431566,0,True,1,Blackmores Ultimate Omega Kalbe BPOM - 150 Kapsul Lunak,,0,Rp 431.250,431250,,5,Jakarta Utara,7686442,True,True,True,Jakarta Utara,Nutrifit Official,https://inbox.tokopedia.com/reputation/v1/badge/shop/7686442,https://www.tokopedia.com/nutrifitofficial,,1,20,['Preorder'],https://www.tokopedia.com/nutrifitofficial/blackmores-ultimate-omega-kalbe-bpom-150-kapsul-lunak?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Ultimate+Omega+%28150%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Ultimate Omega (150)
