,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,161,6,469,Vitamin & Nutrisi,,0,,,False,371703352,0,False,1,Blackmores Celery 30 Kapsul 7000 Mg,,0,Rp 114.999,114999,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,14,,https://www.tokopedia.com/bandaneirastore/blackmores-celery-30-kapsul-7000-mg?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
1,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,70,10,469,Vitamin & Nutrisi,,0,,,False,318426172,0,False,1,Blackmores Celery 7000 Isi 30 Kapsul,,0,Rp 125.000,125000,,5,Jakarta Pusat,246424,True,False,True,Jakarta Pusat,moermer,https://inbox.tokopedia.com/reputation/v1/badge/shop/246424,https://www.tokopedia.com/moermer,suplemen051,1,39,,https://www.tokopedia.com/moermer/blackmores-celery-7000-isi-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,7,11,469,Vitamin & Nutrisi,2021-05-08T00:00:35Z,9,2020-05-08T18:30:35Z,,False,318427656,0,False,1,Blackmores Celery 7000 Isi 30 Kapsul,Rp 149.000,0,Rp 135.500,135500,,5,Jakarta Pusat,824445,True,True,True,Jakarta Pusat,mandjur,https://inbox.tokopedia.com/reputation/v1/badge/shop/824445,https://www.tokopedia.com/mandjur,suplemen052,1,47,,https://www.tokopedia.com/mandjur/blackmores-celery-7000-isi-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
3,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,9,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,527650161,0,False,1,BLACKMORES CELERY 7000 30 Tablet,,0,Rp 119.000,119000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,9,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-celery-7000-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D4_catid%3D726&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,10,2,469,Vitamin & Nutrisi,,0,,,False,556093594,0,False,1,Blackmores Celery 7000 30 Kapsul BPOM Kalbe,,0,Rp 112.000,112000,,5,Jakarta Timur,2807717,True,False,True,Jakarta Timur,jjbabybonds,https://inbox.tokopedia.com/reputation/v1/badge/shop/2807717,https://www.tokopedia.com/jjsayang,,1,939,,https://www.tokopedia.com/jjsayang/blackmores-celery-7000-30-kapsul-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D5_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,6,469,Vitamin & Nutrisi,2020-05-31T00:00:00Z,15,2020-05-01T20:28:31Z,,False,622035912,0,False,1,Blackmores Celery 7000 30 Tablet,Rp 159.650,0,Rp 135.703,135703,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCCR,1,43,,https://www.tokopedia.com/mitrasana/blackmores-celery-7000-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,19,3,469,Vitamin & Nutrisi,,0,,,False,613010826,0,False,1,Blackmores Celery 7000 (30),,0,Rp 155.000,155000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G85,1,10,,https://www.tokopedia.com/blackmores/blackmores-celery-7000-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,2,469,Vitamin & Nutrisi,,0,,,False,636890792,0,False,1,Blackmores Celery 7000 (30),,0,Rp 155.000,155000,,5,Jakarta Barat,2443009,True,True,True,Jakarta Barat,KALCare Official Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2443009,https://www.tokopedia.com/kalcare,BLCCR,1,4,,https://www.tokopedia.com/kalcare/blackmores-celery-7000-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
8,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,258,2,469,Vitamin & Nutrisi,,0,,,False,588264678,0,False,1,BLACKMORES CELERY 7000 MG KALBE VITAMIN JOINT PAIN RELIEF - 30 KAPSUL,,0,Rp 225.000,225000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999730,,https://www.tokopedia.com/dailypromotion/blackmores-celery-7000-mg-kalbe-vitamin-joint-pain-relief-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,8,469,Vitamin & Nutrisi,,0,,,False,769552467,0,False,1,Blackmores CELERY 7000 30 kapsul,,0,Rp 155.000,155000,,5,Jakarta Utara,2837911,True,False,True,Jakarta Utara,varolex,https://inbox.tokopedia.com/reputation/v1/badge/shop/2837911,https://www.tokopedia.com/varolex,,1,8,,https://www.tokopedia.com/varolex/blackmores-celery-7000-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBLACKMORES+CELERY+7000+%2830%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,BLACKMORES CELERY 7000 (30)
