,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,118,6,469,Vitamin & Nutrisi,,0,,,False,140303252,0,False,1,Blackmores Bio Ace Excell BPOM Kalbe - 80 Softgel,,0,Rp 363.750,363750,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,9982,,https://www.tokopedia.com/bosvitamin/blackmores-bio-ace-excell-bpom-kalbe-80-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,12,3,469,Vitamin & Nutrisi,,0,,,False,628002546,0,False,1,Blackmores Bio Ace Excell (80),,0,Rp 485.000,485000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G64,1,11,,https://www.tokopedia.com/blackmores/blackmores-bio-ace-excell-80-c2ac?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
2,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,261,2,469,Vitamin & Nutrisi,,0,,,False,588271979,0,False,1,BLACKMORES BIO ACE EXCELL EXCEL KALBE VITAMIN ANTIOKSIDAN - 80 KAPSUL,,0,Rp 450.000,450000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999707,,https://www.tokopedia.com/dailypromotion/blackmores-bio-ace-excell-excel-kalbe-vitamin-antioksidan-80-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,7,5,469,Vitamin & Nutrisi,,0,,,False,757221428,0,False,1,Blackmores Bio Ace Excell 80 Kapsul BPOM Original Excel Multivitamin,,0,Rp 360.000,360000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,7,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-bio-ace-excell-80-kapsul-bpom-original-excel-multivitamin?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,6,469,Vitamin & Nutrisi,,0,,,False,517068003,0,False,1,BLACKMORES BIO ACE EXCELL (80 kapsul lunak),,0,Rp 460.000,460000,,5,Bandung,2347979,True,False,True,Bandung,Toko Obat Pandu,https://inbox.tokopedia.com/reputation/v1/badge/shop/2347979,https://www.tokopedia.com/tokoobatpandu,,1,15,,https://www.tokopedia.com/tokoobatpandu/blackmores-bio-ace-excell-80-kapsul-lunak?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D5_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,5,469,Vitamin & Nutrisi,,0,,,False,747547552,0,False,1,Blackmores Bio Ace Excell - Kalbe - 80 Softgel,,0,Rp 430.000,430000,,5,Kab. Sidoarjo,371179,True,False,True,Kab. Sidoarjo,UD. Jodi Akbar,https://inbox.tokopedia.com/reputation/v1/badge/shop/371179,https://www.tokopedia.com/ud-jodiakbar,,1,4,,https://www.tokopedia.com/ud-jodiakbar/blackmores-bio-ace-excell-kalbe-80-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,8,2,469,Vitamin & Nutrisi,,0,,,False,769578716,0,False,1,Blackmores BIO ACE EXCELL/Vitamin C dan E lengkap isi 80 caps bpom,,0,Rp 400.000,400000,,5,Jakarta Barat,6329152,True,False,True,Jakarta Barat,GUNUNG JAYA88,https://inbox.tokopedia.com/reputation/v1/badge/shop/6329152,https://www.tokopedia.com/gunungjaya88,,1,20,,https://www.tokopedia.com/gunungjaya88/blackmores-bio-ace-excell-vitamin-c-dan-e-lengkap-isi-80-caps-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,10,469,Vitamin & Nutrisi,,0,,,False,752386865,0,False,1,Blackmores Bio ACE excell 80'S,,0,Rp 410.000,410000,,5,Surabaya,4124047,True,False,True,Surabaya,Our living,https://inbox.tokopedia.com/reputation/v1/badge/shop/4124047,https://www.tokopedia.com/glembos,9300807304587,1,4,,https://www.tokopedia.com/glembos/blackmores-bio-ace-excell-80-s?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
8,,kesehatan/suplemen-diet/lainnya,715,Kesehatan,,1,2,6,745,Diet & Vitamin Lainnya,,0,,,False,447279679,0,False,1,Blackmores Bio ACE Excell 80 softgels,,0,Rp 405.000,405000,,5,Tangerang,4430758,True,False,True,Tangerang,Apt Manjur Sehat,https://inbox.tokopedia.com/reputation/v1/badge/shop/4430758,https://www.tokopedia.com/aptmanjursehat,,1,9,,https://www.tokopedia.com/aptmanjursehat/blackmores-bio-ace-excell-80-softgels?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D9_catid%3D745&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,2,469,Vitamin & Nutrisi,,0,,,False,738137979,0,False,1,Blackmores Bio Ace Excell BPOM Kalbe - 80 Softgel,,0,Rp 368.600,368600,,5,Jakarta Utara,5525778,True,False,True,Jakarta Utara,RajaVitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/5525778,https://www.tokopedia.com/raja-vitamin,,1,94,,https://www.tokopedia.com/raja-vitamin/blackmores-bio-ace-excell-bpom-kalbe-80-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
10,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,6,469,Vitamin & Nutrisi,,0,,,False,792778762,0,False,1,blackmores bio ace excell isi 80 kapsul,,0,Rp 389.000,389000,,0,Jakarta Barat,3267460,True,False,True,Jakarta Barat,Elektrindo Wijaya,https://inbox.tokopedia.com/reputation/v1/badge/shop/3267460,https://www.tokopedia.com/wijayaelektrindo,,1,2,,https://www.tokopedia.com/wijayaelektrindo/blackmores-bio-ace-excell-isi-80-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D11_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
11,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,4,469,Vitamin & Nutrisi,,0,,,False,781971998,0,False,1,Blackmores BIO ACE Excell - Vitamin C E A Multivitamin 80 Tablet,,0,Rp 359.000,359000,,5,Bogor,180620,True,False,True,Bogor,PinkCocoLabel,https://inbox.tokopedia.com/reputation/v1/badge/shop/180620,https://www.tokopedia.com/pinkcocolabel,,1,2,,https://www.tokopedia.com/pinkcocolabel/blackmores-bio-ace-excell-vitamin-c-e-a-multivitamin-80-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+Ace+Excell+%2880%29_po%3D12_catid%3D469&whid=0,0,2020-05-22,Blackmores Bio Ace Excell (80)
