,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,4,5,2511,Vitamin C,,0,,,False,800587471,0,False,1,Blackmores Bio C 1000mg 30 tablet / Vitamin C,,0,Rp 155.000,155000,,5,Jakarta Utara,8231009,True,False,True,Jakarta Utara,DJSMART,https://inbox.tokopedia.com/reputation/v1/badge/shop/8231009,https://www.tokopedia.com/djsmart,,1,2,,https://www.tokopedia.com/djsmart/blackmores-bio-c-1000mg-30-tablet-vitamin-c?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D1_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
1,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,13,4,2511,Vitamin C,,0,,,False,807650239,0,False,1,Blackmores Bio C 1000 mg 30 tablet Vitamin C,,0,Rp 165.000,165000,,5,Jakarta Pusat,1222267,True,False,True,Jakarta Pusat,Kartikawira,https://inbox.tokopedia.com/reputation/v1/badge/shop/1222267,https://www.tokopedia.com/kartikawira,,1,12,,https://www.tokopedia.com/kartikawira/blackmores-bio-c-1000-mg-30-tablet-vitamin-c?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D2_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
2,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,"[805336245, 805336244, 805336243]",1,3,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,805336243,0,False,1,Blackmores Bio C 1000mg 30 / 60 / 150 BPOM Kalbe Vitamin C 1000 500 mg,,805336240,Rp 185.000,185000,,5,Surabaya,595873,True,False,True,Surabaya,Semua Diskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/595873,https://www.tokopedia.com/semuadiskon,,1,36,,https://www.tokopedia.com/semuadiskon/blackmores-bio-c-1000mg-30-60-150-bpom-kalbe-vitamin-c-1000-500-mg-bioc-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D3_catid%3D726&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
3,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,2,2,2511,Vitamin C,,0,,,False,809649769,0,False,1,[READY STOCK] Blackmores Bio C 1000 mg 30 Tabs,,0,Rp 170.000,170000,,5,Tangerang,2025921,True,False,True,Tangerang,BOSSofTrainers,https://inbox.tokopedia.com/reputation/v1/badge/shop/2025921,https://www.tokopedia.com/bossoftrainers,,1,4,,https://www.tokopedia.com/bossoftrainers/ready-stock-blackmores-bio-c-1000-mg-30-tabs?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D4_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
4,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,3,4,2511,Vitamin C,,0,,,False,826771788,0,False,1,Blackmores Bio C 1000 Vitamin C 1000 mg 30 Tablet,,0,Rp 159.000,159000,,5,Bogor,180620,True,False,True,Bogor,PinkCocoLabel,https://inbox.tokopedia.com/reputation/v1/badge/shop/180620,https://www.tokopedia.com/pinkcocolabel,,1,7,,https://www.tokopedia.com/pinkcocolabel/blackmores-bio-c-1000-vitamin-c-1000-mg-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D5_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
5,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,5,6,2511,Vitamin C,,0,,,False,825715602,0,False,1,Blackmores Bio C 1000 mg 30 Tablet Vitamin C,,0,Rp 175.000,175000,,5,Bekasi,6845224,True,False,True,Bekasi,KrangganStore,https://inbox.tokopedia.com/reputation/v1/badge/shop/6845224,https://www.tokopedia.com/kranggansto-1,,1,13,,https://www.tokopedia.com/kranggansto-1/blackmores-bio-c-1000-mg-30-tablet-vitamin-c?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D6_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
6,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,2,8,2511,Vitamin C,,0,,,False,832488677,0,False,1,Blackmores bio c 1000mg 30 tablet,,0,Rp 177.000,177000,,5,Bogor,6776077,True,False,True,Bogor,Depot Buku,https://inbox.tokopedia.com/reputation/v1/badge/shop/6776077,https://www.tokopedia.com/depot-buku,,1,3,,https://www.tokopedia.com/depot-buku/blackmores-bio-c-1000mg-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D7_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
7,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,3,6,2511,Vitamin C,,0,,,False,810786104,0,False,1,Blackmores Bio C 1000 mg Vitamin C isi 30 Tablet,,0,Rp 180.000,180000,,5,Jakarta Timur,3647518,True,False,True,Jakarta Timur,siapa kira,https://inbox.tokopedia.com/reputation/v1/badge/shop/3647518,https://www.tokopedia.com/siapakiraa,,1,5,,https://www.tokopedia.com/siapakiraa/blackmores-bio-c-1000-mg-vitamin-c-isi-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D8_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
8,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,0,6,2511,Vitamin C,,0,,,False,824402806,0,False,1,Blackmores Bio C 1000 mg 30 Tablet Vitamin C,,0,Rp 165.000,165000,,0,Bekasi,8136888,True,False,True,Bekasi,KFA Store.id,https://inbox.tokopedia.com/reputation/v1/badge/shop/8136888,https://www.tokopedia.com/kfastoreid,,1,15,,https://www.tokopedia.com/kfastoreid/blackmores-bio-c-1000-mg-30-tablet-vitamin-c-415f?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D9_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
9,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,4,7,2511,Vitamin C,,0,,,False,813870482,0,False,1,Blackmores Vitamin C (Bio C 1000mg isi 30 tablet),,0,Rp 185.000,185000,,5,Bekasi,1200825,True,False,True,Bekasi,Cimel Branded Corner,https://inbox.tokopedia.com/reputation/v1/badge/shop/1200825,https://www.tokopedia.com/cimelbranded,,1,1,,https://www.tokopedia.com/cimelbranded/blackmores-vitamin-c-bio-c-1000mg-isi-30-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Bio+C+1000mg+%2830%29_po%3D10_catid%3D2511&whid=0,0,2020-05-22,Blackmores Bio C 1000mg (30)
