,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/calcium,715,Kesehatan,,1,714,6,2514,Vitamin K,,0,,,False,198518578,0,False,1,Blackmores Calcimag Multi BPOM Kalbe (Kalsium Obat Tulang) - 60 tablet,,0,Rp 120.000,120000,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,998959,,https://www.tokopedia.com/bosvitamin/blackmores-calcimag-multi-bpom-kalbe-kalsium-obat-tulang-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D1_catid%3D2514&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,43,11,469,Vitamin & Nutrisi,2021-05-08T00:00:10Z,9,2020-05-08T18:30:10Z,,False,303838353,0,False,1,Blackmores Calcimag Multi Isi 60 Tablet - Suplemen Kesehatan Tulang,Rp 143.000,0,Rp 130.000,130000,,5,Jakarta Pusat,824445,True,True,True,Jakarta Pusat,mandjur,https://inbox.tokopedia.com/reputation/v1/badge/shop/824445,https://www.tokopedia.com/mandjur,suplemen006,1,36,,https://www.tokopedia.com/mandjur/blackmores-calcimag-multi-isi-60-tablet-suplemen-kesehatan-tulang?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
2,,kesehatan/vitamin-multivitamin/calcium,715,Kesehatan,,1,90,5,2514,Vitamin K,,0,,,False,210615230,0,False,1,"Blackmores Calcimag Multi BPOM Kalbe 60's - Kalsium, , Obat Tulang",,0,Rp 130.000,130000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,999789,,https://www.tokopedia.com/salamsehatbugar/blackmores-calcimag-multi-bpom-kalbe-60-s-kalsium-obat-tulang?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D3_catid%3D2514&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
3,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,44,7,469,Vitamin & Nutrisi,,0,,,False,463736612,0,False,1,Blackmores Calcimag Multi 60 tablets,,0,Rp 115.000,115000,,5,Surabaya,2714796,True,False,True,Surabaya,the fit gym store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2714796,https://www.tokopedia.com/thefitgymstore,,1,860,,https://www.tokopedia.com/thefitgymstore/blackmores-calcimag-multi-60-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,8,6,469,Vitamin & Nutrisi,2020-05-31T00:00:00Z,15,2020-05-01T20:29:17Z,,False,389309741,0,False,1,BLACKMORES CALCIMAG MULTI 60 TABLET BPOM KALBE,Rp 154.500,0,Rp 131.325,131325,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCAM,1,33,,https://www.tokopedia.com/mitrasana/blackmores-calcimag-multi-60-tablet-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D5_catid%3D469&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
5,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,220,10,469,Vitamin & Nutrisi,,0,,,False,213854539,0,False,1,Blackmores Calcimag Multi - Isi 60 Tablet,,0,Rp 120.000,120000,,5,Jakarta Pusat,246424,True,False,True,Jakarta Pusat,moermer,https://inbox.tokopedia.com/reputation/v1/badge/shop/246424,https://www.tokopedia.com/moermer,,1,76,,https://www.tokopedia.com/moermer/blackmores-calcimag-multi-isi-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,5,469,Vitamin & Nutrisi,,0,,,False,338286061,0,False,1,BLACKMORES Calcimag Multi 60 tablet BPOM Original Kalbe,,0,Rp 115.000,115000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,8,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-calcimag-multi-60-tablet-bpom-original-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,46,3,469,Vitamin & Nutrisi,,0,,,False,626840318,0,False,1,Blackmores Calcimag Multi (60),,0,Rp 150.000,150000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G72,1,21,,https://www.tokopedia.com/blackmores/blackmores-calcimag-multi-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
8,,kesehatan/vitamin-multivitamin/calcium,715,Kesehatan,,1,24,2,2514,Vitamin K,,0,,,False,606668039,0,False,1,BLACKMORES CALCIMAG CALCI MAG MULTI CALCIUM KALSIUM TULANG - 60 TABLET,,0,Rp 199.000,199000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999640,,https://www.tokopedia.com/dailypromotion/blackmores-calcimag-calci-mag-multi-calcium-kalsium-tulang-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D9_catid%3D2514&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
9,,kesehatan/vitamin-multivitamin/calcium,715,Kesehatan,,1,6,4,2514,Vitamin K,,0,,,False,269189947,0,False,1,BLACKMORES CALCIMAG MULTI (CALSIUM KALSIUM OBAT TULANG) 60 KAPSUL,,0,Rp 129.000,129000,,5,Jakarta Pusat,2142423,True,False,True,Jakarta Pusat,BABY SANRIO,https://inbox.tokopedia.com/reputation/v1/badge/shop/2142423,https://www.tokopedia.com/babysanrio,,1,999987,,https://www.tokopedia.com/babysanrio/blackmores-calcimag-multi-calsium-kalsium-obat-tulang-60-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Calcimag+Multi+%2860%29_po%3D10_catid%3D2514&whid=0,0,2020-05-22,Blackmores Calcimag Multi (60)
