,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,1,469,Vitamin & Nutrisi,,0,,,False,840191133,0,False,1,Blackmores Celery 7000 (120 Kapsul),,0,Rp 445.000,445000,,5,Pekanbaru,8443779,True,False,True,Pekanbaru,Pehaps Consumer Health,https://inbox.tokopedia.com/reputation/v1/badge/shop/8443779,https://www.tokopedia.com/pehaps-company,,1,10,,https://www.tokopedia.com/pehaps-company/blackmores-celery-7000-120-kapsul?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,12,469,Vitamin & Nutrisi,,0,,,False,586727520,0,False,1,Blackmores Celery 7000 (120),,0,Rp 575.000,575000,,5,Jakarta Barat,7009101,True,False,True,Jakarta Barat,Healthy_life21,https://inbox.tokopedia.com/reputation/v1/badge/shop/7009101,https://www.tokopedia.com/healthylife21,,1,13,,https://www.tokopedia.com/healthylife21/blackmores-celery-7000-120?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
2,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,0,8,726,Vitamin Daya Tahan Tubuh,,0,,,False,783931529,0,False,1,Blackmores CELERY 7000 isi 120 kapsul BLACKMORES,,0,Rp 525.000,525000,,0,Jakarta Utara,2837911,True,False,True,Jakarta Utara,varolex,https://inbox.tokopedia.com/reputation/v1/badge/shop/2837911,https://www.tokopedia.com/varolex,,1,9,,https://www.tokopedia.com/varolex/blackmores-celery-7000-isi-120-kapsul-blackmores?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D3_catid%3D726&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,6,469,Vitamin & Nutrisi,,0,,,False,527803537,0,False,1,Blackmores Celery 7000 120 Capsule,,0,Rp 562.000,562000,,0,Medan,6360350,True,False,True,Medan,Tik Tok Toe,https://inbox.tokopedia.com/reputation/v1/badge/shop/6360350,https://www.tokopedia.com/tiktoktoe,,1,999986,,https://www.tokopedia.com/tiktoktoe/blackmores-celery-7000-120-capsule?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
4,,kesehatan/obat-obatan/obat-herbal,715,Kesehatan,,1,0,5,2289,Obat Herbal,,0,,,False,786386294,0,False,1,Blackmores Celery 7000 isi 120 kapsul untuk asam urat,,0,Rp 525.000,525000,,0,Kab. Sidoarjo,6454307,True,False,True,Kab. Sidoarjo,xxrosescatsxx,https://inbox.tokopedia.com/reputation/v1/badge/shop/6454307,https://www.tokopedia.com/xxrosescatsxx,,1,1,,https://www.tokopedia.com/xxrosescatsxx/blackmores-celery-7000-isi-120-kapsul-untuk-asam-urat?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D5_catid%3D2289&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,7,469,Vitamin & Nutrisi,,0,,,False,386381275,0,False,1,Blackmores Celery 7000 (120),,0,Rp 504.400,504400,,0,Medan,2737424,True,False,True,Medan,JovindoShop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2737424,https://www.tokopedia.com/jovindoshop,,1,100,,https://www.tokopedia.com/jovindoshop/blackmores-celery-7000-120?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
6,,kesehatan/suplemen-diet/lainnya,715,Kesehatan,,1,0,11,745,Diet & Vitamin Lainnya,,0,,,False,602409970,0,False,1,Blackmores Celery 7000 120 capsules,,0,Rp 465.000,465000,,0,Tangerang,3483094,True,False,True,Tangerang,MEYO LAND,https://inbox.tokopedia.com/reputation/v1/badge/shop/3483094,https://www.tokopedia.com/meyoland,,1,2,,https://www.tokopedia.com/meyoland/blackmores-celery-7000-120-capsules?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D7_catid%3D745&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,11,469,Vitamin & Nutrisi,,0,,,False,444094517,0,False,1,Blackmores Celery 7000 - 120 Kapsul,,0,Rp 578.000,578000,,0,Jakarta Utara,2733838,True,False,True,Jakarta Utara,Leygra Shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2733838,https://www.tokopedia.com/leygrashop,,1,999999,,https://www.tokopedia.com/leygrashop/blackmores-celery-7000-120-kapsul?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,,0,,,False,860036993,0,False,1,Blackmores Celery 7000 isi 120 tab,,0,Rp 413.500,413500,,0,Semarang,3005301,True,False,True,Semarang,Apt Sehat Abadi,https://inbox.tokopedia.com/reputation/v1/badge/shop/3005301,https://www.tokopedia.com/aptsehatabadismg,,1,5,,https://www.tokopedia.com/aptsehatabadismg/blackmores-celery-7000-isi-120-tab?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,10,469,Vitamin & Nutrisi,,0,,,False,752438415,0,False,1,Blackmores Celery 7000 120'S,,0,Rp 535.000,535000,,0,Surabaya,4124047,True,False,True,Surabaya,Our living,https://inbox.tokopedia.com/reputation/v1/badge/shop/4124047,https://www.tokopedia.com/glembos,9300807302415,1,3,,https://www.tokopedia.com/glembos/blackmores-celery-7000-120-s?refined=true&trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Celery+7000+%28120%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Celery 7000 (120)
