,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,13,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,777444842,0,False,1,blackmores echinacea multi vitamin daya tahan tubuh 60 tablet kalbe,,0,Rp 330.000,330000,,5,Jakarta Barat,639852,True,False,True,Jakarta Barat,iven collection,https://inbox.tokopedia.com/reputation/v1/badge/shop/639852,https://www.tokopedia.com/iven-collection,,1,6,,https://www.tokopedia.com/iven-collection/blackmores-echinacea-multi-vitamin-daya-tahan-tubuh-60-tablet-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D1_catid%3D726&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,10,469,Vitamin & Nutrisi,,0,,,False,752382648,0,False,1,Blackmores Echinacea Multi 60'S,,0,Rp 325.000,325000,,0,Surabaya,4124047,True,False,True,Surabaya,Our living,https://inbox.tokopedia.com/reputation/v1/badge/shop/4124047,https://www.tokopedia.com/glembos,93551281,1,1,,https://www.tokopedia.com/glembos/blackmores-echinacea-multi-60-s?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
2,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,7,469,Vitamin & Nutrisi,,0,,,False,726543844,0,False,1,Blackmores Echinacea Multi (60),,0,Rp 357.500,357500,,5,Denpasar,4938298,True,False,True,Denpasar,Labotanica Bali,https://inbox.tokopedia.com/reputation/v1/badge/shop/4938298,https://www.tokopedia.com/labotanicabali,,1,3,,https://www.tokopedia.com/labotanicabali/blackmores-echinacea-multi-60?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,2,469,Vitamin & Nutrisi,,0,,,False,779553623,0,False,1,Blackmores Echinacea Multi 60 tablet Kalbe BPOM,,0,Rp 445.000,445000,,0,Jakarta Barat,4676977,True,False,True,Jakarta Barat,monvita,https://inbox.tokopedia.com/reputation/v1/badge/shop/4676977,https://www.tokopedia.com/monvita,,1,3,,https://www.tokopedia.com/monvita/blackmores-echinacea-multi-60-tablet-kalbe-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
4,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,2,9,726,Vitamin Daya Tahan Tubuh,,0,,,False,269679171,0,False,1,Blackmores Echinacea Multi isi 60 tablet,,0,Rp 425.000,425000,,5,Jakarta Barat,75734,True,False,True,Jakarta Barat,Hopedream,https://inbox.tokopedia.com/reputation/v1/badge/shop/75734,https://www.tokopedia.com/hopedream,,1,2,,https://www.tokopedia.com/hopedream/blackmores-echinacea-multi-isi-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D5_catid%3D726&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,,0,,,False,789156840,0,False,1,Blackmores Echinacea Multi isi 60 tablet,,0,Rp 425.000,425000,,0,Jakarta Timur,4039092,True,False,True,Jakarta Timur,The SECOND-HAND Books,https://inbox.tokopedia.com/reputation/v1/badge/shop/4039092,https://www.tokopedia.com/the2ndhandbooks,,1,1,,https://www.tokopedia.com/the2ndhandbooks/blackmores-echinacea-multi-isi-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,3,469,Vitamin & Nutrisi,,0,,,False,350914763,0,False,1,BLACKMORES ECHINACEA MULTI 60 Tab BPOM Immune Booster Flu,,0,Rp 390.000,390000,,5,Jakarta Pusat,4472264,False,False,False,Jakarta Pusat,Mega Atrium Shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/4472264,https://www.tokopedia.com/megashintyashop,,1,999974,,https://www.tokopedia.com/megashintyashop/blackmores-echinacea-multi-60-tab-bpom-immune-booster-flu?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
7,,kesehatan/vitamin-multivitamin/vitamin-c,715,Kesehatan,,1,0,10,2511,Vitamin C,,0,,,False,831773675,0,False,1,BLACKMORES ECHINACEA MULTI (60 Tablet),,0,Rp 293.500,293500,,0,Bekasi,8137949,True,False,True,Bekasi,Yudi_Store23,https://inbox.tokopedia.com/reputation/v1/badge/shop/8137949,https://www.tokopedia.com/yudistore23,,1,100,,https://www.tokopedia.com/yudistore23/blackmores-echinacea-multi-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D8_catid%3D2511&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
8,,kesehatan/vitamin-multivitamin/calcium,715,Kesehatan,,1,0,3,2514,Vitamin K,,0,,,False,778445090,0,False,1,blackmores echinacea multi 60 tablet,,0,Rp 400.000,400000,,0,Bandung,7958858,True,False,True,Bandung,hisyamberkah,https://inbox.tokopedia.com/reputation/v1/badge/shop/7958858,https://www.tokopedia.com/hisyamberkah,,1,4,,https://www.tokopedia.com/hisyamberkah/blackmores-echinacea-multi-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D9_catid%3D2514&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,1,5,469,Vitamin & Nutrisi,,0,,,False,266126410,0,False,1,BLACKMORES-ECHINACEA MULTI(60 TABLET),,0,Rp 275.000,275000,,5,Bandung,2275315,False,False,False,Bandung,Vitto Shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2275315,https://www.tokopedia.com/vittoshop,,1,32767,,https://www.tokopedia.com/vittoshop/blackmores-echinacea-multi-60-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Echinacea+Multi+%2860%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Echinacea Multi (60)
