,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,30,4,469,Vitamin & Nutrisi,,0,,,False,241285218,0,False,1,BLACKMORES Flaxseed Oil 1000Mg (100 tablets),,0,Rp 259.900,259900,,5,Jakarta Pusat,2142423,True,False,True,Jakarta Pusat,BABY SANRIO,https://inbox.tokopedia.com/reputation/v1/badge/shop/2142423,https://www.tokopedia.com/babysanrio,,1,999958,,https://www.tokopedia.com/babysanrio/blackmores-flaxseed-oil-1000mg-100-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,2,469,Vitamin & Nutrisi,,0,,,False,452473385,0,False,1,Blackmores Flaxseed Oil 1000 mg 100 tablets BPOM KALBE,,0,Rp 260.000,260000,,5,Jakarta Barat,519800,False,False,False,Jakarta Barat,Vitamin Direct,https://inbox.tokopedia.com/reputation/v1/badge/shop/519800,https://www.tokopedia.com/vitamindirect,9300807301791,1,11,,https://www.tokopedia.com/vitamindirect/blackmores-flaxseed-oil-1000-mg-100-tablets-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,,0,,,False,562878833,0,False,1,BLACKMORES FLAXSEED OIL 1000MG - 100 CAPS,,0,Rp 295.000,295000,,0,Jakarta Utara,6678368,True,False,True,Jakarta Utara,EarthSeed,https://inbox.tokopedia.com/reputation/v1/badge/shop/6678368,https://www.tokopedia.com/earthseed,,1,999980,,https://www.tokopedia.com/earthseed/blackmores-flaxseed-oil-1000mg-100-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,5,469,Vitamin & Nutrisi,,0,,,False,862970160,0,True,1,Blackmores Flaxseed Oil 1000mg 100 Vegetarian Capsules,,0,Rp 290.000,290000,,0,Jakarta Barat,6431300,True,False,True,Jakarta Barat,MKK accessories,https://inbox.tokopedia.com/reputation/v1/badge/shop/6431300,https://www.tokopedia.com/mkkaccessories,,1,5,['Preorder'],https://www.tokopedia.com/mkkaccessories/blackmores-flaxseed-oil-1000mg-100-vegetarian-capsules?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
4,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,1,4,726,Vitamin Daya Tahan Tubuh,,0,,,False,457782837,0,False,1,Blackmores Flaxseed Oil 1000mg isi 100 Kapsul by Kalbe,,0,Rp 236.000,236000,,5,Denpasar,2247215,True,False,True,Denpasar,Balonku Babyshop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2247215,https://www.tokopedia.com/balonkubabyshop,ST234-0025,1,2,,https://www.tokopedia.com/balonkubabyshop/blackmores-flaxseed-oil-1000mg-isi-100-kapsul-by-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D5_catid%3D726&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,9,469,Vitamin & Nutrisi,,0,,,False,548832320,0,False,1,Blackmores Flaxseed Oil 1000 mg (100) BPOM KALBE,,0,Rp 250.750,250750,,0,Bekasi,6207106,True,False,True,Bekasi,Mitrasana Bekasi,https://inbox.tokopedia.com/reputation/v1/badge/shop/6207106,https://www.tokopedia.com/mitrasanabekasi,,1,1,,https://www.tokopedia.com/mitrasanabekasi/blackmores-flaxseed-oil-1000-mg-100-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,6,469,Vitamin & Nutrisi,,0,,,False,648135454,0,False,1,Blackmores Flaxseed Oil 1000mg - 100 tablet,,0,Rp 225.000,225000,,0,Medan,6730153,True,False,True,Medan,wellingmart,https://inbox.tokopedia.com/reputation/v1/badge/shop/6730153,https://www.tokopedia.com/wellingmart,,1,100,,https://www.tokopedia.com/wellingmart/blackmores-flaxseed-oil-1000mg-100-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
7,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,7,469,Vitamin & Nutrisi,,0,,,False,732718132,0,False,1,Blackmores Flaxseed Oil 1000mg (100),,0,Rp 327.500,327500,,0,Denpasar,4938298,True,False,True,Denpasar,Labotanica Bali,https://inbox.tokopedia.com/reputation/v1/badge/shop/4938298,https://www.tokopedia.com/labotanicabali,,1,5,,https://www.tokopedia.com/labotanicabali/blackmores-flaxseed-oil-1000mg-100?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
8,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,0,7,726,Vitamin Daya Tahan Tubuh,,0,,,False,386379600,0,False,1,Blackmores Flaxseed Oil 1000mg (100),,0,Rp 281.300,281300,,0,Medan,2737424,True,False,True,Medan,JovindoShop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2737424,https://www.tokopedia.com/jovindoshop,,1,100,,https://www.tokopedia.com/jovindoshop/blackmores-flaxseed-oil-1000mg-100?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D9_catid%3D726&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,6,469,Vitamin & Nutrisi,,0,,,False,737397711,0,False,1,Blackmores Flaxseed Oil 1000mg - 100 tablet,,0,Rp 265.000,265000,,0,Medan,7067892,True,False,True,Medan,gunungmasabadi,https://inbox.tokopedia.com/reputation/v1/badge/shop/7067892,https://www.tokopedia.com/gunungmasabadi,,1,999,,https://www.tokopedia.com/gunungmasabadi/blackmores-flaxseed-oil-1000mg-100-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Flaxseed+Oil+1000mg+%28100%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Flaxseed Oil 1000mg (100)
