,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,172,6,469,Vitamin & Nutrisi,,0,,,False,305670664,0,False,1,Blackmores Milk Thistle BPOM Kalbe - 42 Tablet,,0,Rp 150.000,150000,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,999599,,https://www.tokopedia.com/bosvitamin/blackmores-milk-thistle-bpom-kalbe-42-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
1,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,"[715882296, 715882298]",1,658,6,469,Vitamin & Nutrisi,,0,,,False,715882298,0,False,1,Blackmores Milk Thistle 42 Tablet,,370620720,Rp 142.000,142000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,5,,https://www.tokopedia.com/bandaneirastore/blackmores-milk-thistle-42-tablet-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,11,5,469,Vitamin & Nutrisi,,0,,,False,648200052,0,False,1,Blackmores Milk Thistle (42),,0,Rp 75.000,75000,,5,Jakarta Pusat,3501280,True,False,True,Jakarta Pusat,INFINITY SHOPPING,https://inbox.tokopedia.com/reputation/v1/badge/shop/3501280,https://www.tokopedia.com/infinityshoppin,,1,1,,https://www.tokopedia.com/infinityshoppin/blackmores-milk-thistle-42?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
3,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,12,7,469,Vitamin & Nutrisi,,0,,,False,483615499,0,False,1,Blackmores Milk Thistle 42 Tablet BPOM KALBE,,0,Rp 149.000,149000,,5,Surabaya,2714796,True,False,True,Surabaya,the fit gym store,https://inbox.tokopedia.com/reputation/v1/badge/shop/2714796,https://www.tokopedia.com/thefitgymstore,,1,991,,https://www.tokopedia.com/thefitgymstore/blackmores-milk-thistle-42-tablet-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,26,3,469,Vitamin & Nutrisi,,0,,,False,166454485,0,False,1,Blackmores Milk Thistle isi 42 Tablets Melindungi Hati Anda,,0,Rp 225.000,225000,,5,Jakarta Utara,1174531,True,False,True,Jakarta Utara,Apanaja,https://inbox.tokopedia.com/reputation/v1/badge/shop/1174531,https://www.tokopedia.com/apanaja,,1,999994,,https://www.tokopedia.com/apanaja/blackmores-milk-thistle-isi-42-tablets-melindungi-hati-anda?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D5_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,11,5,469,Vitamin & Nutrisi,,0,,,False,288624981,0,False,1,BLACKMORES MILK THISTLE BPOM KALBE 42'S - SUPLEMEN KESEHATAN HATI,,0,Rp 160.000,160000,,5,Surabaya,1325020,True,False,True,Surabaya,Salam Sehat Bugar,https://inbox.tokopedia.com/reputation/v1/badge/shop/1325020,https://www.tokopedia.com/salamsehatbugar,,1,999968,,https://www.tokopedia.com/salamsehatbugar/blackmores-milk-thistle-bpom-kalbe-42-s-suplemen-kesehatan-hati?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,8,3,469,Vitamin & Nutrisi,,0,,,False,613010782,0,False,1,Blackmores Milk Thistle (42),,0,Rp 190.000,190000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G76,1,6,,https://www.tokopedia.com/blackmores/blackmores-milk-thistle-42?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
7,,kesehatan/suplemen-diet/detox,715,Kesehatan,,1,6,2,467,Detox,,0,,,False,490149087,0,False,1,Blackmores milk thistle 42 caps liver detox detoxification BPOM KALBE,,0,Rp 155.000,155000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,999992,,https://www.tokopedia.com/hulksupplement/blackmores-milk-thistle-42-caps-liver-detox-detoxification-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D8_catid%3D467&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,433,2,469,Vitamin & Nutrisi,,0,,,False,588296185,0,False,1,BLACKMORES MILK THISTLE KALBE VITAMIN SUPLEMEN FUNGSI HATI - 42 KAPSUL,,0,Rp 200.000,200000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999333,,https://www.tokopedia.com/dailypromotion/blackmores-milk-thistle-kalbe-vitamin-suplemen-fungsi-hati-42-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
9,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,9,10,469,Vitamin & Nutrisi,,0,,,False,486701152,0,True,1,Blackmores Milk Thistle BPOM Kalbe - 42 Tabs,,0,Rp 150.000,150000,,5,Jakarta Utara,391863,True,False,True,Jakarta Utara,suplemenfactory,https://inbox.tokopedia.com/reputation/v1/badge/shop/391863,https://www.tokopedia.com/suplemenfactory,,1,76,['Preorder'],https://www.tokopedia.com/suplemenfactory/blackmores-milk-thistle-bpom-kalbe-42-tabs?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Milk+Thistle+%2842%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Milk Thistle (42)
