,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,606,6,469,Vitamin & Nutrisi,,0,,,False,141322594,0,False,1,Blackmores Multivitamins + Minerals BPOM Kalbe - 120 tablet,,0,Rp 400.000,400000,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,10,,https://www.tokopedia.com/bosvitamin/blackmores-multivitamins-minerals-bpom-kalbe-120-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
1,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,44,3,469,Vitamin & Nutrisi,,0,,,False,626838561,0,False,1,Blackmores Multivitamins + Minerals (120),,0,Rp 460.000,460000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G69,1,22,,https://www.tokopedia.com/blackmores/blackmores-multivitamins-minerals-120?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,"[777627268, 777627267]",1,13,6,469,Vitamin & Nutrisi,,0,,,False,777627267,0,False,1,Blackmores Multivitamins Minerals 120 BPOM Kalbe multivitamin multi,,266156382,Rp 162.000,162000,,5,Surabaya,595873,True,False,True,Surabaya,Semua Diskon,https://inbox.tokopedia.com/reputation/v1/badge/shop/595873,https://www.tokopedia.com/semuadiskon,,1,33,,https://www.tokopedia.com/semuadiskon/blackmores-multivitamins-minerals-120-bpom-kalbe-multivitamin-multi-30-tabs?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,17,2,469,Vitamin & Nutrisi,,0,,,False,491587906,0,False,1,"Blackmores Multivitamins + Minerals, 120 Tablets",,0,Rp 389.000,389000,,5,Jakarta Barat,5533025,True,False,True,Jakarta Barat,SOMERSET,https://inbox.tokopedia.com/reputation/v1/badge/shop/5533025,https://www.tokopedia.com/somersetsg,,1,241,,https://www.tokopedia.com/somersetsg/blackmores-multivitamins-minerals-120-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,6,1,469,Vitamin & Nutrisi,,0,,,False,769820761,0,False,1,"Blackmores Multivitamins & Minerals, BPOM Kalbe - 120 Tablet",,0,Rp 450.000,450000,,5,Kab. Asahan,5047715,True,False,True,Kab. Asahan,GGMove,https://inbox.tokopedia.com/reputation/v1/badge/shop/5047715,https://www.tokopedia.com/ggmove,,1,24,,https://www.tokopedia.com/ggmove/blackmores-multivitamins-minerals-bpom-kalbe-120-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D5_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,6,469,Vitamin & Nutrisi,,0,,,False,737397638,0,False,1,Blackmores Multivitamins And Minerals 120 Tablet,,0,Rp 480.000,480000,,5,Medan,7067892,True,False,True,Medan,gunungmasabadi,https://inbox.tokopedia.com/reputation/v1/badge/shop/7067892,https://www.tokopedia.com/gunungmasabadi,,1,1,,https://www.tokopedia.com/gunungmasabadi/blackmores-multivitamins-and-minerals-120-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,5,3,469,Vitamin & Nutrisi,,0,,,False,554326343,0,False,1,BLACKMORES MULTIVITAMINS DAN MINERALS 120,,0,Rp 499.000,499000,,5,Cirebon,6525167,True,False,True,Cirebon,Jessica Baby Kids Shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/6525167,https://www.tokopedia.com/jessicababykids,302491,1,3,,https://www.tokopedia.com/jessicababykids/blackmores-multivitamins-dan-minerals-120?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
7,,kesehatan/suplemen-diet/lainnya,715,Kesehatan,,1,0,6,745,Diet & Vitamin Lainnya,,0,,,False,747596188,0,False,1,Blackmores Multivitamins + Minerals 120 Tablet,,0,Rp 400.000,400000,,0,Jakarta Utara,2361668,True,False,True,Jakarta Utara,the baby boss shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/2361668,https://www.tokopedia.com/thebabybossshop,,1,7,,https://www.tokopedia.com/thebabybossshop/blackmores-multivitamins-minerals-120-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D8_catid%3D745&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,3,6,469,Vitamin & Nutrisi,,0,,,False,838319003,0,False,1,Blackmores Multivitamins + Minerals 120 Tablet Kalbe,,0,Rp 460.000,460000,,5,Jakarta Selatan,8464643,True,False,True,Jakarta Selatan,Sumber Alam Raya,https://inbox.tokopedia.com/reputation/v1/badge/shop/8464643,https://www.tokopedia.com/sumberalamraya,,1,6,,https://www.tokopedia.com/sumberalamraya/blackmores-multivitamins-minerals-120-tablet-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
9,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,3,469,Vitamin & Nutrisi,,0,,,False,474723064,0,False,1,BLACKMORES MULTIVITAMINS DAN MINERALS Isi 120 Caps BPOM Kalbe Farma,,0,Rp 470.000,470000,,0,Medan,5601240,True,False,True,Medan,Cfk Onlineshop,https://inbox.tokopedia.com/reputation/v1/badge/shop/5601240,https://www.tokopedia.com/cfkonlineshop,,1,999999,,https://www.tokopedia.com/cfkonlineshop/blackmores-multivitamins-dan-minerals-isi-120-caps-bpom-kalbe-farma?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Multivitamins+++Minerals+%28120%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Multivitamins + Minerals (120)
