,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,121,3,469,Vitamin & Nutrisi,,0,,,False,613010820,0,False,1,Blackmores Odourless Fish Oil 1000 (30),,0,Rp 70.000,70000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G84,1,25,,https://www.tokopedia.com/blackmores/blackmores-odourless-fish-oil-1000-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
1,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,548,6,469,Vitamin & Nutrisi,,0,,,False,317543540,0,False,1,Blackmores Odourless Fish Oil 30 Kapsul 1000 Mg,,0,Rp 65.000,65000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,9,,https://www.tokopedia.com/bandaneirastore/blackmores-odourless-fish-oil-30-kapsul-1000-mg?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
2,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,50,11,726,Vitamin Daya Tahan Tubuh,,0,,,False,339546924,0,False,1,Blackmores Odourless Fish Oil 1000 mg - Isi 30 Kapsul Lunak,,0,Rp 70.000,70000,,5,Jakarta Pusat,824445,True,True,True,Jakarta Pusat,mandjur,https://inbox.tokopedia.com/reputation/v1/badge/shop/824445,https://www.tokopedia.com/mandjur,suplemen053,1,99,,https://www.tokopedia.com/mandjur/blackmores-odourless-fish-oil-1000-mg-isi-30-kapsul-lunak?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D3_catid%3D726&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
3,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,140,10,726,Vitamin Daya Tahan Tubuh,,0,,,False,339540595,0,False,1,Blackmores Odourless Fish Oil 1000 mg - Isi 30 Kapsul Lunak,,0,Rp 70.000,70000,,5,Jakarta Pusat,246424,True,False,True,Jakarta Pusat,moermer,https://inbox.tokopedia.com/reputation/v1/badge/shop/246424,https://www.tokopedia.com/moermer,suplemen053,1,189,,https://www.tokopedia.com/moermer/blackmores-odourless-fish-oil-1000-mg-isi-30-kapsul-lunak?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D4_catid%3D726&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
4,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,24,5,726,Vitamin Daya Tahan Tubuh,,0,,,False,549962517,0,False,1,BLACKMORES Odourless Fish Oil 1000mg 30 kap Omega 3 1000 mg,,0,Rp 59.000,59000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,8,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-odourless-fish-oil-1000mg-30-kap-omega-3-1000-mg?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D5_catid%3D726&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
5,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,368,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,606618112,0,False,1,BLACKMORES ODOURLESS FISH OIL OMEGA 3 1000MG 1000 MG KALBE - 30 KAPSUL,,0,Rp 99.000,99000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,99996,,https://www.tokopedia.com/dailypromotion/blackmores-odourless-fish-oil-omega-3-1000mg-1000-mg-kalbe-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D6_catid%3D726&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,22,2,469,Vitamin & Nutrisi,,0,,,False,625095789,0,False,1,Blackmores Odourless Fish Oil 1000 30caps 30 Capsule BPOM,,0,Rp 64.000,64000,,5,Jakarta Barat,4676977,True,False,True,Jakarta Barat,monvita,https://inbox.tokopedia.com/reputation/v1/badge/shop/4676977,https://www.tokopedia.com/monvita,,1,28,,https://www.tokopedia.com/monvita/blackmores-odourless-fish-oil-1000-30caps-30-capsule-bpom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,22,4,469,Vitamin & Nutrisi,,0,,,False,338510902,0,False,1,BLACKMORES ODOURLESS FISH OIL 1000 ISI 30 KAPSUL (SEGEL ORI KALBE),,0,Rp 69.999,69999,,5,Jakarta Pusat,2142423,True,False,True,Jakarta Pusat,BABY SANRIO,https://inbox.tokopedia.com/reputation/v1/badge/shop/2142423,https://www.tokopedia.com/babysanrio,,1,999948,,https://www.tokopedia.com/babysanrio/blackmores-odourless-fish-oil-1000-isi-30-kapsul-segel-ori-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,7,6,469,Vitamin & Nutrisi,,0,,,False,722503173,0,False,1,Blackmores Odourless Fish Oil 1000 BPOM KALBE - 30 kapsul,,0,Rp 65.000,65000,,5,Jakarta Utara,7391845,True,False,True,Jakarta Utara,The Jay Shop,https://inbox.tokopedia.com/reputation/v1/badge/shop/7391845,https://www.tokopedia.com/tjay-1,,1,1,,https://www.tokopedia.com/tjay-1/blackmores-odourless-fish-oil-1000-bpom-kalbe-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
9,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,5,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,785835481,0,False,1,Blackmores Odourless Fish Oil 30 Kapsul 1000 Mg KALBE,,0,Rp 63.000,63000,,5,Jakarta Selatan,7971253,True,False,True,Jakarta Selatan,BosKecilStore,https://inbox.tokopedia.com/reputation/v1/badge/shop/7971253,https://www.tokopedia.com/boskec,,1,54,,https://www.tokopedia.com/boskec/blackmores-odourless-fish-oil-30-kapsul-1000-mg-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Fish+Oil+1000+%2830%29_po%3D10_catid%3D726&whid=0,0,2020-05-22,Blackmores Odourless Fish Oil 1000 (30)
