,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,507,6,469,Vitamin & Nutrisi,,0,,,False,91314027,0,False,1,Blackmores Odourless Garlic BPOM Kalbe 200 Tablet (Imun & Kolesterol),,0,Rp 161.250,161250,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,49959,,https://www.tokopedia.com/bosvitamin/blackmores-odourless-garlic-bpom-kalbe-200-tablet-imun-kolesterol?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
1,['Cashback'],kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,"[784648144, 784648145]",1,214,6,726,Vitamin Daya Tahan Tubuh,,0,,,False,784648145,0,False,1,Blackmores Odourless Garlic 200 Tablet,,369362292,Rp 160.000,160000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,45,,https://www.tokopedia.com/bandaneirastore/blackmores-odourless-garlic-200-tablet-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D2_catid%3D726&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,31,5,469,Vitamin & Nutrisi,,0,,,False,338312201,0,False,1,BLACKMORES Odourless Garlic 200 kapsul BPOM Original Kalbe,,0,Rp 159.000,159000,,5,Jakarta Barat,95069,True,False,True,Jakarta Barat,Greeacc,https://inbox.tokopedia.com/reputation/v1/badge/shop/95069,https://www.tokopedia.com/aksesorisgreeacc,,1,7,,https://www.tokopedia.com/aksesorisgreeacc/blackmores-odourless-garlic-200-kapsul-bpom-original-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
3,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,13,3,469,Vitamin & Nutrisi,,0,,,False,613010743,0,False,1,Blackmores Odourless Garlic (200),,0,Rp 215.000,215000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G67,1,1,,https://www.tokopedia.com/blackmores/blackmores-odourless-garlic-200?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
4,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,373,2,726,Vitamin Daya Tahan Tubuh,,0,,,False,606596758,0,False,1,BLACKMORES ODOURLESS ODORLESS GARLIC VITAMIN BAWANG PUTIH - 200 TABLET,,0,Rp 250.000,250000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999252,,https://www.tokopedia.com/dailypromotion/blackmores-odourless-odorless-garlic-vitamin-bawang-putih-200-tablet?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D5_catid%3D726&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
5,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,10,6,469,Vitamin & Nutrisi,,0,,,False,121662455,0,False,1,BLACKMORES ODOURLESS GARLIC (200) BPOM KALBE,,0,Rp 221.450,221450,,5,Jakarta Timur,1389513,True,True,True,Jakarta Timur,Mitrasana,https://inbox.tokopedia.com/reputation/v1/badge/shop/1389513,https://www.tokopedia.com/mitrasana,BLCOG,1,15,,https://www.tokopedia.com/mitrasana/blackmores-odourless-garlic-200-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D6_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
6,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,2,469,Vitamin & Nutrisi,,0,,,False,224633729,0,False,1,blackmores odourless garlic 200 tabs puritan suplemen bawang putih,,0,Rp 185.000,185000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,10,,https://www.tokopedia.com/hulksupplement/blackmores-odourless-garlic-200-tabs-puritan-suplemen-bawang-putih?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
7,,kesehatan/suplemen-diet/lainnya,715,Kesehatan,,1,2,6,745,Diet & Vitamin Lainnya,,0,,,False,447279793,0,False,1,Blackmores Odourless Garlic 200 tablets,,0,Rp 163.000,163000,,5,Tangerang,4430758,True,False,True,Tangerang,Apt Manjur Sehat,https://inbox.tokopedia.com/reputation/v1/badge/shop/4430758,https://www.tokopedia.com/aptmanjursehat,,1,999993,,https://www.tokopedia.com/aptmanjursehat/blackmores-odourless-garlic-200-tablets?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D8_catid%3D745&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,16,3,469,Vitamin & Nutrisi,,0,,,False,500636975,0,False,1,Blackmores Odourless Garlic 200 tablet ORIGINAL 100% KALBE POM,,0,Rp 160.000,160000,,5,Yogyakarta,896885,True,False,True,Yogyakarta,foodieshop,https://inbox.tokopedia.com/reputation/v1/badge/shop/896885,https://www.tokopedia.com/foodieshop,,1,3,,https://www.tokopedia.com/foodieshop/blackmores-odourless-garlic-200-tablet-original-100-kalbe-pom?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
9,,kesehatan/vitamin-multivitamin/sistem-kekebalan-tubuh,715,Kesehatan,,1,1,9,726,Vitamin Daya Tahan Tubuh,,0,,,False,542677724,0,False,1,Blackmores Odourless Garlic (200) BPOM KALBE,,0,Rp 182.750,182750,,5,Bekasi,6207106,True,False,True,Bekasi,Mitrasana Bekasi,https://inbox.tokopedia.com/reputation/v1/badge/shop/6207106,https://www.tokopedia.com/mitrasanabekasi,,1,5,,https://www.tokopedia.com/mitrasanabekasi/blackmores-odourless-garlic-200-bpom-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Odourless+Garlic+%28200%29_po%3D10_catid%3D726&whid=0,0,2020-05-22,Blackmores Odourless Garlic (200)
