,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,183,6,2508,Vitamin Ibu Hamil,,0,,,False,307831171,0,False,1,Blackmores Pregnancy and Breastfeeding Gold BPOM Kalbe - 180 kapsul,,0,Rp 446.250,446250,,5,Jakarta Utara,612382,True,False,True,Jakarta Utara,Bos Vitamin,https://inbox.tokopedia.com/reputation/v1/badge/shop/612382,https://www.tokopedia.com/bosvitamin,,1,999739,,https://www.tokopedia.com/bosvitamin/blackmores-pregnancy-and-breastfeeding-gold-bpom-kalbe-180-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D1_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
1,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,"[720449685, 717702475, 717702476]",1,386,6,2508,Vitamin Ibu Hamil,,0,,,False,717702476,0,False,1,Blackmores Pregnancy & Breastfeeding Gold 180 Kapsul,,369177602,Rp 425.000,425000,,5,Jakarta Utara,3137086,True,False,True,Jakarta Utara,Banda Neira Store,https://inbox.tokopedia.com/reputation/v1/badge/shop/3137086,https://www.tokopedia.com/bandaneirastore,,1,2,,https://www.tokopedia.com/bandaneirastore/blackmores-pregnancy-breastfeeding-gold-180-kapsul-kalbe?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D2_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
2,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,62,3,2508,Vitamin Ibu Hamil,,0,,,False,218427060,0,False,1,Blackmores Pregnancy & Breastfeeding Gold 180,,0,Rp 450.000,450000,,5,Jakarta Barat,492656,True,False,True,Jakarta Barat,BabyCornerJkt,https://inbox.tokopedia.com/reputation/v1/badge/shop/492656,https://www.tokopedia.com/babycornerjkt,,1,6,,https://www.tokopedia.com/babycornerjkt/blackmores-pregnancy-breastfeeding-gold-180?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D3_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
3,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,9,4,2508,Vitamin Ibu Hamil,,0,,,False,398760186,0,False,1,BLACKMORES Pregnancy & Breastfeeding Gold (Australia Product) 180 caps,,0,Rp 525.000,525000,,5,Surabaya,3454092,True,False,True,Surabaya,Kaya Jastip,https://inbox.tokopedia.com/reputation/v1/badge/shop/3454092,https://www.tokopedia.com/kayajastip,,1,2,,https://www.tokopedia.com/kayajastip/blackmores-pregnancy-breastfeeding-gold-australia-product-180-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D4_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
4,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,9,10,2508,Vitamin Ibu Hamil,,0,,,False,312278961,0,False,1,Blackmores Pregnancy And Breastfeeding Gold - Isi 180 Kapsul,,0,Rp 446.250,446250,,5,Jakarta Pusat,246424,True,False,True,Jakarta Pusat,moermer,https://inbox.tokopedia.com/reputation/v1/badge/shop/246424,https://www.tokopedia.com/moermer,pregnancy01,1,8,,https://www.tokopedia.com/moermer/blackmores-pregnancy-and-breastfeeding-gold-isi-180-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D5_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
5,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,3,2,2508,Vitamin Ibu Hamil,,0,,,False,545483920,0,False,1,Blackmores Pregnancy And Breastfeeding Gold BPOM Kalbe 180 Kapsul,,0,Rp 439.000,439000,,5,Jakarta Timur,2807717,True,False,True,Jakarta Timur,jjbabybonds,https://inbox.tokopedia.com/reputation/v1/badge/shop/2807717,https://www.tokopedia.com/jjsayang,,1,999987,,https://www.tokopedia.com/jjsayang/blackmores-pregnancy-and-breastfeeding-gold-bpom-kalbe-180-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D6_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
6,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,3,5,2508,Vitamin Ibu Hamil,,0,,,False,827504863,0,False,1,Blackmores Pregnancy and Breastfeeding Gold 180 Capsules,,0,Rp 445.000,445000,,5,Jakarta Barat,6122307,True,False,True,Jakarta Barat,Toko Sulaiman 27,https://inbox.tokopedia.com/reputation/v1/badge/shop/6122307,https://www.tokopedia.com/tokosulaiman27,,1,3,,https://www.tokopedia.com/tokosulaiman27/blackmores-pregnancy-and-breastfeeding-gold-180-capsules?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D7_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
7,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,3,10,2508,Vitamin Ibu Hamil,,0,,,False,737432862,0,True,1,Blackmores Pregnancy and Breastfeeding Gold Kalbe BPOM - 180 Caps,,0,Rp 446.250,446250,,5,Jakarta Utara,7686442,True,True,True,Jakarta Utara,Nutrifit Official,https://inbox.tokopedia.com/reputation/v1/badge/shop/7686442,https://www.tokopedia.com/nutrifitofficial,,1,18,['Preorder'],https://www.tokopedia.com/nutrifitofficial/blackmores-pregnancy-and-breastfeeding-gold-kalbe-bpom-180-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D8_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
8,,kesehatan/vitamin-multivitamin/vitamin-ibu-hamil,715,Kesehatan,,1,1,2,2508,Vitamin Ibu Hamil,,0,,,False,525759418,0,False,1,Blackmores Pregnancy And Breastfeeding Gold BPOM Kalbe 180 Kapsul,,0,Rp 435.800,435800,,4,Jakarta Barat,4676977,True,False,True,Jakarta Barat,monvita,https://inbox.tokopedia.com/reputation/v1/badge/shop/4676977,https://www.tokopedia.com/monvita,,1,7,,https://www.tokopedia.com/monvita/blackmores-pregnancy-and-breastfeeding-gold-bpom-kalbe-180-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D9_catid%3D2508&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
9,,kesehatan/nutrisi-ibu-hamil/asi-booster,715,Kesehatan,,1,2,8,2273,Asi Booster,,0,,,False,486483579,0,True,1,Blackmores Pregnancy and Breastfeeding Gold Kalbe BPOM - 180 Caps,,0,Rp 446.250,446250,,5,Jakarta Utara,391863,True,False,True,Jakarta Utara,suplemenfactory,https://inbox.tokopedia.com/reputation/v1/badge/shop/391863,https://www.tokopedia.com/suplemenfactory,,1,86,['Preorder'],https://www.tokopedia.com/suplemenfactory/blackmores-pregnancy-and-breastfeeding-gold-kalbe-bpom-180-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Pregnancy++Breastfeeding+Gold+%28180%29_po%3D10_catid%3D2273&whid=0,0,2020-05-22,Blackmores Pregnancy  Breastfeeding Gold (180)
