,bottom_label,category_breadcrumb,category_id,category_name,childs,condition,count_review,courier_count,department_id,department_name,discount_expired,discount_percentage,discount_start,free_ongkir.img_url,free_ongkir.is_active,id,is_featured,is_preorder,min_order,name,original_price,parent_id,price,price_int,price_range,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,shop.url,sku,status,stock,top_label,url,warehouse_id_default,get_date,keyword
0,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,4,2,469,Vitamin & Nutrisi,,0,,,False,626986543,0,False,1,Blackmores Radiance Marine Q10 30 kapsul,,0,Rp 586.000,586000,,5,Jakarta Timur,2807717,True,False,True,Jakarta Timur,jjbabybonds,https://inbox.tokopedia.com/reputation/v1/badge/shop/2807717,https://www.tokopedia.com/jjsayang,,1,983,,https://www.tokopedia.com/jjsayang/blackmores-radiance-marine-q10-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D1_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
1,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,14,10,469,Vitamin & Nutrisi,,0,,,False,486696419,0,True,1,Blackmores Radiance Marine Q10 Kalbe BPOM - 30 Caps,,0,Rp 400.500,400500,,5,Jakarta Utara,391863,True,False,True,Jakarta Utara,suplemenfactory,https://inbox.tokopedia.com/reputation/v1/badge/shop/391863,https://www.tokopedia.com/suplemenfactory,,1,79,['Preorder'],https://www.tokopedia.com/suplemenfactory/blackmores-radiance-marine-q10-kalbe-bpom-30-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D2_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
2,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,10,469,Vitamin & Nutrisi,,0,,,False,737431961,0,True,1,Blackmores Radiance Marine Q10 Kalbe BPOM - 30 Caps,,0,Rp 400.500,400500,,5,Jakarta Utara,7686442,True,True,True,Jakarta Utara,Nutrifit Official,https://inbox.tokopedia.com/reputation/v1/badge/shop/7686442,https://www.tokopedia.com/nutrifitofficial,,1,10,['Preorder'],https://www.tokopedia.com/nutrifitofficial/blackmores-radiance-marine-q10-kalbe-bpom-30-caps?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D3_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
3,['Gratis Ongkir'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,253,2,469,Vitamin & Nutrisi,,0,,,False,588233983,0,False,1,BLACKMORES RADIANCE MARINE Q10 Q 10 KALBE VITAMIN MARIN - 30 KAPSUL,,0,Rp 445.000,445000,,5,Jakarta Barat,4694435,False,False,False,Jakarta Barat,DAILY PROMOTION,https://inbox.tokopedia.com/reputation/v1/badge/shop/4694435,https://www.tokopedia.com/dailypromotion,,1,999729,,https://www.tokopedia.com/dailypromotion/blackmores-radiance-marine-q10-q-10-kalbe-vitamin-marin-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D4_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
4,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,6,3,469,Vitamin & Nutrisi,,0,,,False,626837224,0,False,1,Blackmores Radiance Marine Q10 (30),,0,Rp 445.000,445000,,5,Tangerang Selatan,7195967,True,True,True,Tangerang Selatan,Blackmores Wellness,https://inbox.tokopedia.com/reputation/v1/badge/shop/7195967,https://www.tokopedia.com/blackmores,BSB0G55,1,11,,https://www.tokopedia.com/blackmores/blackmores-radiance-marine-q10-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D5_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
5,,kesehatan/lainnya,715,Kesehatan,,1,0,4,1129,Kesehatan Lainnya,,0,,,False,561103752,0,False,1,BLACKMORES RADIANCE MARINE Q10 BOTOL 30 KAPSUL,,0,Rp 378.200,378200,,0,Surabaya,6750495,True,True,True,Surabaya,Apotek Sumber Sehat,https://inbox.tokopedia.com/reputation/v1/badge/shop/6750495,https://www.tokopedia.com/apoteksumber,2587327,1,7,,https://www.tokopedia.com/apoteksumber/blackmores-radiance-marine-q10-botol-30-kapsul?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D6_catid%3D1129&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
6,['Cashback'],kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,11,2,469,Vitamin & Nutrisi,,0,,,False,224635164,0,False,1,blackmores radiance marine q10 30 sg collagen anti aging,,0,Rp 375.000,375000,,5,Jakarta Utara,910866,True,False,True,Jakarta Utara,Hulk Supplement,https://inbox.tokopedia.com/reputation/v1/badge/shop/910866,https://www.tokopedia.com/hulksupplement,,1,4,,https://www.tokopedia.com/hulksupplement/blackmores-radiance-marine-q10-30-sg-collagen-anti-aging?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D7_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
7,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,15,7,469,Vitamin & Nutrisi,,0,,,False,521813676,0,False,1,Blackmores radiance marine Q10 isi 30 tablet kecantikan wajah wanita,,0,Rp 356.000,356000,,5,Pekanbaru,2225239,True,False,True,Pekanbaru,fitforlife,https://inbox.tokopedia.com/reputation/v1/badge/shop/2225239,https://www.tokopedia.com/fitforlifeidn,,1,109,,https://www.tokopedia.com/fitforlifeidn/blackmores-radiance-marine-q10-isi-30-tablet-kecantikan-wajah-wanita?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D8_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
8,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,2,2,469,Vitamin & Nutrisi,,0,,,False,802492914,0,False,1,Blackmores Radiance Marine Q10 (30),,0,Rp 340.000,340000,,4,Malang,6531481,True,True,True,Malang,citrasusu,https://inbox.tokopedia.com/reputation/v1/badge/shop/6531481,https://www.tokopedia.com/citrasusu,93549301,1,3,,https://www.tokopedia.com/citrasusu/blackmores-radiance-marine-q10-30?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D9_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
9,,kesehatan/vitamin-multivitamin/vitamin-nutrisi,715,Kesehatan,,1,0,8,469,Vitamin & Nutrisi,,0,,,False,391594765,0,False,1,BLACKMORES RADIANCE MARINE Q10 ISI 30 SOFTGEL,,0,Rp 859.000,859000,,0,Medan,5195190,True,False,True,Medan,Sunflower888,https://inbox.tokopedia.com/reputation/v1/badge/shop/5195190,https://www.tokopedia.com/sunflower888,,1,999995,,https://www.tokopedia.com/sunflower888/blackmores-radiance-marine-q10-isi-30-softgel?trkid=f%3DCa0000L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Drecent_page%3D1_ob%3D23_q%3DBlackmores+Radiance+Marine+Q10+%2830%29_po%3D10_catid%3D469&whid=0,0,2020-05-22,Blackmores Radiance Marine Q10 (30)
